fecha,region,categoria,numero_ordenes,ticket_promedio,ventas_totales
2025-08-07,Sur,Electrodomesticos,52,132890,6910280
2025-05-17,Centro,Electrodomesticos,56,167531,9381736
2024-03-03,Centro,Electrodomesticos,42,154676,6496392
2025-01-16,Norte,Tecnologia,117,180791,21152547
2024-03-05,Centro,Electrodomesticos,119,194731,23172989
2025-04-16,Centro,Hogar,101,75629,7638529
2023-05-24,Centro,Tecnologia,142,167018,23716556
2023-04-24,Centro,Vestuario,189,55897,10564533
2025-01-07,Centro,Deportes,69,61209,4223421
2024-02-01,Sur,Vestuario,148,52661,7793828
2025-08-13,Sur,Vestuario,152,47796,7264992
2025-11-03,Centro,Electrodomesticos,119,171844,20449436
2024-06-23,Centro,Deportes,90,65558,5900220
2024-11-30,Centro,Vestuario,187,48689,9104843
2025-09-15,Centro,Deportes,118,35948,4241864
2025-09-09,Norte,Electrodomesticos,67,158643,10629081
2025-01-21,Sur,Deportes,84,71458,6002472
2023-12-12,Sur,Deportes,37,53339,1973543
2023-05-15,Sur,Vestuario,136,39658,5393488
2023-02-03,Sur,Vestuario,147,41524,6104028
2024-10-21,Norte,Deportes,36,70969,2554884
2025-02-04,Centro,Electrodomesticos,98,173544,17007312
2024-01-17,Norte,Hogar,60,91282,5476920
2024-09-22,Norte,Electrodomesticos,56,174476,9770656
2023-04-20,Norte,Electrodomesticos,64,152933,9787712
2023-06-01,Centro,Hogar,73,85325,6228725
2025-06-18,Sur,Tecnologia,124,200087,24810788
2025-03-14,Norte,Vestuario,155,45790,7097450
2024-01-26,Sur,Electrodomesticos,61,155744,9500384
2024-10-31,Norte,Electrodomesticos,41,178762,7329242
2023-04-13,Norte,Electrodomesticos,53,155025,8216325
2025-01-19,Centro,Vestuario,154,44169,6802026
2023-12-18,Norte,Tecnologia,103,213889,22030567
2024-12-08,Norte,Tecnologia,127,152397,19354419
2025-11-12,Centro,Tecnologia,197,164556,32417532
2025-03-24,Centro,Electrodomesticos,75,188865,14164875
2024-12-13,Norte,Hogar,63,97285,6128955
2025-06-29,Sur,Deportes,54,46072,2487888
2025-07-13,Sur,Deportes,94,65275,6135850
2023-12-25,Centro,Deportes,87,49531,4309197
2024-12-04,Sur,Electrodomesticos,56,192212,10763872
2025-07-27,Centro,Hogar,117,89688,10493496
2023-07-18,Centro,Hogar,91,96507,8782137
2023-03-26,Norte,Hogar,47,114163,5365661
2025-05-28,Centro,Electrodomesticos,84,188664,15847776
2025-02-09,Norte,Electrodomesticos,38,180515,6859570
2023-04-17,Norte,Vestuario,131,34651,4539281
2024-04-02,Norte,Electrodomesticos,50,167562,8378100
2023-12-28,Norte,Electrodomesticos,44,151355,6659620
2025-01-08,Norte,Vestuario,126,44744,5637744
2023-03-29,Centro,Electrodomesticos,47,174194,8187118
2025-05-28,Norte,Vestuario,123,46681,5741763
2024-02-04,Centro,Hogar,110,101398,11153780
2023-12-11,Centro,Deportes,102,56588,5771976
2024-11-03,Norte,Hogar,69,110754,7642026
2023-12-27,Sur,Deportes,43,70270,3021610
2023-11-10,Sur,Deportes,55,49313,2712215
2023-07-13,Centro,Tecnologia,119,173046,20592474
2024-04-26,Norte,Deportes,75,48440,3633000
2024-09-28,Sur,Vestuario,174,52855,9196770
2025-12-28,Sur,Tecnologia,128,172163,22036864
2024-12-08,Sur,Electrodomesticos,44,174112,7660928
2025-08-31,Sur,Hogar,86,115121,9900406
2025-12-26,Centro,Tecnologia,146,194794,28439924
2023-11-20,Sur,Deportes,86,56741,4879726
2024-04-13,Norte,Electrodomesticos,78,166710,13003380
2025-08-29,Norte,Electrodomesticos,57,134354,7658178
2025-03-28,Sur,Hogar,71,96198,6830058
2024-08-11,Centro,Tecnologia,129,196254,25316766
2024-01-22,Sur,Electrodomesticos,65,141223,9179495
2025-12-23,Norte,Tecnologia,113,180108,20352204
2025-03-30,Norte,Tecnologia,93,148982,13855326
2025-05-31,Centro,Hogar,87,97998,8525826
2023-04-08,Centro,Vestuario,204,38451,7844004
2025-09-02,Norte,Tecnologia,115,184931,21267065
2024-02-26,Norte,Vestuario,99,47182,4671018
2024-02-17,Norte,Hogar,86,98767,8493962
2025-03-02,Sur,Electrodomesticos,101,167408,16908208
2025-05-07,Sur,Tecnologia,130,180297,23438610
2023-09-14,Norte,Tecnologia,111,115319,12800409
2023-02-26,Norte,Hogar,58,89809,5208922
2023-09-13,Sur,Deportes,85,66836,5681060
2023-05-19,Norte,Deportes,81,68480,5546880
2024-01-10,Sur,Deportes,79,63585,5023215
2023-04-08,Sur,Hogar,88,106820,9400160
2023-04-19,Sur,Deportes,90,73574,6621660
2025-07-29,Centro,Vestuario,174,40308,7013592
2024-01-16,Norte,Deportes,56,68407,3830792
2025-07-30,Centro,Vestuario,218,46615,10162070
2023-05-25,Norte,Vestuario,127,33804,4293108
2024-06-02,Norte,Tecnologia,138,150204,20728152
2025-08-01,Norte,Hogar,101,87076,8794676
2024-07-23,Norte,Electrodomesticos,63,179565,11312595
2024-09-23,Norte,Tecnologia,97,175507,17024179
2023-09-04,Centro,Electrodomesticos,49,158713,7776937
2024-11-16,Norte,Electrodomesticos,75,168930,12669750
2024-06-15,Sur,Electrodomesticos,40,187793,7511720
2025-05-25,Sur,Hogar,62,97990,6075380
2023-05-02,Sur,Tecnologia,97,158867,15410099
2023-05-04,Sur,Hogar,106,88404,9370824
2023-01-30,Norte,Hogar,47,87323,4104181
2024-09-18,Sur,Deportes,90,57888,5209920
2023-11-06,Norte,Vestuario,160,51805,8288800
2025-11-23,Sur,Tecnologia,132,211690,27943080
2025-09-05,Centro,Deportes,140,45659,6392260
2025-08-07,Norte,Hogar,90,103682,9331380
2023-02-26,Centro,Electrodomesticos,64,175939,11260096
2023-11-12,Centro,Hogar,135,86790,11716650
2024-11-24,Sur,Deportes,119,66367,7897673
2023-11-13,Norte,Deportes,95,62603,5947285
2025-03-08,Norte,Deportes,37,67386,2493282
2024-07-15,Norte,Deportes,60,52706,3162360
2025-11-30,Centro,Electrodomesticos,36,174794,6292584
2025-02-16,Norte,Vestuario,140,54432,7620480
2024-10-11,Norte,Tecnologia,104,180110,18731440
2025-07-26,Norte,Vestuario,123,45302,5572146
2025-12-17,Sur,Tecnologia,148,166685,24669380
2025-02-17,Sur,Tecnologia,90,174079,15667110
2023-03-15,Norte,Tecnologia,99,173107,17137593
2023-01-21,Centro,Deportes,96,86459,8300064
2024-03-29,Sur,Deportes,92,51478,4735976
2023-07-05,Norte,Tecnologia,106,121231,12850486
2025-01-20,Centro,Deportes,110,69653,7661830
2024-09-29,Norte,Hogar,72,81181,5845032
2025-03-29,Sur,Electrodomesticos,38,169900,6456200
2024-01-30,Sur,Hogar,73,106928,7805744
2023-11-16,Centro,Hogar,106,89824,9521344
2025-11-21,Sur,Deportes,103,64669,6660907
2025-03-01,Norte,Tecnologia,93,187278,17416854
2023-11-14,Sur,Electrodomesticos,73,157986,11532978
2023-09-24,Norte,Deportes,67,63870,4279290
2025-07-22,Norte,Hogar,78,99101,7729878
2023-01-25,Centro,Hogar,120,106460,12775200
2023-12-16,Centro,Deportes,81,51762,4192722
2024-03-01,Norte,Vestuario,115,43843,5041945
2024-09-04,Sur,Vestuario,151,36765,5551515
2023-11-14,Norte,Deportes,77,69245,5331865
2025-05-03,Centro,Vestuario,140,47935,6710900
2023-01-11,Centro,Vestuario,213,45841,9764133
2025-10-24,Sur,Electrodomesticos,40,146154,5846160
2023-04-09,Centro,Vestuario,178,41478,7383084
2025-07-29,Norte,Tecnologia,44,219493,9657692
2025-05-06,Centro,Tecnologia,132,175166,23121912
2023-09-05,Centro,Hogar,130,98352,12785760
2023-05-31,Centro,Electrodomesticos,60,157768,9466080
2023-06-14,Norte,Electrodomesticos,56,173220,9700320
2024-06-16,Sur,Deportes,72,72748,5237856
2023-06-24,Centro,Tecnologia,162,166831,27026622
2025-04-13,Centro,Hogar,83,99667,8272361
2025-03-17,Norte,Deportes,73,60515,4417595
2025-07-28,Sur,Electrodomesticos,48,172870,8297760
2025-10-06,Sur,Deportes,78,78248,6103344
2024-09-03,Sur,Hogar,95,128973,12252435
2025-07-12,Norte,Hogar,80,82229,6578320
2025-08-25,Centro,Electrodomesticos,67,157708,10566436
2025-08-15,Centro,Vestuario,139,49567,6889813
2025-07-06,Sur,Tecnologia,115,179377,20628355
2025-10-22,Sur,Vestuario,131,37533,4916823
2025-08-08,Centro,Hogar,102,82525,8417550
2024-04-25,Norte,Vestuario,120,38882,4665840
2023-11-25,Sur,Tecnologia,100,182557,18255700
2023-03-08,Norte,Hogar,75,102741,7705575
2025-05-10,Centro,Hogar,109,115885,12631465
2024-02-05,Norte,Hogar,61,110810,6759410
2025-08-14,Centro,Tecnologia,120,161576,19389120
2025-10-29,Norte,Tecnologia,89,173318,15425302
2023-02-05,Norte,Deportes,88,58667,5162696
2025-07-18,Centro,Tecnologia,113,200381,22643053
2025-05-11,Sur,Vestuario,142,34486,4897012
2024-06-14,Norte,Hogar,77,108428,8348956
2024-06-07,Norte,Hogar,65,117232,7620080
2024-05-04,Norte,Electrodomesticos,72,143399,10324728
2025-08-27,Centro,Vestuario,200,30839,6167800
2024-10-17,Sur,Deportes,79,57611,4551269
2024-11-04,Sur,Vestuario,185,39096,7232760
2025-05-29,Norte,Tecnologia,112,158321,17731952
2025-09-14,Sur,Vestuario,134,39900,5346600
2025-09-22,Sur,Deportes,80,51612,4128960
2025-08-22,Centro,Tecnologia,159,161815,25728585
2023-11-20,Sur,Hogar,147,91487,13448589
2024-10-20,Centro,Hogar,89,101851,9064739
2023-01-11,Sur,Electrodomesticos,41,174236,7143676
2025-05-29,Sur,Tecnologia,105,193167,20282535
2023-12-17,Norte,Deportes,74,70321,5203754
2025-01-08,Centro,Tecnologia,127,162206,20600162
2025-03-07,Norte,Hogar,95,114695,10896025
2023-06-08,Centro,Tecnologia,166,164532,27312312
2024-06-09,Centro,Tecnologia,174,171121,29775054
2023-06-26,Norte,Hogar,69,110082,7595658
2023-12-14,Centro,Deportes,107,64620,6914340
2024-01-26,Sur,Deportes,69,58508,4037052
2024-04-14,Centro,Deportes,79,61550,4862450
2024-01-25,Norte,Vestuario,122,42946,5239412
2025-09-12,Sur,Hogar,63,92874,5851062
2024-02-11,Sur,Tecnologia,109,181894,19826446
2025-12-06,Sur,Hogar,108,99190,10712520
2024-01-23,Norte,Deportes,50,56922,2846100
2023-01-07,Sur,Electrodomesticos,47,141961,6672167
2024-04-10,Sur,Electrodomesticos,26,148750,3867500
2024-11-01,Centro,Deportes,70,52680,3687600
2023-12-26,Centro,Hogar,89,79993,7119377
2025-02-07,Centro,Deportes,68,56118,3816024
2025-11-06,Norte,Deportes,68,72942,4960056
2025-11-24,Sur,Tecnologia,101,208607,21069307
2024-05-20,Norte,Tecnologia,104,194404,20218016
2023-05-14,Centro,Hogar,101,97737,9871437
2024-07-22,Sur,Vestuario,153,49235,7532955
2024-08-09,Sur,Vestuario,136,49975,6796600
2023-10-05,Centro,Electrodomesticos,100,183293,18329300
2023-09-20,Sur,Tecnologia,127,163665,20785455
2023-01-29,Centro,Tecnologia,144,183969,26491536
2025-04-06,Sur,Electrodomesticos,48,165245,7931760
2023-02-17,Norte,Electrodomesticos,50,158800,7940000
2023-10-06,Centro,Hogar,104,94496,9827584
2025-09-01,Centro,Tecnologia,144,170102,24494688
2023-12-18,Norte,Vestuario,130,44656,5805280
2024-07-05,Norte,Tecnologia,78,129851,10128378
2025-06-23,Sur,Electrodomesticos,52,131699,6848348
2023-03-26,Sur,Tecnologia,145,199532,28932140
2023-03-10,Centro,Electrodomesticos,101,177585,17936085
2025-04-20,Sur,Electrodomesticos,50,172021,8601050
2024-09-27,Sur,Electrodomesticos,66,126930,8377380
2025-01-08,Centro,Electrodomesticos,90,138488,12463920
2023-10-05,Centro,Vestuario,151,50003,7550453
2024-12-31,Norte,Vestuario,127,38513,4891151
2024-08-22,Sur,Vestuario,165,33078,5457870
2023-07-30,Centro,Deportes,77,75961,5848997
2024-10-03,Centro,Deportes,160,65628,10500480
2025-04-09,Norte,Vestuario,134,38270,5128180
2023-08-26,Norte,Electrodomesticos,81,145835,11812635
2023-12-13,Norte,Deportes,21,66068,1387428
2025-01-09,Centro,Vestuario,183,39707,7266381
2023-11-23,Centro,Hogar,131,113709,14895879
2023-09-21,Norte,Tecnologia,74,193503,14319222
2023-12-13,Sur,Electrodomesticos,44,195663,8609172
2023-11-06,Norte,Electrodomesticos,65,147690,9599850
2024-08-27,Centro,Deportes,102,61204,6242808
2025-01-17,Centro,Vestuario,195,44835,8742825
2023-05-28,Norte,Vestuario,140,62972,8816080
2023-05-24,Sur,Tecnologia,120,203561,24427320
2024-05-19,Centro,Electrodomesticos,81,147840,11975040
2024-05-01,Sur,Electrodomesticos,66,183445,12107370
2024-06-30,Sur,Vestuario,158,46057,7277006
2023-04-12,Sur,Deportes,73,82843,6047539
2024-11-24,Centro,Electrodomesticos,108,193180,20863440
2023-04-25,Centro,Vestuario,164,54604,8955056
2025-09-06,Centro,Vestuario,144,48224,6944256
2025-09-25,Norte,Vestuario,120,46092,5531040
2024-05-30,Sur,Electrodomesticos,49,182340,8934660
2025-08-21,Norte,Hogar,80,97781,7822480
2025-03-04,Centro,Vestuario,229,52033,11915557
2024-07-14,Norte,Vestuario,122,44922,5480484
2023-08-20,Norte,Tecnologia,64,162697,10412608
2024-06-10,Centro,Hogar,96,83444,8010624
2023-12-30,Sur,Hogar,95,120946,11489870
2023-01-09,Sur,Electrodomesticos,66,154367,10188222
2024-08-11,Sur,Hogar,64,108562,6947968
2024-12-02,Sur,Hogar,93,121647,11313171
2023-09-08,Norte,Vestuario,122,54677,6670594
2023-01-20,Centro,Deportes,107,65737,7033859
2024-01-21,Centro,Tecnologia,147,196890,28942830
2025-09-08,Sur,Hogar,84,72663,6103692
2023-02-05,Sur,Vestuario,106,40156,4256536
2025-11-08,Norte,Electrodomesticos,40,165024,6600960
2023-08-04,Norte,Deportes,61,69806,4258166
2024-09-29,Sur,Vestuario,138,48792,6733296
2023-04-08,Centro,Hogar,116,110730,12844680
2023-10-20,Centro,Tecnologia,122,128672,15697984
2025-09-09,Centro,Deportes,81,72102,5840262
2023-02-03,Norte,Electrodomesticos,37,148503,5494611
2023-12-04,Sur,Vestuario,135,38424,5187240
2025-04-10,Norte,Electrodomesticos,44,118078,5195432
2025-11-12,Sur,Deportes,84,65174,5474616
2025-02-18,Norte,Vestuario,116,45841,5317556
2024-04-04,Centro,Electrodomesticos,56,190757,10682392
2023-03-16,Sur,Tecnologia,129,158640,20464560
2023-10-28,Norte,Hogar,70,85534,5987380
2024-02-23,Centro,Hogar,138,93296,12874848
2023-06-04,Centro,Deportes,67,73250,4907750
2023-05-03,Centro,Vestuario,194,43625,8463250
2023-01-08,Sur,Hogar,75,89035,6677625
2023-12-29,Sur,Electrodomesticos,64,134587,8613568
2024-02-23,Sur,Vestuario,176,44500,7832000
2023-03-01,Centro,Hogar,160,88557,14169120
2025-11-27,Sur,Deportes,82,62126,5094332
2025-02-25,Norte,Hogar,86,109239,9394554
2025-08-25,Norte,Vestuario,125,52680,6585000
2024-01-11,Centro,Deportes,123,74747,9193881
2024-08-21,Norte,Deportes,57,53848,3069336
2024-08-25,Norte,Vestuario,93,35153,3269229
2023-05-18,Norte,Vestuario,114,36299,4138086
2025-12-15,Centro,Tecnologia,162,220317,35691354
2023-08-16,Sur,Electrodomesticos,54,114600,6188400
2023-12-16,Norte,Tecnologia,125,173919,21739875
2024-04-12,Sur,Deportes,66,62357,4115562
2023-04-13,Norte,Vestuario,98,45125,4422250
2023-04-04,Centro,Vestuario,198,38082,7540236
2024-11-13,Sur,Electrodomesticos,78,174621,13620438
2024-08-29,Centro,Vestuario,166,51812,8600792
2025-03-05,Norte,Electrodomesticos,29,170553,4946037
2023-01-02,Centro,Hogar,104,93824,9757696
2023-05-24,Centro,Electrodomesticos,81,165130,13375530
2024-12-28,Centro,Electrodomesticos,28,128875,3608500
2023-03-14,Norte,Vestuario,102,43406,4427412
2025-08-13,Centro,Vestuario,198,52147,10325106
2023-12-15,Norte,Vestuario,150,46182,6927300
2025-10-10,Norte,Vestuario,104,52974,5509296
2024-03-29,Centro,Tecnologia,146,146573,21399658
2024-09-17,Sur,Tecnologia,102,212887,21714474
2025-11-20,Centro,Tecnologia,205,154730,31719650
2025-01-12,Norte,Hogar,105,107991,11339055
2023-03-04,Centro,Hogar,121,78335,9478535
2024-12-25,Sur,Tecnologia,178,178562,31784036
2024-09-04,Sur,Deportes,61,60770,3706970
2025-03-11,Sur,Deportes,74,55343,4095382
2024-10-12,Sur,Tecnologia,125,176835,22104375
2023-09-20,Centro,Hogar,66,82548,5448168
2024-12-21,Centro,Electrodomesticos,51,140612,7171212
2024-08-04,Centro,Tecnologia,130,185061,24057930
2025-07-11,Norte,Hogar,67,92336,6186512
2025-02-22,Sur,Vestuario,128,49636,6353408
2024-09-07,Norte,Electrodomesticos,43,207760,8933680
2025-06-14,Norte,Tecnologia,81,178892,14490252
2024-04-16,Centro,Hogar,139,78668,10934852
2023-11-21,Norte,Tecnologia,92,149877,13788684
2025-01-13,Centro,Tecnologia,140,172086,24092040
2024-01-18,Sur,Electrodomesticos,61,186832,11396752
2023-05-01,Sur,Tecnologia,92,169592,15602464
2023-02-17,Centro,Hogar,117,59211,6927687
2023-05-19,Sur,Deportes,65,60556,3936140
2025-10-13,Centro,Tecnologia,129,187666,24208914
2023-02-04,Sur,Tecnologia,134,165458,22171372
2024-02-07,Sur,Electrodomesticos,98,143136,14027328
2023-06-09,Centro,Vestuario,178,46466,8270948
2023-06-03,Centro,Electrodomesticos,35,170989,5984615
2023-08-21,Centro,Hogar,108,97228,10500624
2024-05-07,Centro,Hogar,132,95650,12625800
2025-09-15,Sur,Vestuario,163,35969,5862947
2024-08-24,Norte,Deportes,59,77235,4556865
2023-04-21,Centro,Hogar,106,77602,8225812
2025-06-09,Centro,Hogar,80,84207,6736560
2025-01-16,Norte,Electrodomesticos,27,171888,4640976
2024-08-08,Sur,Electrodomesticos,5,140286,701430
2025-11-11,Sur,Deportes,57,51610,2941770
2024-02-23,Centro,Deportes,82,52959,4342638
2023-07-17,Centro,Tecnologia,155,158684,24596020
2023-11-24,Centro,Electrodomesticos,67,180103,12066901
2023-07-23,Norte,Electrodomesticos,52,163030,8477560
2024-04-03,Centro,Hogar,107,78978,8450646
2023-08-17,Norte,Tecnologia,100,237201,23720100
2025-05-09,Centro,Electrodomesticos,65,135918,8834670
2023-03-07,Sur,Tecnologia,85,128106,10889010
2023-09-26,Centro,Vestuario,171,41352,7071192
2023-04-11,Norte,Deportes,80,64220,5137600
2024-10-04,Centro,Deportes,111,71078,7889658
2025-05-30,Norte,Electrodomesticos,67,152589,10223463
2024-03-20,Norte,Hogar,87,101427,8824149
2023-05-26,Norte,Electrodomesticos,30,135396,4061880
2023-10-23,Sur,Vestuario,150,42871,6430650
2024-10-18,Centro,Electrodomesticos,18,166162,2990916
2024-12-06,Sur,Tecnologia,136,185350,25207600
2023-10-13,Sur,Hogar,114,89324,10182936
2025-03-19,Centro,Deportes,59,71182,4199738
2025-05-17,Sur,Deportes,78,70856,5526768
2025-06-19,Centro,Deportes,111,66458,7376838
2024-10-25,Sur,Hogar,75,94066,7054950
2024-10-11,Sur,Deportes,72,60550,4359600
2023-03-26,Norte,Deportes,66,63832,4212912
2025-08-09,Norte,Tecnologia,96,150565,14454240
2025-07-07,Norte,Tecnologia,91,149043,13562913
2025-09-01,Sur,Hogar,65,114619,7450235
2023-06-06,Norte,Tecnologia,79,193111,15255769
2023-11-22,Sur,Hogar,61,93524,5704964
2025-01-30,Sur,Hogar,105,106184,11149320
2023-04-09,Sur,Deportes,61,72738,4437018
2024-05-10,Norte,Deportes,58,55568,3222944
2023-05-28,Sur,Hogar,62,66386,4115932
2025-10-11,Norte,Tecnologia,103,200942,20697026
2023-12-21,Sur,Hogar,134,89994,12059196
2023-10-03,Sur,Hogar,79,87035,6875765
2023-06-08,Centro,Tecnologia,151,184231,27818881
2023-08-28,Norte,Tecnologia,71,192882,13694622
2023-05-05,Norte,Deportes,73,67477,4925821
2025-06-22,Norte,Electrodomesticos,44,113994,5015736
2024-03-06,Sur,Tecnologia,115,177116,20368340
2024-02-15,Norte,Electrodomesticos,40,161626,6465040
2025-02-02,Norte,Electrodomesticos,44,161721,7115724
2024-07-16,Centro,Hogar,105,88304,9271920
2025-10-23,Sur,Hogar,64,77351,4950464
2025-06-11,Norte,Electrodomesticos,53,159112,8432936
2025-07-02,Centro,Electrodomesticos,81,170476,13808556
2024-09-05,Sur,Deportes,73,83677,6108421
2023-01-02,Centro,Tecnologia,131,181827,23819337
2024-06-19,Sur,Vestuario,132,42576,5620032
2023-08-03,Sur,Deportes,56,71630,4011280
2025-04-21,Centro,Deportes,83,71392,5925536
2023-06-08,Centro,Hogar,133,94696,12594568
2024-12-05,Norte,Tecnologia,100,188363,18836300
2023-05-16,Centro,Vestuario,193,49383,9530919
2024-01-14,Norte,Tecnologia,74,220635,16326990
2024-12-02,Centro,Deportes,86,51542,4432612
2025-03-26,Sur,Tecnologia,125,170697,21337125
2024-06-22,Sur,Vestuario,144,46453,6689232
2025-03-25,Norte,Tecnologia,123,184034,22636182
2024-08-20,Norte,Vestuario,127,42709,5424043
2024-05-10,Norte,Hogar,60,107283,6436980
2023-12-24,Norte,Tecnologia,121,222534,26926614
2023-09-05,Centro,Vestuario,161,47506,7648466
2025-08-20,Norte,Vestuario,132,33736,4453152
2023-06-19,Sur,Electrodomesticos,32,171812,5497984
2025-04-05,Sur,Vestuario,146,40688,5940448
2023-08-01,Centro,Deportes,117,56269,6583473
2025-05-19,Centro,Electrodomesticos,37,162039,5995443
2023-04-08,Sur,Vestuario,145,51387,7451115
2024-11-13,Norte,Electrodomesticos,59,180004,10620236
2023-08-03,Centro,Electrodomesticos,48,180740,8675520
2025-11-14,Norte,Electrodomesticos,35,184668,6463380
2025-06-14,Norte,Deportes,60,64920,3895200
2023-11-20,Centro,Tecnologia,154,176522,27184388
2024-06-23,Norte,Hogar,66,74174,4895484
2024-06-30,Centro,Vestuario,160,40779,6524640
2025-12-25,Norte,Tecnologia,115,194202,22333230
2025-06-03,Centro,Vestuario,172,47592,8185824
2024-03-13,Centro,Tecnologia,154,171645,26433330
2025-06-06,Norte,Tecnologia,57,180941,10313637
2025-08-09,Centro,Vestuario,214,41353,8849542
2024-11-18,Norte,Electrodomesticos,68,143001,9724068
2023-03-25,Norte,Electrodomesticos,37,210666,7794642
2025-09-10,Sur,Vestuario,141,38638,5447958
2025-06-12,Sur,Vestuario,164,47098,7724072
2023-11-01,Norte,Deportes,80,46527,3722160
2024-08-31,Norte,Electrodomesticos,42,161674,6790308
2025-01-20,Sur,Deportes,72,55110,3967920
2025-02-03,Centro,Tecnologia,136,218898,29770128
2024-08-29,Norte,Electrodomesticos,41,175418,7192138
2024-07-01,Norte,Electrodomesticos,72,156583,11273976
2024-02-21,Sur,Electrodomesticos,54,188212,10163448
2023-09-28,Norte,Hogar,90,104738,9426420
2023-07-09,Centro,Vestuario,150,48588,7288200
2024-10-21,Centro,Vestuario,185,46700,8639500
2023-09-08,Centro,Hogar,149,81347,12120703
2023-07-15,Sur,Electrodomesticos,91,119681,10890971
2023-03-10,Sur,Electrodomesticos,35,161419,5649665
2024-06-17,Norte,Vestuario,114,48175,5491950
2024-09-19,Sur,Vestuario,157,37813,5936641
2023-10-06,Centro,Tecnologia,139,185709,25813551
2024-08-27,Sur,Vestuario,117,43598,5100966
2025-08-01,Centro,Tecnologia,143,189862,27150266
2023-07-07,Sur,Vestuario,134,52644,7054296
2025-09-30,Centro,Vestuario,177,43575,7712775
2025-04-11,Sur,Hogar,55,81752,4496360
2025-02-02,Sur,Hogar,74,74580,5518920
2023-04-02,Norte,Deportes,56,56282,3151792
2023-03-15,Sur,Tecnologia,50,204172,10208600
2023-04-13,Sur,Hogar,108,100437,10847196
2024-11-24,Centro,Deportes,112,64634,7239008
2023-01-27,Centro,Deportes,40,64347,2573880
2023-01-21,Norte,Vestuario,96,38442,3690432
2025-02-10,Norte,Hogar,49,96223,4714927
2025-05-27,Centro,Hogar,171,88089,15063219
2025-12-04,Sur,Tecnologia,161,192276,30956436
2025-11-16,Norte,Vestuario,167,53074,8863358
2025-04-24,Sur,Deportes,41,75816,3108456
