id_detalle,id_pedido,id_producto,cantidad
181,66,39,2
182,67,58,1
183,67,62,1
184,68,49,3
185,68,59,1
186,68,42,2
187,68,25,2
188,69,53,1
189,69,6,3
190,70,49,2
191,70,50,1
192,70,20,1
193,71,43,1
194,71,13,3
195,71,57,1
196,71,59,2
197,72,10,1
198,72,61,1
199,73,51,1
200,73,11,3
201,73,43,3
202,73,49,2
203,74,5,1
204,74,9,3
205,74,31,1
206,74,37,2
207,75,13,1
208,75,57,3
209,76,4,1
210,76,6,1
211,76,42,1
212,77,56,2
213,77,19,2
214,77,32,2
215,78,22,1
216,78,23,2
217,79,31,1
218,79,64,2
219,79,19,3
220,80,59,2
221,80,33,1
222,80,2,3
223,81,21,2
224,81,10,1
225,81,57,3
226,81,45,2
227,82,59,2
228,82,39,2
229,82,26,1
230,83,49,2
231,83,46,1
232,84,3,1
233,84,51,2
234,84,36,3
235,85,64,1
236,85,37,2
237,86,29,3
238,86,25,3
239,86,33,3
240,87,13,1
241,87,6,2
242,88,47,1
243,88,17,1
244,89,54,1
245,89,23,2
246,89,26,1
247,90,35,1
248,90,22,3
249,90,33,1
250,90,62,1
251,91,10,3
252,91,19,3
253,91,29,3
254,92,47,1
255,92,12,1
256,92,51,2
257,93,59,3
258,93,48,3
259,94,49,3
260,94,48,1
261,94,14,2
262,95,42,3
263,95,29,1
264,96,39,1
265,96,53,1
266,96,15,1
267,97,64,1
268,97,15,2
269,97,13,1
270,98,59,2
271,98,48,3
272,98,54,3
273,99,54,2
274,99,13,2
275,100,36,1
276,100,5,2
277,100,48,2
278,101,47,3
279,101,13,1
280,102,46,1
281,102,8,1
282,102,51,2
283,102,36,1
284,103,3,1
285,103,7,1
286,104,27,2
287,104,9,1
288,105,28,2
289,105,30,1
290,105,43,1
291,105,19,1
292,106,33,1
293,106,23,3
294,107,17,1
295,107,2,1
296,108,42,1
297,108,3,1
298,108,23,3
299,108,34,2
300,109,15,1
301,109,9,2
302,109,61,2
303,109,58,1
304,110,29,2
305,110,6,3
306,110,39,1
307,111,62,2
308,111,52,3
309,112,63,1
310,112,57,1
311,113,19,1
312,113,9,2
313,113,17,3
314,114,42,2
315,114,49,2
316,114,38,2
317,114,59,1
318,115,28,2
319,115,56,1
320,116,44,2
321,116,59,3
322,116,52,1
323,117,55,1
324,117,41,1
325,117,33,3
326,118,9,1
327,118,12,2
328,118,11,1
329,119,17,3
330,119,8,1
331,119,43,2
332,120,55,2
333,120,7,1
334,120,37,1
335,121,28,3
336,121,20,2
337,122,14,2
338,122,45,1
339,123,36,2
340,123,29,2
341,124,4,1
342,124,35,1
343,124,24,1
344,124,40,1
345,125,52,1
346,125,9,3
347,126,12,2
348,126,28,2
349,127,44,1
350,127,21,3
351,127,48,1
352,128,11,2
353,128,7,1
354,128,20,3
355,128,21,1
356,129,57,2
357,129,55,2
358,129,63,2
359,130,28,2
360,130,15,1
361,130,45,1
362,131,63,2
363,131,40,2
364,131,6,1
365,131,29,1
366,132,39,1
367,132,28,1
368,133,42,2
369,133,16,3
370,133,1,2
371,134,17,2
372,134,49,3
373,135,46,2
374,135,10,3
375,136,56,2
376,136,3,1
377,137,55,1
378,137,52,1
379,137,54,2
380,138,42,2
381,138,22,2
382,139,12,1
383,139,56,2
384,139,14,2
385,140,11,3
386,140,51,1
387,140,40,1
388,141,22,2
389,141,10,2
390,141,15,1
391,142,45,1
392,142,19,1
393,142,31,1
394,143,23,3
395,143,20,1
396,144,64,2
397,144,60,2
398,145,42,2
399,145,41,1
400,145,20,2
401,146,39,1
402,146,36,2
403,146,8,1
404,147,60,1
405,147,58,1
406,147,5,1
407,148,12,2
408,148,50,2
409,149,6,2
410,149,58,2
411,149,25,2
412,149,42,1
413,150,58,1
414,150,14,3
415,151,23,1
416,151,6,3
417,152,57,1
418,152,21,1
419,152,47,2
420,153,44,1
421,153,7,1
422,153,43,1
423,154,50,1
424,154,37,1
425,154,33,2
426,154,20,3
427,155,45,3
428,155,40,3
429,156,17,2
430,156,11,2
431,156,40,3
432,157,17,2
433,157,12,1
434,157,55,1
435,158,40,1
436,158,24,2
437,158,28,1
438,159,18,1
439,159,20,1
440,160,5,2
441,160,44,1
442,161,49,3
443,161,20,2
444,161,21,1
445,161,24,3
446,162,6,3
447,162,53,3
448,162,47,1
449,163,37,2
450,163,58,1
451,163,30,1
452,164,25,2
453,164,48,1
454,164,57,2
455,165,54,1
456,165,21,1
457,165,26,3
458,165,18,2
459,166,14,1
460,166,16,1
461,166,37,1
462,167,19,1
463,167,56,2
464,167,12,1
465,168,54,2
466,168,7,2
467,169,31,1
468,169,50,1
469,169,11,1
470,170,13,1
471,170,43,1
472,170,19,1
473,171,18,2
474,171,61,1
475,171,58,1
476,172,33,1
477,172,28,2
478,173,55,1
479,173,15,1
480,173,37,1
481,173,31,1
482,174,59,2
483,174,9,2
484,174,15,2
485,175,31,1
486,175,19,2
487,176,46,2
488,176,31,2
489,177,11,1
490,177,47,2
491,178,3,3
492,178,50,2
493,178,61,1
494,178,6,1
495,179,46,1
496,179,9,1
497,180,43,1
498,180,18,1
499,140,34,2
500,87,55,3
501,165,34,2
502,45,3,3
503,176,13,2
504,119,25,1
505,179,58,3
506,123,22,2
507,162,9,2
508,47,28,2
509,35,49,2
510,17,61,2
511,118,25,1
512,10,35,3
513,76,34,2
514,52,64,3
515,12,18,1
516,11,50,2
517,81,6,2
518,80,41,1
