fecha_venta,categoria_producto,producto,region,tipo_cliente,unidades_vendidas,precio_unitario,monto_total
2023-08-05,Hogar,Silla,Centro,Mayorista,18,244769,4405842
2023-07-03,Tecnologia,Notebook,Sur,Mayorista,19,275265,5230035
2023-05-25,Hogar,Sofa,Centro,Mayorista,16,120950,1935200
2023-03-04,Tecnologia,Tablet,Sur,Minorista,14,188187,2634618
2023-10-14,Electrodomesticos,Lavadora,Sur,Minorista,2,454237,908474
2023-02-15,Tecnologia,Monitor,Norte,Mayorista,5,351692,1758460
2023-08-02,Electrodomesticos,Lavadora,Norte,Minorista,13,194303,2525939
2023-02-16,Tecnologia,Monitor,Centro,Minorista,11,95860,1054460
2023-07-05,Deportes,Balon,Sur,Mayorista,13,67613,878969
2023-05-01,Deportes,Bicicleta,Centro,Mayorista,18,499697,8994546
2023-12-10,Hogar,Mesa,Sur,Minorista,10,258040,2580400
2023-02-19,Vestuario,Chaqueta,Sur,Mayorista,10,371475,3714750
2023-03-17,Vestuario,Chaqueta,Sur,Minorista,17,209831,3567127
2023-11-26,Tecnologia,Smartphone,Centro,Minorista,16,310819,4973104
2023-10-03,Deportes,Raqueta,Norte,Mayorista,10,323794,3237940
2023-09-06,Tecnologia,Notebook,Sur,Mayorista,19,415724,7898756
2023-10-17,Vestuario,Polera,Norte,Minorista,10,278123,2781230
2023-08-10,Vestuario,Zapatillas,Centro,Mayorista,11,416618,4582798
2023-08-15,Vestuario,Zapatillas,Sur,Minorista,10,131011,1310110
2023-09-06,Tecnologia,Smartphone,Norte,Minorista,17,411600,6997200
2023-02-28,Electrodomesticos,Lavadora,Centro,Mayorista,8,247539,1980312
2023-06-16,Vestuario,Pantalon,Sur,Minorista,17,26125,444125
2023-06-30,Hogar,Mesa,Norte,Mayorista,11,496613,5462743
2023-02-23,Hogar,Lampara,Sur,Minorista,16,282745,4523920
2023-07-14,Vestuario,Zapatillas,Sur,Mayorista,1,438114,438114
2023-08-15,Tecnologia,Notebook,Norte,Minorista,6,475916,2855496
2023-05-21,Tecnologia,Tablet,Centro,Mayorista,17,345391,5871647
2023-01-29,Tecnologia,Monitor,Centro,Minorista,6,402425,2414550
2023-10-22,Hogar,Mesa,Sur,Mayorista,12,264098,3169176
2023-03-20,Deportes,Bicicleta,Norte,Minorista,3,177434,532302
2023-04-26,Tecnologia,Smartphone,Norte,Mayorista,18,276957,4985226
2023-08-22,Tecnologia,Monitor,Centro,Minorista,10,363007,3630070
2023-06-03,Electrodomesticos,Refrigerador,Sur,Mayorista,12,156474,1877688
2023-09-15,Tecnologia,Smartphone,Norte,Mayorista,1,16923,16923
2023-07-01,Deportes,Bicicleta,Norte,Mayorista,2,293514,587028
2023-02-13,Tecnologia,Tablet,Norte,Minorista,5,266770,1333850
2023-04-19,Vestuario,Polera,Norte,Minorista,20,159682,3193640
2023-05-06,Electrodomesticos,Microondas,Centro,Minorista,9,110717,996453
2023-10-07,Deportes,Pesas,Norte,Minorista,1,224375,224375
2023-06-15,Electrodomesticos,Microondas,Sur,Mayorista,14,235382,3295348
2023-11-27,Tecnologia,Monitor,Sur,Mayorista,9,172712,1554408
2023-03-23,Electrodomesticos,Aspiradora,Centro,Minorista,12,142173,1706076
2023-05-25,Electrodomesticos,Microondas,Norte,Mayorista,11,208441,2292851
2023-12-17,Deportes,Bicicleta,Norte,Minorista,5,152639,763195
2023-04-24,Tecnologia,Smartphone,Norte,Minorista,5,54344,271720
2023-02-16,Vestuario,Pantalon,Sur,Minorista,19,241001,4579019
2023-05-25,Deportes,Pesas,Sur,Mayorista,15,265469,3982035
2023-06-25,Electrodomesticos,Aspiradora,Centro,Mayorista,3,394830,1184490
2023-08-20,Vestuario,Chaqueta,Sur,Mayorista,19,5069,96311
2023-08-24,Deportes,Bicicleta,Norte,Minorista,11,476645,5243095
2023-06-07,Deportes,Pesas,Norte,Minorista,3,217759,653277
2023-11-15,Vestuario,Zapatillas,Sur,Mayorista,20,363691,7273820
2023-11-26,Tecnologia,Notebook,Centro,Mayorista,4,458171,1832684
2023-12-08,Electrodomesticos,Refrigerador,Centro,Mayorista,12,416426,4997112
2023-01-18,Electrodomesticos,Microondas,Norte,Mayorista,9,130268,1172412
2023-01-09,Electrodomesticos,Microondas,Sur,Mayorista,17,70593,1200081
2023-02-03,Electrodomesticos,Refrigerador,Centro,Minorista,17,314695,5349815
2023-02-11,Electrodomesticos,Microondas,Sur,Mayorista,17,403542,6860214
2023-09-23,Tecnologia,Monitor,Norte,Minorista,18,220001,3960018
2023-10-03,Deportes,Pesas,Norte,Mayorista,6,17930,107580
2023-12-23,Vestuario,Pantalon,Norte,Mayorista,13,362176,4708288
2023-04-20,Electrodomesticos,Refrigerador,Norte,Mayorista,9,407787,3670083
2023-10-31,Vestuario,Pantalon,Norte,Mayorista,3,68552,205656
2023-04-10,Vestuario,Pantalon,Centro,Mayorista,8,295690,2365520
2023-06-21,Tecnologia,Smartphone,Norte,Minorista,19,201284,3824396
2023-03-04,Deportes,Balon,Centro,Mayorista,15,439348,6590220
2023-09-11,Vestuario,Chaqueta,Centro,Minorista,17,140902,2395334
2023-08-13,Tecnologia,Notebook,Norte,Mayorista,16,225602,3609632
2023-08-30,Electrodomesticos,Refrigerador,Sur,Mayorista,20,184499,3689980
2023-12-17,Hogar,Silla,Sur,Minorista,8,20631,165048
2023-07-29,Tecnologia,Notebook,Sur,Mayorista,13,251079,3264027
2023-07-01,Deportes,Bicicleta,Sur,Mayorista,9,463529,4171761
2023-02-04,Vestuario,Zapatillas,Sur,Minorista,11,473083,5203913
2023-03-31,Deportes,Pesas,Centro,Minorista,7,225996,1581972
2023-02-25,Electrodomesticos,Aspiradora,Centro,Mayorista,10,167283,1672830
2023-10-04,Electrodomesticos,Lavadora,Norte,Minorista,18,87053,1566954
2023-03-11,Hogar,Silla,Norte,Mayorista,19,261731,4972889
2023-02-19,Tecnologia,Tablet,Sur,Minorista,1,37748,37748
2023-12-11,Vestuario,Chaqueta,Norte,Mayorista,14,378328,5296592
2023-11-17,Hogar,Mesa,Sur,Minorista,8,471301,3770408
2023-01-09,Electrodomesticos,Refrigerador,Centro,Mayorista,8,427793,3422344
2023-09-17,Deportes,Balon,Centro,Mayorista,1,327532,327532
2023-06-23,Tecnologia,Notebook,Sur,Minorista,19,75693,1438167
2023-06-05,Vestuario,Pantalon,Sur,Minorista,2,488173,976346
2023-03-18,Deportes,Balon,Centro,Minorista,17,7920,134640
2023-02-12,Deportes,Raqueta,Centro,Mayorista,20,428519,8570380
2023-01-27,Electrodomesticos,Aspiradora,Centro,Minorista,3,70683,212049
2023-03-01,Electrodomesticos,Refrigerador,Norte,Mayorista,20,461730,9234600
2023-02-21,Deportes,Bicicleta,Norte,Mayorista,19,158005,3002095
2023-07-26,Deportes,Balon,Centro,Minorista,3,341966,1025898
2023-05-30,Tecnologia,Notebook,Centro,Minorista,10,171347,1713470
2023-01-17,Deportes,Bicicleta,Sur,Minorista,4,179615,718460
2023-10-20,Deportes,Balon,Centro,Mayorista,3,466873,1400619
2023-03-28,Vestuario,Zapatillas,Norte,Mayorista,5,378207,1891035
2023-07-03,Deportes,Balon,Sur,Mayorista,11,25194,277134
2023-11-23,Hogar,Sofa,Centro,Minorista,9,17633,158697
2023-12-18,Electrodomesticos,Refrigerador,Centro,Mayorista,1,391755,391755
2023-10-06,Deportes,Bicicleta,Sur,Mayorista,8,9843,78744
2023-02-23,Electrodomesticos,Aspiradora,Sur,Mayorista,4,399841,1599364
2023-06-06,Vestuario,Polera,Sur,Mayorista,4,77547,310188
2023-04-15,Electrodomesticos,Aspiradora,Sur,Mayorista,5,309151,1545755
2023-07-14,Hogar,Silla,Norte,Mayorista,7,419302,2935114
2023-03-28,Hogar,Mesa,Centro,Mayorista,3,367558,1102674
2023-05-15,Hogar,Silla,Sur,Mayorista,4,134880,539520
2023-08-05,Electrodomesticos,Aspiradora,Sur,Minorista,18,277885,5001930
2023-09-09,Tecnologia,Tablet,Norte,Minorista,11,491895,5410845
2023-05-18,Hogar,Silla,Centro,Minorista,10,255480,2554800
2023-04-26,Hogar,Mesa,Sur,Mayorista,8,375766,3006128
2023-11-17,Vestuario,Polera,Norte,Mayorista,11,241523,2656753
2023-04-11,Electrodomesticos,Refrigerador,Sur,Mayorista,13,223230,2901990
2023-02-13,Tecnologia,Tablet,Centro,Minorista,7,134137,938959
2023-11-15,Vestuario,Pantalon,Centro,Mayorista,2,390590,781180
2023-09-08,Hogar,Silla,Norte,Minorista,3,85145,255435
2023-09-08,Tecnologia,Notebook,Sur,Minorista,11,309644,3406084
2023-03-01,Deportes,Bicicleta,Norte,Minorista,16,50398,806368
2023-01-04,Hogar,Lampara,Sur,Minorista,10,193461,1934610
2023-11-17,Electrodomesticos,Aspiradora,Sur,Mayorista,4,86549,346196
2023-03-17,Vestuario,Pantalon,Norte,Minorista,1,53824,53824
2023-04-05,Vestuario,Pantalon,Centro,Minorista,12,462552,5550624
2023-05-31,Vestuario,Pantalon,Sur,Mayorista,19,56731,1077889
2023-05-07,Deportes,Balon,Sur,Mayorista,2,287645,575290
2023-08-03,Electrodomesticos,Microondas,Centro,Mayorista,12,44821,537852
2023-04-23,Electrodomesticos,Microondas,Norte,Mayorista,9,70797,637173
2023-03-08,Hogar,Mesa,Norte,Mayorista,3,475494,1426482
2023-10-07,Hogar,Sofa,Sur,Mayorista,6,81610,489660
2023-08-26,Hogar,Lampara,Norte,Minorista,3,252276,756828
2023-07-08,Deportes,Bicicleta,Sur,Mayorista,7,372494,2607458
2023-07-22,Deportes,Pesas,Norte,Mayorista,3,413905,1241715
2023-07-24,Vestuario,Zapatillas,Norte,Mayorista,17,472684,8035628
2023-02-13,Tecnologia,Monitor,Norte,Mayorista,11,31396,345356
2023-02-25,Deportes,Bicicleta,Centro,Minorista,16,100998,1615968
2023-05-21,Hogar,Mesa,Centro,Mayorista,10,70347,703470
2023-04-01,Deportes,Raqueta,Norte,Minorista,7,447441,3132087
2023-04-08,Electrodomesticos,Microondas,Sur,Minorista,10,122789,1227890
2023-05-25,Hogar,Lampara,Centro,Mayorista,20,363014,7260280
2023-02-07,Vestuario,Chaqueta,Norte,Mayorista,11,406014,4466154
2023-09-15,Tecnologia,Notebook,Norte,Mayorista,12,377000,4524000
2023-09-20,Tecnologia,Smartphone,Centro,Mayorista,18,164723,2965014
2023-06-02,Deportes,Bicicleta,Sur,Minorista,10,98955,989550
2023-02-02,Deportes,Balon,Centro,Mayorista,17,253925,4316725
2023-07-18,Hogar,Sofa,Centro,Mayorista,17,64694,1099798
2023-11-03,Tecnologia,Monitor,Sur,Mayorista,12,419712,5036544
2023-05-11,Electrodomesticos,Aspiradora,Norte,Mayorista,3,330294,990882
2023-07-03,Tecnologia,Monitor,Norte,Minorista,6,143579,861474
2023-07-12,Vestuario,Chaqueta,Centro,Minorista,12,297095,3565140
2023-07-12,Electrodomesticos,Aspiradora,Sur,Minorista,7,305939,2141573
2023-09-16,Hogar,Silla,Centro,Minorista,4,55346,221384
2023-02-21,Hogar,Sofa,Norte,Mayorista,19,169025,3211475
2023-06-14,Deportes,Bicicleta,Norte,Minorista,5,324595,1622975
2023-06-01,Deportes,Raqueta,Centro,Minorista,8,410134,3281072
2023-11-15,Deportes,Raqueta,Norte,Minorista,19,272566,5178754
2023-03-13,Hogar,Mesa,Norte,Minorista,4,13350,53400
2023-07-10,Vestuario,Zapatillas,Centro,Mayorista,1,171914,171914
2023-02-07,Hogar,Lampara,Sur,Mayorista,13,431611,5610943
2023-09-10,Deportes,Raqueta,Norte,Minorista,14,457734,6408276
2023-03-28,Electrodomesticos,Aspiradora,Norte,Mayorista,3,231222,693666
2023-11-01,Tecnologia,Notebook,Sur,Minorista,11,424786,4672646
2023-01-19,Vestuario,Polera,Sur,Mayorista,14,258339,3616746
2023-06-09,Tecnologia,Smartphone,Sur,Minorista,19,244228,4640332
2023-03-10,Tecnologia,Notebook,Centro,Mayorista,15,28300,424500
2023-05-08,Tecnologia,Smartphone,Norte,Mayorista,11,127519,1402709
2023-03-05,Hogar,Sofa,Norte,Mayorista,19,179184,3404496
2023-08-29,Electrodomesticos,Lavadora,Centro,Mayorista,8,403497,3227976
2023-05-16,Tecnologia,Tablet,Centro,Mayorista,20,143410,2868200
2023-02-06,Electrodomesticos,Lavadora,Centro,Mayorista,16,163734,2619744
2023-07-06,Electrodomesticos,Microondas,Norte,Mayorista,11,136167,1497837
2023-12-24,Hogar,Mesa,Centro,Mayorista,12,480292,5763504
2023-03-05,Tecnologia,Tablet,Norte,Mayorista,12,456528,5478336
2023-08-16,Hogar,Silla,Centro,Mayorista,6,251858,1511148
2023-05-05,Electrodomesticos,Lavadora,Sur,Minorista,14,296175,4146450
2023-10-13,Deportes,Bicicleta,Norte,Mayorista,18,245324,4415832
2023-05-06,Vestuario,Zapatillas,Centro,Minorista,12,160099,1921188
2023-10-19,Tecnologia,Monitor,Sur,Mayorista,9,77341,696069
2023-06-28,Vestuario,Zapatillas,Centro,Mayorista,15,25666,384990
2023-12-13,Deportes,Balon,Centro,Mayorista,9,273704,2463336
2023-12-05,Vestuario,Pantalon,Sur,Mayorista,7,265935,1861545
2023-06-03,Tecnologia,Tablet,Sur,Minorista,20,253170,5063400
2023-09-07,Hogar,Lampara,Sur,Minorista,15,254856,3822840
2023-10-08,Vestuario,Pantalon,Norte,Minorista,17,195519,3323823
2023-01-25,Deportes,Bicicleta,Centro,Mayorista,12,146516,1758192
2023-12-11,Vestuario,Polera,Norte,Minorista,3,468733,1406199
2023-11-01,Tecnologia,Smartphone,Sur,Mayorista,15,304094,4561410
2023-08-03,Electrodomesticos,Aspiradora,Sur,Mayorista,1,409768,409768
2023-06-12,Deportes,Balon,Centro,Mayorista,9,135975,1223775
2023-06-26,Electrodomesticos,Microondas,Norte,Minorista,15,64510,967650
2023-07-12,Vestuario,Chaqueta,Norte,Mayorista,2,240936,481872
2023-06-06,Tecnologia,Tablet,Norte,Minorista,4,38251,153004
2023-06-15,Tecnologia,Notebook,Sur,Minorista,11,247906,2726966
2023-12-09,Vestuario,Zapatillas,Sur,Mayorista,9,243012,2187108
2023-01-16,Electrodomesticos,Lavadora,Norte,Minorista,13,57440,746720
2023-12-21,Deportes,Raqueta,Sur,Mayorista,20,146380,2927600
2023-06-19,Hogar,Mesa,Sur,Mayorista,11,476062,5236682
2023-12-06,Tecnologia,Monitor,Centro,Mayorista,7,482936,3380552
2023-01-05,Vestuario,Pantalon,Sur,Minorista,8,420134,3361072
2023-06-03,Tecnologia,Smartphone,Sur,Minorista,17,210693,3581781
2023-06-04,Deportes,Raqueta,Norte,Mayorista,16,354707,5675312
2023-09-13,Electrodomesticos,Refrigerador,Sur,Mayorista,1,161978,161978
2023-05-23,Vestuario,Chaqueta,Norte,Mayorista,9,168753,1518777
2023-06-01,Electrodomesticos,Lavadora,Sur,Mayorista,10,278804,2788040
2023-01-25,Tecnologia,Tablet,Centro,Minorista,6,108520,651120
2023-10-06,Deportes,Pesas,Sur,Mayorista,14,125993,1763902
2023-03-21,Electrodomesticos,Aspiradora,Sur,Mayorista,17,123245,2095165
2023-06-25,Tecnologia,Monitor,Norte,Minorista,20,384057,7681140
2023-08-31,Deportes,Bicicleta,Norte,Mayorista,18,302890,5452020
2023-07-11,Deportes,Bicicleta,Norte,Minorista,14,233543,3269602
2023-09-24,Vestuario,Polera,Norte,Mayorista,13,391009,5083117
2023-12-21,Tecnologia,Notebook,Norte,Mayorista,2,299189,598378
2023-11-26,Hogar,Lampara,Norte,Minorista,18,311248,5602464
2023-07-12,Vestuario,Chaqueta,Sur,Mayorista,7,7422,51954
2023-06-04,Hogar,Mesa,Sur,Mayorista,3,22677,68031
2023-05-14,Deportes,Bicicleta,Norte,Mayorista,16,26521,424336
2023-02-19,Electrodomesticos,Aspiradora,Centro,Mayorista,15,482615,7239225
2023-07-27,Hogar,Mesa,Sur,Mayorista,4,158779,635116
2023-11-07,Tecnologia,Smartphone,Norte,Minorista,19,142754,2712326
2023-11-01,Electrodomesticos,Refrigerador,Norte,Mayorista,18,405083,7291494
2023-07-29,Electrodomesticos,Microondas,Norte,Mayorista,13,68106,885378
2023-07-30,Tecnologia,Tablet,Norte,Minorista,9,408034,3672306
2023-09-14,Tecnologia,Tablet,Norte,Mayorista,5,393243,1966215
2023-08-27,Tecnologia,Monitor,Norte,Mayorista,13,283738,3688594
2023-05-04,Electrodomesticos,Refrigerador,Centro,Minorista,2,180028,360056
2023-12-08,Deportes,Raqueta,Sur,Mayorista,1,172425,172425
2023-01-20,Vestuario,Polera,Centro,Mayorista,14,98533,1379462
2023-12-03,Electrodomesticos,Aspiradora,Norte,Mayorista,20,160899,3217980
2023-06-24,Electrodomesticos,Aspiradora,Sur,Mayorista,7,68983,482881
2023-01-29,Tecnologia,Smartphone,Norte,Mayorista,1,492749,492749
2023-04-21,Tecnologia,Notebook,Centro,Mayorista,7,16607,116249
2023-02-09,Hogar,Lampara,Norte,Mayorista,8,301959,2415672
2023-06-28,Hogar,Mesa,Sur,Mayorista,4,481141,1924564
2023-03-31,Vestuario,Zapatillas,Centro,Mayorista,8,280225,2241800
2023-03-31,Vestuario,Pantalon,Sur,Mayorista,8,26581,212648
2023-11-15,Tecnologia,Monitor,Sur,Mayorista,17,266930,4537810
2023-04-01,Deportes,Pesas,Sur,Minorista,13,43363,563719
2023-08-01,Hogar,Lampara,Sur,Minorista,13,267121,3472573
2023-06-13,Electrodomesticos,Aspiradora,Norte,Mayorista,16,83999,1343984
2023-03-08,Vestuario,Chaqueta,Centro,Minorista,7,429609,3007263
2023-03-04,Hogar,Sofa,Centro,Mayorista,13,68865,895245
2023-05-14,Tecnologia,Tablet,Sur,Minorista,13,480636,6248268
2023-09-23,Electrodomesticos,Microondas,Sur,Mayorista,13,402857,5237141
2023-02-06,Deportes,Pesas,Sur,Mayorista,12,496519,5958228
2023-01-04,Deportes,Pesas,Centro,Minorista,16,374678,5994848
2023-10-18,Electrodomesticos,Refrigerador,Centro,Mayorista,7,134692,942844
2023-04-08,Tecnologia,Notebook,Norte,Mayorista,3,141899,425697
2023-04-17,Hogar,Lampara,Centro,Mayorista,1,485252,485252
2023-08-28,Tecnologia,Monitor,Sur,Mayorista,6,280586,1683516
2023-12-19,Tecnologia,Tablet,Centro,Minorista,8,180376,1443008
2023-01-25,Electrodomesticos,Microondas,Centro,Mayorista,10,493765,4937650
2023-04-04,Tecnologia,Smartphone,Centro,Mayorista,20,347440,6948800
2023-04-16,Hogar,Lampara,Sur,Minorista,13,18815,244595
2023-01-06,Hogar,Lampara,Norte,Minorista,20,471217,9424340
2023-04-17,Deportes,Raqueta,Norte,Mayorista,18,342211,6159798
2023-11-12,Electrodomesticos,Refrigerador,Norte,Minorista,13,426733,5547529
2023-03-31,Electrodomesticos,Microondas,Centro,Mayorista,5,78502,392510
2023-11-05,Vestuario,Pantalon,Centro,Mayorista,17,495149,8417533
2023-01-14,Tecnologia,Monitor,Norte,Minorista,5,48210,241050
2023-09-21,Hogar,Lampara,Sur,Minorista,15,304386,4565790
2023-05-16,Hogar,Sofa,Centro,Mayorista,6,42117,252702
2023-01-04,Hogar,Mesa,Norte,Mayorista,17,14738,250546
2023-06-03,Electrodomesticos,Aspiradora,Centro,Mayorista,6,257612,1545672
2023-01-22,Hogar,Lampara,Sur,Minorista,18,372808,6710544
2023-12-01,Hogar,Sofa,Norte,Mayorista,18,55462,998316
2023-01-06,Electrodomesticos,Refrigerador,Sur,Minorista,11,136282,1499102
2023-11-18,Hogar,Silla,Sur,Mayorista,11,52820,581020
2023-06-05,Electrodomesticos,Lavadora,Sur,Minorista,13,34426,447538
2023-06-24,Hogar,Silla,Sur,Minorista,14,243178,3404492
2023-04-24,Vestuario,Zapatillas,Norte,Mayorista,18,46609,838962
2023-09-26,Vestuario,Pantalon,Sur,Minorista,18,333959,6011262
2023-08-14,Deportes,Balon,Norte,Mayorista,8,410714,3285712
2023-08-19,Hogar,Sofa,Centro,Mayorista,8,397604,3180832
2023-01-20,Hogar,Sofa,Sur,Minorista,6,276300,1657800
2023-06-15,Deportes,Balon,Sur,Minorista,2,411963,823926
2023-09-12,Vestuario,Polera,Centro,Minorista,8,52322,418576
2023-12-22,Tecnologia,Monitor,Sur,Mayorista,18,383493,6902874
2023-03-09,Deportes,Balon,Sur,Minorista,8,439156,3513248
2023-06-17,Electrodomesticos,Microondas,Norte,Minorista,2,247987,495974
2023-08-26,Hogar,Silla,Norte,Mayorista,4,286564,1146256
2023-02-11,Hogar,Silla,Norte,Mayorista,17,91793,1560481
2023-04-13,Vestuario,Zapatillas,Centro,Mayorista,20,340246,6804920
2023-11-01,Vestuario,Chaqueta,Norte,Minorista,6,122601,735606
2023-07-14,Hogar,Silla,Norte,Mayorista,7,412714,2888998
2023-12-30,Electrodomesticos,Aspiradora,Sur,Mayorista,1,26578,26578
2023-07-26,Hogar,Sofa,Norte,Mayorista,9,223324,2009916
2023-02-06,Deportes,Bicicleta,Centro,Minorista,2,102365,204730
2023-08-08,Hogar,Lampara,Sur,Minorista,5,35356,176780
2023-08-17,Deportes,Pesas,Centro,Mayorista,11,379858,4178438
2023-04-01,Tecnologia,Tablet,Sur,Minorista,14,88469,1238566
2023-01-03,Deportes,Raqueta,Sur,Minorista,16,433754,6940064
2023-05-20,Hogar,Silla,Centro,Minorista,16,484487,7751792
2023-06-24,Tecnologia,Smartphone,Sur,Minorista,14,280059,3920826
2023-05-25,Vestuario,Zapatillas,Norte,Mayorista,9,13258,119322
2023-04-15,Vestuario,Zapatillas,Centro,Mayorista,7,119825,838775
2023-12-16,Deportes,Balon,Centro,Mayorista,6,162384,974304
2023-07-05,Vestuario,Pantalon,Norte,Mayorista,15,25389,380835
2023-12-06,Deportes,Pesas,Norte,Mayorista,4,315029,1260116
2023-07-21,Tecnologia,Monitor,Centro,Minorista,16,146716,2347456
2023-08-02,Deportes,Balon,Centro,Mayorista,3,45382,136146
2023-01-21,Deportes,Pesas,Sur,Minorista,3,123970,371910
2023-01-12,Vestuario,Polera,Sur,Minorista,16,416980,6671680
2023-08-07,Hogar,Mesa,Sur,Minorista,4,194292,777168
2023-03-21,Hogar,Mesa,Centro,Minorista,2,159058,318116
2023-09-09,Tecnologia,Smartphone,Centro,Mayorista,4,65597,262388
2023-03-31,Deportes,Bicicleta,Centro,Minorista,15,438046,6570690
2023-08-09,Hogar,Lampara,Sur,Mayorista,7,210592,1474144
2023-01-26,Hogar,Lampara,Norte,Minorista,15,474672,7120080
2023-12-04,Tecnologia,Smartphone,Centro,Minorista,15,355547,5333205
2023-03-10,Hogar,Mesa,Sur,Minorista,2,81356,162712
2023-11-23,Electrodomesticos,Lavadora,Centro,Mayorista,13,478527,6220851
2023-07-20,Vestuario,Chaqueta,Centro,Mayorista,12,46149,553788
2023-02-27,Vestuario,Zapatillas,Centro,Minorista,20,485598,9711960
2023-11-02,Tecnologia,Tablet,Sur,Minorista,1,285127,285127
2023-01-11,Electrodomesticos,Microondas,Centro,Minorista,12,136431,1637172
2023-07-01,Electrodomesticos,Lavadora,Sur,Minorista,18,491093,8839674
2023-04-23,Tecnologia,Tablet,Norte,Minorista,6,365721,2194326
2023-11-30,Tecnologia,Monitor,Sur,Mayorista,9,403103,3627927
2023-11-20,Electrodomesticos,Aspiradora,Sur,Mayorista,19,440374,8367106
2023-10-26,Vestuario,Polera,Centro,Minorista,15,283934,4259010
2023-01-02,Tecnologia,Smartphone,Centro,Minorista,15,221728,3325920
2023-05-14,Electrodomesticos,Lavadora,Norte,Minorista,2,49721,99442
2023-12-13,Vestuario,Pantalon,Centro,Minorista,8,287031,2296248
2023-10-22,Electrodomesticos,Aspiradora,Sur,Minorista,8,462227,3697816
2023-12-01,Hogar,Sofa,Centro,Minorista,3,421768,1265304
2023-11-24,Electrodomesticos,Aspiradora,Norte,Minorista,19,256334,4870346
2023-02-17,Tecnologia,Smartphone,Centro,Mayorista,10,332360,3323600
2023-04-13,Deportes,Bicicleta,Centro,Mayorista,2,174273,348546
2023-08-15,Hogar,Lampara,Norte,Minorista,10,160623,1606230
2023-05-07,Deportes,Raqueta,Centro,Mayorista,6,77241,463446
2023-09-16,Deportes,Raqueta,Sur,Mayorista,10,384437,3844370
2023-04-19,Vestuario,Zapatillas,Norte,Mayorista,8,181069,1448552
2023-08-31,Electrodomesticos,Microondas,Sur,Minorista,19,161317,3065023
2023-03-26,Hogar,Silla,Sur,Minorista,13,303767,3948971
2023-09-18,Vestuario,Pantalon,Centro,Mayorista,9,227060,2043540
2023-03-25,Tecnologia,Tablet,Norte,Minorista,20,237204,4744080
2023-08-29,Electrodomesticos,Microondas,Sur,Mayorista,14,113250,1585500
2023-02-16,Vestuario,Pantalon,Centro,Minorista,4,457746,1830984
2023-01-07,Vestuario,Zapatillas,Sur,Mayorista,17,41394,703698
2023-02-21,Hogar,Lampara,Norte,Mayorista,2,228253,456506
2023-11-27,Deportes,Raqueta,Sur,Mayorista,9,291676,2625084
2023-06-30,Hogar,Mesa,Sur,Minorista,17,333062,5662054
2023-06-08,Vestuario,Polera,Sur,Minorista,4,209426,837704
2023-12-12,Deportes,Raqueta,Sur,Minorista,6,37485,224910
2023-03-27,Tecnologia,Tablet,Sur,Mayorista,12,448508,5382096
2023-12-13,Electrodomesticos,Aspiradora,Norte,Minorista,17,476580,8101860
2023-12-30,Tecnologia,Monitor,Centro,Mayorista,5,433748,2168740
2023-08-05,Electrodomesticos,Microondas,Sur,Mayorista,16,359905,5758480
2023-04-20,Deportes,Bicicleta,Norte,Mayorista,2,455347,910694
