fecha,categoria,ventas,margen
2024-06-01,Deportes,521378,95843
2024-06-01,Electrodomesticos,633165,155578
2024-07-01,Tecnologia,1283910,299127
2024-07-01,Hogar,832663,177918
2024-07-01,Vestuario,366566,96467
2024-07-01,Deportes,477382,87567
2024-07-01,Electrodomesticos,990563,263549
2024-08-01,Tecnologia,1128088,297054
2024-08-01,Hogar,546396,132510
2024-08-01,Vestuario,326027,100219
2024-08-01,Deportes,550810,156150
2024-08-01,Electrodomesticos,612803,180240
2024-09-01,Tecnologia,1239808,453478
2024-09-01,Hogar,651484,179598
2024-09-01,Vestuario,307525,73230
2024-09-01,Deportes,374999,78460
2024-09-01,Electrodomesticos,855637,252227
2024-10-01,Tecnologia,1167711,424895
2024-10-01,Hogar,594356,175614
2024-10-01,Vestuario,359084,72405
2024-10-01,Deportes,491474,89964
2024-10-01,Electrodomesticos,750090,235769
2024-11-01,Tecnologia,988876,181920
2024-11-01,Hogar,539043,202750
2024-11-01,Vestuario,366978,124201
2024-11-01,Deportes,463339,85915
2024-11-01,Electrodomesticos,866132,264892
2024-12-01,Tecnologia,1359565,491684
2024-12-01,Hogar,676567,200683
2024-12-01,Vestuario,420594,87496
2024-12-01,Deportes,491945,156336
2024-12-01,Electrodomesticos,857600,302032
