fecha,region,ciudad,latitud,longitud,eventos,poblacion
2024-09-24,Centro,Rancagua,-34.16377556894063,-70.72341397218736,52,232211
2024-06-30,Sur,Concepcion,-36.826700980469795,-73.0491490619577,40,223574
2024-04-30,Sur,Concepcion,-36.8236068374484,-73.0465121434815,45,223574
2024-10-21,Centro,Santiago,-33.445213099010054,-70.66528274107168,1071,5614000
2024-08-02,Sur,PuertoMontt,-41.45604074837494,-72.94282069010515,36,245902
2024-01-29,Centro,Santiago,-33.44094689053093,-70.66113741507407,1137,5614000
2023-06-08,Norte,Antofagasta,-23.64390420106382,-70.39462379923373,115,425725
2024-08-09,Centro,Santiago,-33.469744905929865,-70.68993287992123,1109,5614000
2023-11-03,Norte,Arica,-18.468186371015054,-70.30104151243158,65,247552
2024-06-05,Sur,Concepcion,-36.81542633613204,-73.04798373564188,46,223574
2023-10-06,Sur,Temuco,-38.73327517999972,-72.58397810417084,56,282415
2023-01-26,Norte,Iquique,-20.20988056785447,-70.14804414848783,45,191468
2023-02-08,Centro,Valparaiso,-33.05277707465306,-71.61503610144922,60,296655
2024-02-27,Sur,Temuco,-38.74216287523328,-72.60100113101134,54,282415
2024-08-06,Centro,Rancagua,-34.16026467968233,-70.73231415066412,48,232211
2024-03-28,Centro,Rancagua,-34.16525915579873,-70.72344249418671,50,232211
2023-10-17,Sur,Concepcion,-36.82468328525843,-73.03739166264508,48,223574
2024-06-20,Centro,Santiago,-33.47826052410419,-70.67353153783195,1092,5614000
2024-10-07,Norte,Iquique,-20.236217683425235,-70.12998178485451,36,191468
2023-12-21,Norte,Arica,-18.49298716006374,-70.3157888837454,42,247552
2024-05-05,Norte,Iquique,-20.223570371912167,-70.13633872118967,49,191468
2024-12-03,Sur,Temuco,-38.74342449057278,-72.58730443031996,47,282415
2023-02-02,Centro,Santiago,-33.45816834925127,-70.68169154949052,1147,5614000
2023-04-16,Norte,Iquique,-20.22136025416622,-70.1371867243935,31,191468
2023-05-20,Sur,Temuco,-38.73114328487637,-72.58094128322111,58,282415
2023-11-22,Sur,PuertoMontt,-41.45906912074522,-72.94367703971051,50,245902
2024-02-18,Sur,PuertoMontt,-41.47481428150239,-72.93025361361583,41,245902
2024-06-09,Norte,Antofagasta,-23.649595265504313,-70.4061329119168,75,425725
2024-06-07,Norte,Arica,-18.488717701641864,-70.31266196812312,59,247552
2023-07-23,Norte,Iquique,-20.228515975206502,-70.13303016037098,39,191468
2024-09-03,Sur,Temuco,-38.72083417352758,-72.58613750719564,52,282415
2024-08-22,Centro,Santiago,-33.443075861403926,-70.66950205043469,1123,5614000
2023-07-13,Centro,Rancagua,-34.16645962822293,-70.74870979884227,42,232211
2024-10-26,Centro,Santiago,-33.45422994977792,-70.67464888113317,1169,5614000
2023-07-30,Centro,Valparaiso,-33.03183336759064,-71.61693820073701,48,296655
2023-04-07,Sur,PuertoMontt,-41.48307908581825,-72.94872423920586,47,245902
2024-04-01,Norte,Arica,-18.465721576367894,-70.32071067205207,39,247552
2024-02-27,Centro,Rancagua,-34.16312178379665,-70.75329724355866,49,232211
2024-07-30,Sur,Concepcion,-36.82657730628662,-73.06183337926366,38,223574
2023-08-25,Norte,Iquique,-20.217053220302184,-70.13612596779251,40,191468
2024-06-23,Centro,Rancagua,-34.17908219156817,-70.73510936524016,41,232211
2023-12-20,Sur,Temuco,-38.71916562882269,-72.60108056352891,52,282415
2024-04-27,Norte,Arica,-18.483075345193267,-70.30434522447318,40,247552
2023-11-22,Norte,Iquique,-20.22803160056115,-70.13734618057214,41,191468
2024-05-07,Sur,Concepcion,-36.81378092369192,-73.04829574370552,37,223574
2024-06-03,Sur,PuertoMontt,-41.49139414444007,-72.94292501184441,49,245902
2024-07-20,Sur,PuertoMontt,-41.465366664025964,-72.93122966980202,50,245902
2024-10-04,Norte,Arica,-18.47149519404101,-70.30726487721483,59,247552
2023-07-07,Centro,Santiago,-33.44132216513124,-70.66833575686275,1098,5614000
2024-05-27,Sur,PuertoMontt,-41.46872296982301,-72.9146566487785,40,245902
2024-02-20,Sur,Temuco,-38.72895771555841,-72.57580826766143,63,282415
2024-03-19,Sur,PuertoMontt,-41.46882272229183,-72.92814652369704,44,245902
2024-12-13,Sur,Temuco,-38.7373565220153,-72.57872490213738,64,282415
2024-04-12,Centro,Santiago,-33.449162193711274,-70.67333428620312,1158,5614000
2023-10-02,Centro,Santiago,-33.44653708186413,-70.67404478978841,1122,5614000
2023-11-02,Centro,Valparaiso,-33.035648422522655,-71.61616724333327,55,296655
2024-02-02,Sur,PuertoMontt,-41.47780182434538,-72.92276367876265,41,245902
2023-03-27,Sur,PuertoMontt,-41.46699961568085,-72.93098214434823,52,245902
2023-12-10,Norte,Arica,-18.48689553157893,-70.306769299865,49,247552
2023-09-21,Sur,Concepcion,-36.83667112852686,-73.06087818697807,45,223574
2024-07-28,Centro,Valparaiso,-33.06388035425695,-71.61836055396611,70,296655
2023-05-31,Centro,Valparaiso,-33.03118342579386,-71.63321678515199,42,296655
2024-06-25,Centro,Santiago,-33.45938357956093,-70.67838784938071,1129,5614000
2024-12-09,Norte,Antofagasta,-23.63955045493705,-70.39347367038344,66,425725
2023-01-13,Norte,Arica,-18.479957677544995,-70.3138621303851,51,247552
2024-07-09,Centro,Rancagua,-34.177160640245944,-70.73967213470536,33,232211
2023-06-14,Sur,PuertoMontt,-41.47462116075847,-72.92933809235406,52,245902
2023-12-11,Sur,PuertoMontt,-41.46539075767934,-72.93807138052674,44,245902
2024-02-28,Sur,PuertoMontt,-41.481136078810316,-72.94431200489316,44,245902
2024-08-21,Centro,Rancagua,-34.16142966780839,-70.74418335351268,60,232211
2024-07-28,Centro,Santiago,-33.44941907455342,-70.66609851289545,1074,5614000
2024-01-20,Centro,Rancagua,-34.176477783169645,-70.75205162684595,41,232211
2023-12-01,Centro,Santiago,-33.462581552554916,-70.66169126016561,1125,5614000
2023-03-23,Centro,Santiago,-33.4352349587444,-70.65835030992648,1166,5614000
2023-05-21,Sur,Concepcion,-36.833706224892346,-73.04986301810884,49,223574
2024-04-19,Centro,Valparaiso,-33.03889233868276,-71.61082550414518,69,296655
2024-12-04,Sur,Temuco,-38.71372700426852,-72.59028338323553,66,282415
2023-03-10,Norte,Antofagasta,-23.640108901679532,-70.39891047597801,83,425725
2023-10-30,Sur,Temuco,-38.72649449645098,-72.60139351738387,54,282415
2023-01-19,Norte,Iquique,-20.233580485392327,-70.13916268927696,38,191468
2024-07-24,Sur,Temuco,-38.74146397961443,-72.58893136216813,46,282415
2024-10-27,Sur,Temuco,-38.72263723243707,-72.59465888758105,41,282415
2023-05-19,Sur,Temuco,-38.75159622839326,-72.60084420995248,55,282415
2024-03-14,Centro,Valparaiso,-33.0528013053705,-71.60994464522956,52,296655
2024-04-26,Norte,Antofagasta,-23.65665815815159,-70.40388797520697,77,425725
2023-11-15,Norte,Iquique,-20.2405757054078,-70.12748383970474,36,191468
2024-08-08,Norte,Antofagasta,-23.64472624197849,-70.38838189367534,101,425725
2023-08-08,Norte,Arica,-18.46712362294217,-70.32713084260286,48,247552
2023-11-06,Sur,Concepcion,-36.82600946584846,-73.04991086761379,35,223574
2023-08-03,Norte,Arica,-18.471596857559252,-70.30548049401561,43,247552
2024-11-09,Centro,Valparaiso,-33.03473726934503,-71.60607619730204,65,296655
2023-06-21,Norte,Arica,-18.48122714131701,-70.3073659325059,45,247552
2024-11-07,Sur,PuertoMontt,-41.457786705974925,-72.92911226798164,36,245902
2023-02-16,Centro,Santiago,-33.44634620536859,-70.66738565383439,1080,5614000
2023-07-29,Norte,Arica,-18.490208473790936,-70.3031767673206,45,247552
2024-09-01,Sur,Temuco,-38.720266619761084,-72.58502246964125,54,282415
2023-10-20,Centro,Rancagua,-34.18154775514904,-70.72954076405652,44,232211
2023-08-27,Norte,Arica,-18.485683389422867,-70.32683737701201,45,247552
2023-11-23,Norte,Iquique,-20.228134335981505,-70.14910661879016,32,191468
2023-10-22,Norte,Arica,-18.46029990961946,-70.3098811627519,63,247552
2024-05-14,Sur,PuertoMontt,-41.4732386299942,-72.93881959664876,43,245902
2023-12-07,Sur,Temuco,-38.70701032084261,-72.59703923768356,52,282415
2023-05-31,Sur,Temuco,-38.73887173042411,-72.59722053846886,53,282415
2023-06-07,Sur,Concepcion,-36.82608521848965,-73.04547758495274,33,223574
2023-01-31,Sur,Concepcion,-36.80407863845448,-73.05387223892967,42,223574
2023-08-22,Centro,Rancagua,-34.184621219334666,-70.74688430960569,43,232211
2023-07-04,Sur,Temuco,-38.721594725237885,-72.60779560592985,59,282415
2023-08-04,Sur,Concepcion,-36.83989339026225,-73.0568504317951,36,223574
2023-05-18,Centro,Santiago,-33.44526958565335,-70.69562674811121,1146,5614000
2024-12-28,Centro,Valparaiso,-33.06038614235253,-71.59893223848668,59,296655
2024-01-05,Sur,Concepcion,-36.83245579204402,-73.05336928048844,26,223574
2023-02-24,Centro,Santiago,-33.43816010046035,-70.68051866736965,1094,5614000
2023-01-13,Norte,Arica,-18.47766611237732,-70.30298197434558,59,247552
2024-04-09,Sur,PuertoMontt,-41.50141598743816,-72.94096759045419,54,245902
2023-11-03,Norte,Arica,-18.479778094765127,-70.3329348138818,46,247552
2023-01-26,Sur,Concepcion,-36.81655547801173,-73.03425425453291,38,223574
2024-07-28,Norte,Arica,-18.49185153661859,-70.29274590577076,43,247552
2023-07-08,Norte,Iquique,-20.22623139736013,-70.13949913541153,44,191468
2024-06-19,Centro,Santiago,-33.4314739335894,-70.68327214667498,1104,5614000
2024-05-03,Sur,Temuco,-38.753649036041885,-72.5858953779043,58,282415
2024-07-29,Sur,PuertoMontt,-41.46765885859442,-72.93962524923688,49,245902
2023-03-25,Centro,Valparaiso,-33.04820198735352,-71.59553434192985,63,296655
2023-02-15,Centro,Valparaiso,-33.057018673600126,-71.60836557265252,64,296655
2023-12-04,Sur,Concepcion,-36.81781754283332,-73.05779065485689,34,223574
2023-08-20,Sur,PuertoMontt,-41.47918320582824,-72.93991749665015,57,245902
2023-01-11,Sur,PuertoMontt,-41.46683440307946,-72.93630374450514,63,245902
2024-06-10,Sur,Concepcion,-36.82215598193283,-73.04570838419853,40,223574
2024-01-05,Centro,Valparaiso,-33.0481494959586,-71.61327493404902,63,296655
2024-12-18,Centro,Rancagua,-34.17142500632544,-70.75924882265083,47,232211
2023-10-03,Sur,Concepcion,-36.82096267198199,-73.0383787436876,51,223574
2023-10-06,Sur,Temuco,-38.754192451810006,-72.58561392301401,49,282415
2023-12-28,Centro,Santiago,-33.46095654736546,-70.66393662061168,1113,5614000
2023-01-15,Sur,Temuco,-38.71153838481968,-72.59709076741143,63,282415
2023-09-20,Norte,Arica,-18.47129630148942,-70.32973442082715,46,247552
2023-03-04,Sur,Temuco,-38.74476486146746,-72.59574879055897,86,282415
2023-07-07,Centro,Valparaiso,-33.06038662633052,-71.6129468828017,61,296655
2024-03-25,Sur,PuertoMontt,-41.48350166153912,-72.93172834250275,60,245902
2023-02-19,Centro,Rancagua,-34.180589278489265,-70.75028564479544,41,232211
2023-06-06,Centro,Rancagua,-34.148590542272906,-70.77039662320153,45,232211
2024-08-09,Sur,Concepcion,-36.82672397503127,-73.06712396232913,48,223574
2024-05-27,Sur,PuertoMontt,-41.462496426185176,-72.93012460964984,49,245902
2023-06-22,Sur,PuertoMontt,-41.47563565950794,-72.92562000541079,52,245902
2023-08-05,Norte,Antofagasta,-23.639877749335955,-70.40744499425355,95,425725
2024-05-31,Centro,Santiago,-33.46116916865858,-70.67302821463257,1103,5614000
2024-05-03,Centro,Santiago,-33.46112880629466,-70.68759031813967,1114,5614000
2024-05-08,Centro,Valparaiso,-33.06555384407648,-71.62147225722761,54,296655
2023-04-17,Centro,Rancagua,-34.156068093923835,-70.7445306862304,45,232211
2023-12-03,Sur,Temuco,-38.72809653782793,-72.60113710656015,68,282415
2024-09-02,Norte,Iquique,-20.24526883435804,-70.11733829413956,41,191468
2023-03-17,Sur,Concepcion,-36.84166041400029,-73.0521737889869,44,223574
2024-06-21,Sur,PuertoMontt,-41.4790157973357,-72.93099048119961,48,245902
2024-05-27,Sur,Temuco,-38.738648717343466,-72.59311956229509,40,282415
2023-07-28,Norte,Iquique,-20.245570281179443,-70.13381027244706,44,191468
2023-01-28,Centro,Valparaiso,-33.04533821772208,-71.6024777597443,60,296655
2024-09-14,Centro,Santiago,-33.44397419663058,-70.66380753085495,1102,5614000
2024-01-18,Norte,Arica,-18.44990117046572,-70.31186121148446,48,247552
2023-05-19,Centro,Valparaiso,-33.055156129336,-71.60574323084238,69,296655
2023-07-23,Sur,Temuco,-38.738225862066756,-72.58941601475648,60,282415
2024-07-15,Norte,Iquique,-20.219209260038546,-70.12570923600936,44,191468
2024-10-22,Centro,Rancagua,-34.16435683250194,-70.73711652393963,39,232211
2024-06-20,Norte,Antofagasta,-23.647340992770115,-70.39714940373757,83,425725
2024-05-23,Centro,Santiago,-33.448781458588535,-70.65977190107148,1145,5614000
2024-03-28,Sur,Concepcion,-36.83672417600291,-73.03793677460048,46,223574
2024-06-17,Centro,Rancagua,-34.17569760689874,-70.75549971593715,40,232211
2024-09-01,Sur,PuertoMontt,-41.47770949338755,-72.93933444682277,44,245902
2024-02-18,Norte,Iquique,-20.23151097732837,-70.12297675234113,38,191468
2024-08-04,Norte,Iquique,-20.243989791260265,-70.1263730153046,39,191468
2023-09-03,Centro,Valparaiso,-33.04478575891245,-71.60222325371406,57,296655
2024-04-01,Centro,Rancagua,-34.18392276746037,-70.74621972467675,52,232211
2024-04-10,Centro,Rancagua,-34.16445056082188,-70.76594760779571,41,232211
2024-04-05,Norte,Iquique,-20.23579127429619,-70.14578777695687,46,191468
2024-04-02,Norte,Arica,-18.489343794640412,-70.30688471119862,66,247552
2024-05-11,Sur,Temuco,-38.74176859140516,-72.6072572465829,56,282415
2024-04-10,Norte,Arica,-18.468004445199497,-70.28491618357633,53,247552
2023-09-28,Centro,Rancagua,-34.15753825851973,-70.75360269059063,37,232211
2023-08-20,Centro,Rancagua,-34.1777995726514,-70.74735421702695,57,232211
2024-06-30,Sur,Concepcion,-36.816843914135234,-73.04685823811398,30,223574
2024-11-08,Norte,Arica,-18.480337532479762,-70.3245041028957,47,247552
2023-05-08,Norte,Arica,-18.47673612363633,-70.33134393988261,56,247552
2023-08-11,Sur,PuertoMontt,-41.48093542186902,-72.93289446018245,59,245902
2023-08-06,Norte,Antofagasta,-23.648181779022558,-70.39061911114473,84,425725
2024-09-03,Sur,PuertoMontt,-41.48089328080304,-72.93820448788686,54,245902
2024-07-20,Norte,Antofagasta,-23.643872356413347,-70.39321215299131,87,425725
2023-12-02,Sur,PuertoMontt,-41.500723021152815,-72.9402519349492,62,245902
2024-08-19,Centro,Rancagua,-34.161850049921625,-70.7536059589504,43,232211
2023-02-06,Sur,Concepcion,-36.84321897239715,-73.04619984230229,45,223574
2023-12-10,Centro,Rancagua,-34.17935821332456,-70.73851630492719,57,232211
2023-06-24,Norte,Antofagasta,-23.6560542881691,-70.39726130867979,100,425725
2023-11-09,Norte,Arica,-18.4677145790581,-70.30724788644501,51,247552
2024-11-14,Norte,Arica,-18.470771386674343,-70.31789157543501,51,247552
2023-08-19,Sur,Concepcion,-36.83429990723477,-73.04659657756842,43,223574
2023-06-03,Norte,Arica,-18.47661790251098,-70.31844696599302,48,247552
2023-02-08,Norte,Antofagasta,-23.651674034966796,-70.40057793705323,83,425725
2024-04-08,Norte,Iquique,-20.234415592088993,-70.13921066799945,33,191468
2023-06-09,Norte,Iquique,-20.22582083277006,-70.14713417379008,31,191468
2023-04-16,Sur,Temuco,-38.73730425525338,-72.58196075282102,64,282415
2023-12-19,Norte,Arica,-18.47781535577633,-70.31167134643023,67,247552
2024-09-12,Sur,PuertoMontt,-41.48839587363986,-72.93361118036196,55,245902
2023-04-14,Sur,PuertoMontt,-41.46970086765797,-72.92479683658951,46,245902
2024-06-07,Centro,Santiago,-33.44140615517173,-70.66886062356467,1170,5614000
2024-04-18,Norte,Arica,-18.497627407272216,-70.31012147330499,38,247552
2024-01-13,Sur,Concepcion,-36.822569113270006,-73.06498925304707,40,223574
2024-07-25,Sur,Temuco,-38.748911394061906,-72.59081782151759,50,282415
2023-06-13,Norte,Iquique,-20.232325810861774,-70.12614841022624,35,191468
2023-03-10,Norte,Antofagasta,-23.645803003312082,-70.40504380083294,88,425725
2024-05-07,Sur,PuertoMontt,-41.48880137773851,-72.93024402199559,47,245902
2023-10-22,Sur,PuertoMontt,-41.4807511978131,-72.93098591248173,53,245902
2023-01-27,Norte,Iquique,-20.217428664320025,-70.11612140452381,34,191468
2023-01-01,Sur,Concepcion,-36.833761937022444,-73.061770762332,52,223574
2024-06-17,Centro,Santiago,-33.44713843638282,-70.67111698402047,1103,5614000
2024-12-09,Norte,Arica,-18.459487207462573,-70.32458034786755,47,247552
2023-05-24,Sur,Concepcion,-36.798832874632296,-73.04372412551726,47,223574
2024-12-12,Norte,Iquique,-20.22917515753356,-70.13031382554588,35,191468
2023-08-23,Sur,PuertoMontt,-41.46448442781159,-72.95293224797157,42,245902
2023-04-09,Norte,Iquique,-20.225230613465357,-70.13679030133606,40,191468
2023-08-05,Norte,Arica,-18.458824014746753,-70.30672816732559,46,247552
2023-01-25,Centro,Santiago,-33.44903787411,-70.6657053642119,1163,5614000
2023-07-13,Centro,Rancagua,-34.165720819668785,-70.74676946915353,46,232211
2023-11-18,Sur,PuertoMontt,-41.484530711423645,-72.94672484544056,44,245902
2024-09-17,Sur,Temuco,-38.70965151357088,-72.58537271316911,57,282415
2023-01-04,Sur,Temuco,-38.74577508269567,-72.58762513927984,55,282415
2024-09-30,Centro,Valparaiso,-33.05142896308832,-71.62063607976775,48,296655
2023-11-30,Centro,Valparaiso,-33.04136884403587,-71.61972256155461,63,296655
2024-09-12,Sur,Temuco,-38.74181885813453,-72.59200729478233,44,282415
2024-07-05,Centro,Valparaiso,-33.04298409944378,-71.59941021414036,60,296655
2024-09-20,Norte,Arica,-18.501467985379726,-70.31400244259099,46,247552
2023-07-19,Norte,Antofagasta,-23.650252812937687,-70.385893537748,63,425725
2023-08-20,Centro,Rancagua,-34.16705762706396,-70.74786786572916,40,232211
2023-04-05,Norte,Antofagasta,-23.65320473604099,-70.4027741609304,85,425725
2024-03-10,Norte,Arica,-18.48882388403983,-70.30887098489752,56,247552
2023-11-08,Norte,Arica,-18.472172412872023,-70.32590429582255,49,247552
2023-11-21,Centro,Rancagua,-34.19760805018372,-70.75295070317569,51,232211
2023-01-13,Sur,Concepcion,-36.84629470364404,-73.05064123598454,53,223574
2024-09-04,Centro,Santiago,-33.44843220502185,-70.68008073613674,1113,5614000
2024-06-03,Norte,Antofagasta,-23.650762741292443,-70.40655168945874,85,425725
2023-06-26,Norte,Iquique,-20.239911646544684,-70.1347406303307,30,191468
2024-06-08,Sur,Temuco,-38.712542659185935,-72.58829331500509,67,282415
2024-07-22,Norte,Antofagasta,-23.63886830778323,-70.3957763415146,74,425725
2023-02-25,Sur,Concepcion,-36.82882710742777,-73.04148640443837,45,223574
2023-07-27,Norte,Arica,-18.490276518629486,-70.33050068173742,42,247552
2024-08-05,Sur,Temuco,-38.73770611335492,-72.58143917300612,66,282415
2023-04-03,Sur,PuertoMontt,-41.476970207266156,-72.93270089792425,46,245902
2024-04-12,Sur,Concepcion,-36.821325268014114,-73.03675752873139,38,223574
2024-06-02,Centro,Rancagua,-34.17074767188297,-70.7391140702883,44,232211
2024-07-09,Sur,Temuco,-38.72348812670607,-72.5902715062617,47,282415
2024-07-02,Sur,Concepcion,-36.816561814551335,-73.04457727433814,46,223574
2023-06-21,Norte,Arica,-18.50198574025296,-70.31094836635071,50,247552
2024-03-19,Sur,PuertoMontt,-41.48562591192028,-72.9219364854277,65,245902
2024-04-26,Centro,Santiago,-33.46582540358401,-70.67768715476343,1152,5614000
2024-10-20,Centro,Santiago,-33.477809464339366,-70.66853648078327,1148,5614000
2023-05-15,Sur,PuertoMontt,-41.48232171186118,-72.9578652080226,51,245902
2024-09-04,Centro,Valparaiso,-33.044254411464614,-71.59369363879296,53,296655
2024-10-26,Norte,Antofagasta,-23.66263777354524,-70.38899136534839,75,425725
2024-08-13,Sur,PuertoMontt,-41.44450656324078,-72.93314683175737,57,245902
2023-05-11,Sur,Concepcion,-36.82471794276013,-73.07116947969887,43,223574
2023-11-30,Centro,Rancagua,-34.17833154714238,-70.76139424319372,49,232211
2024-09-24,Norte,Arica,-18.47173771964555,-70.32029295489907,53,247552
2024-04-29,Norte,Iquique,-20.227615128949175,-70.14140675897737,36,191468
2023-08-29,Norte,Arica,-18.48385244880945,-70.31235935668747,52,247552
2024-10-09,Centro,Rancagua,-34.16663838000425,-70.75410015981022,36,232211
2023-10-20,Sur,Concepcion,-36.81845245221871,-73.04842030630778,45,223574
2023-04-21,Norte,Arica,-18.481376377489347,-70.30485188707411,51,247552
2024-08-30,Centro,Rancagua,-34.17097109657584,-70.74282144718569,43,232211
2023-01-14,Norte,Antofagasta,-23.652715254204296,-70.40699409724988,88,425725
2023-08-08,Centro,Rancagua,-34.1746835737157,-70.75047814677109,35,232211
2023-02-17,Norte,Antofagasta,-23.65365187234742,-70.4212650170866,87,425725
2024-11-02,Centro,Rancagua,-34.15465414306169,-70.73612726353679,56,232211
2023-01-29,Norte,Iquique,-20.230250354256242,-70.14074789824247,37,191468
2023-08-22,Centro,Valparaiso,-33.06557120618638,-71.62087166150077,58,296655
2023-11-29,Norte,Iquique,-20.216057372047807,-70.13240810888763,39,191468
2024-12-26,Centro,Santiago,-33.45484248047738,-70.66641942246771,1147,5614000
2023-07-06,Sur,Concepcion,-36.81477367305611,-73.04430130295314,30,223574
2024-07-12,Norte,Iquique,-20.21388501174325,-70.11559031946611,39,191468
2023-09-07,Centro,Rancagua,-34.1781708191249,-70.74759421888587,45,232211
2024-09-29,Norte,Iquique,-20.23832854489598,-70.122592771714,40,191468
2023-07-28,Centro,Valparaiso,-33.05487318282843,-71.61390819287894,65,296655
2023-09-07,Norte,Antofagasta,-23.641588702583473,-70.39669036265113,90,425725
