fecha,categoria,region,ventas,beneficio
2023-02-13,Vestuario,Sur,47391,16229
2024-06-13,Electrodomesticos,Norte,78776,14568
2024-11-10,Vestuario,Norte,56899,21878
2023-02-06,Vestuario,Sur,68477,25299
2024-08-08,Tecnologia,Sur,226533,63215
2022-11-07,Tecnologia,Norte,203468,49045
2022-10-19,Electrodomesticos,Norte,100710,17715
2024-06-08,Deportes,Sur,97537,31906
2023-06-08,Vestuario,Centro,26296,10208
2024-09-19,Vestuario,Norte,43043,18026
2022-03-04,Vestuario,Centro,45173,17027
2023-03-05,Vestuario,Centro,78062,32467
2022-05-03,Deportes,Norte,82291,31293
2024-11-23,Electrodomesticos,Sur,246356,44496
2024-05-28,Deportes,Centro,73302,24454
2022-11-13,Hogar,Norte,149894,43685
2024-03-05,Vestuario,Norte,29823,12131
2024-12-13,Vestuario,Norte,51028,22859
2022-06-22,Vestuario,Centro,17187,8186
2022-05-14,Vestuario,Norte,43772,12524
2022-12-04,Hogar,Sur,112968,37878
2022-08-10,Tecnologia,Centro,185245,51838
2022-02-21,Tecnologia,Norte,168946,48521
2023-06-06,Deportes,Sur,68138,22873
2023-08-22,Deportes,Sur,113343,38362
2023-03-02,Electrodomesticos,Norte,157323,28976
2024-05-07,Vestuario,Norte,62749,20769
2022-02-04,Electrodomesticos,Centro,169800,32000
2023-05-07,Deportes,Norte,36001,12007
2022-06-17,Electrodomesticos,Norte,237106,45717
2022-01-12,Electrodomesticos,Centro,100116,21122
2024-04-19,Hogar,Norte,44456,12323
2023-11-07,Deportes,Sur,73528,21993
2023-05-26,Electrodomesticos,Centro,92427,19420
2023-09-28,Hogar,Centro,112757,33023
2022-02-18,Hogar,Centro,150136,43073
2022-09-06,Hogar,Sur,127375,28931
2024-01-03,Electrodomesticos,Sur,207416,36999
2024-03-31,Hogar,Norte,135236,35334
2023-06-27,Hogar,Norte,139710,41404
2024-06-30,Electrodomesticos,Centro,231482,54189
2024-06-17,Tecnologia,Centro,223917,49151
2023-08-29,Hogar,Sur,124668,33428
2022-04-11,Vestuario,Sur,60341,20725
2022-02-14,Tecnologia,Norte,136086,30526
2024-03-08,Electrodomesticos,Norte,200987,39698
2023-09-25,Deportes,Centro,88045,26423
2023-09-27,Electrodomesticos,Centro,253377,41671
2024-06-02,Electrodomesticos,Sur,174725,30267
2022-08-26,Electrodomesticos,Centro,194145,45433
2022-04-17,Deportes,Norte,78777,28117
2022-10-15,Vestuario,Norte,63399,24509
2024-01-13,Deportes,Centro,96257,31398
2024-02-29,Vestuario,Sur,55220,20316
2023-12-18,Hogar,Sur,128977,32420
2024-05-03,Tecnologia,Centro,262039,48529
2023-01-15,Deportes,Sur,72585,24912
2022-08-24,Electrodomesticos,Norte,142953,29574
2023-08-21,Electrodomesticos,Centro,142645,26733
2023-04-25,Tecnologia,Norte,268491,72020
2023-03-17,Vestuario,Centro,44804,15260
2023-04-05,Deportes,Norte,89661,25820
2022-12-13,Hogar,Sur,123130,37253
2023-09-13,Hogar,Sur,89389,29025
2022-12-12,Electrodomesticos,Sur,295896,44556
2024-08-28,Deportes,Norte,56815,17204
2024-12-18,Deportes,Centro,59801,22120
2024-03-13,Hogar,Sur,104440,32973
2022-04-14,Vestuario,Centro,61755,27107
2024-08-23,Tecnologia,Sur,124728,29874
2024-03-26,Deportes,Centro,48258,11257
2022-07-08,Deportes,Sur,30031,8636
2022-01-17,Tecnologia,Sur,162991,47958
2024-06-11,Electrodomesticos,Sur,190266,37223
2022-11-18,Tecnologia,Centro,130210,27795
2024-11-21,Electrodomesticos,Centro,209040,50309
2023-01-18,Deportes,Sur,53023,16928
2022-08-21,Deportes,Norte,76505,22497
2024-04-30,Tecnologia,Norte,293006,91269
2024-08-03,Vestuario,Sur,77309,35130
2023-10-19,Vestuario,Sur,67099,20769
2023-04-09,Vestuario,Sur,48103,17786
2023-01-25,Vestuario,Norte,55837,24404
2023-02-27,Vestuario,Norte,46751,23324
2024-06-05,Deportes,Norte,73975,24959
2022-06-01,Electrodomesticos,Norte,280519,62266
2024-03-18,Tecnologia,Centro,159347,38981
2024-01-15,Hogar,Centro,111001,24525
2022-07-18,Tecnologia,Centro,195954,46323
2023-11-12,Vestuario,Norte,52278,20720
2024-11-17,Hogar,Norte,166105,59814
2023-08-12,Electrodomesticos,Sur,210150,38009
2023-04-06,Electrodomesticos,Centro,151541,33445
2022-03-15,Vestuario,Sur,45076,16343
2022-12-15,Tecnologia,Norte,108075,30597
2024-05-08,Tecnologia,Centro,213568,60034
2024-04-18,Tecnologia,Sur,249770,66334
2024-05-16,Electrodomesticos,Centro,210240,47345
2022-04-22,Tecnologia,Centro,106701,23975
2023-07-24,Electrodomesticos,Sur,196864,53382
2022-11-17,Electrodomesticos,Centro,162578,33514
2023-07-09,Vestuario,Norte,41009,16359
2023-09-13,Electrodomesticos,Sur,179058,35487
2023-09-09,Hogar,Centro,149032,51478
2023-10-23,Hogar,Sur,115583,26729
2024-11-19,Electrodomesticos,Norte,262327,59505
2022-03-06,Tecnologia,Norte,177990,46814
2022-07-31,Electrodomesticos,Norte,254520,43259
2024-08-19,Vestuario,Norte,40562,10478
2023-07-24,Hogar,Centro,115410,29874
2022-06-03,Tecnologia,Norte,94297,20031
2023-04-13,Hogar,Centro,134983,48457
2023-01-22,Electrodomesticos,Centro,180666,40396
2023-01-13,Tecnologia,Centro,240314,54436
2022-08-20,Hogar,Norte,161297,51212
2024-02-18,Electrodomesticos,Norte,269267,53336
2023-04-18,Vestuario,Norte,70147,21933
2022-04-07,Tecnologia,Centro,212541,52203
2022-07-30,Electrodomesticos,Centro,241659,57844
2024-02-21,Deportes,Norte,112725,38075
2024-12-20,Hogar,Centro,128849,36829
2024-12-02,Vestuario,Norte,56078,20955
2024-10-17,Vestuario,Centro,47619,19287
2022-05-10,Tecnologia,Norte,190996,57065
2022-04-17,Electrodomesticos,Centro,164226,33056
2024-05-19,Tecnologia,Centro,214528,65475
2022-04-04,Deportes,Centro,72614,22730
2022-04-23,Deportes,Sur,37129,11847
2022-02-01,Tecnologia,Norte,241024,59553
2022-03-04,Hogar,Norte,120380,37199
2024-05-25,Vestuario,Centro,37393,13947
2024-08-26,Deportes,Centro,105033,32890
2023-06-06,Deportes,Centro,74632,19675
2022-07-21,Deportes,Sur,24367,8966
2024-09-03,Vestuario,Centro,39638,14251
2024-04-21,Deportes,Sur,98043,35192
2022-09-14,Vestuario,Norte,86364,35370
2023-10-30,Hogar,Sur,127622,42011
2024-11-09,Vestuario,Norte,66987,21479
2022-08-30,Vestuario,Centro,15901,6015
2024-11-11,Hogar,Sur,132494,37072
2023-07-18,Tecnologia,Centro,200430,49636
2023-07-26,Tecnologia,Centro,101132,27900
2023-03-15,Electrodomesticos,Sur,240486,47358
2024-12-10,Vestuario,Sur,79648,26468
2022-04-14,Tecnologia,Sur,271985,75224
2022-08-15,Electrodomesticos,Norte,276075,50617
2022-10-08,Hogar,Centro,96070,28951
2022-06-13,Electrodomesticos,Centro,226692,50040
2024-08-14,Deportes,Sur,87996,26621
2022-02-03,Electrodomesticos,Norte,160183,26705
2023-07-24,Vestuario,Sur,56493,24033
2022-05-06,Vestuario,Centro,28357,11687
2022-03-29,Vestuario,Norte,73679,31716
2024-06-25,Hogar,Centro,103060,25296
2023-11-19,Hogar,Sur,110553,29935
2023-11-18,Tecnologia,Norte,196922,57040
2022-02-13,Electrodomesticos,Centro,204345,38258
2024-07-16,Deportes,Sur,87549,27726
2023-04-21,Deportes,Sur,70783,23475
2023-12-20,Vestuario,Sur,64312,22860
2023-08-12,Vestuario,Norte,61841,20093
2023-10-27,Tecnologia,Sur,115201,33164
2023-09-15,Hogar,Norte,90824,25173
2022-08-25,Vestuario,Centro,37558,16650
2022-09-10,Hogar,Norte,146791,39993
2024-02-21,Electrodomesticos,Centro,106089,24183
2024-05-16,Deportes,Norte,77051,23339
2023-02-09,Deportes,Sur,56651,15583
2022-11-15,Deportes,Sur,88207,28473
2023-07-20,Electrodomesticos,Centro,81841,14231
2023-12-12,Deportes,Sur,66369,18409
2022-10-02,Tecnologia,Sur,196620,37701
2022-02-20,Electrodomesticos,Centro,127574,27053
2024-05-01,Vestuario,Centro,58214,20151
2022-06-09,Electrodomesticos,Sur,161333,30969
2022-12-18,Deportes,Sur,75655,25077
2022-06-30,Electrodomesticos,Sur,211685,40627
2023-07-20,Vestuario,Norte,74700,33101
2024-05-24,Hogar,Sur,126300,33206
2023-07-28,Tecnologia,Centro,82418,19926
2024-08-04,Hogar,Norte,140534,45658
2023-10-31,Vestuario,Centro,48955,18978
2022-04-28,Vestuario,Sur,88736,27372
2022-07-23,Hogar,Centro,138919,46711
2024-08-26,Deportes,Sur,54814,17401
2024-12-18,Hogar,Centro,129206,36610
2024-12-23,Electrodomesticos,Centro,226382,42159
2023-05-09,Hogar,Centro,128426,38419
2024-09-20,Tecnologia,Sur,254318,69549
2022-02-17,Vestuario,Sur,57268,25276
2023-11-07,Deportes,Centro,64051,20272
2022-06-21,Electrodomesticos,Norte,257400,49858
2024-03-12,Tecnologia,Sur,281864,86496
2023-01-18,Vestuario,Centro,52226,15689
2022-01-21,Hogar,Centro,91285,20405
2023-02-24,Vestuario,Sur,56320,20077
2022-05-28,Electrodomesticos,Centro,128970,27299
2023-07-14,Electrodomesticos,Sur,191416,33388
2023-07-23,Hogar,Norte,107081,31732
2024-01-18,Vestuario,Norte,76047,29680
2024-03-09,Hogar,Sur,80913,22731
2024-07-23,Electrodomesticos,Centro,263188,48724
2024-09-29,Hogar,Norte,99940,30634
2022-01-11,Hogar,Norte,56850,16483
2024-10-02,Tecnologia,Centro,102408,23769
2023-12-08,Electrodomesticos,Centro,256200,49355
2024-06-08,Hogar,Norte,97999,28102
2024-01-25,Tecnologia,Norte,161488,42130
2024-11-09,Tecnologia,Centro,181329,45978
2022-01-08,Hogar,Centro,110426,30317
2022-07-12,Vestuario,Norte,65659,26456
2024-08-10,Vestuario,Norte,71054,28971
2023-06-02,Hogar,Norte,64726,16176
2024-05-29,Vestuario,Norte,82811,25930
2024-08-21,Vestuario,Sur,42338,16033
2023-12-19,Hogar,Sur,105659,36595
2024-10-15,Vestuario,Sur,61221,22200
2022-08-15,Vestuario,Sur,59661,22643
2022-11-22,Hogar,Centro,142137,53757
2024-01-17,Tecnologia,Centro,137838,30574
2023-07-15,Deportes,Norte,37721,12824
2022-12-08,Tecnologia,Norte,146248,37248
2022-04-16,Tecnologia,Sur,157645,35825
2024-04-12,Vestuario,Centro,46350,16783
2023-09-06,Electrodomesticos,Sur,215952,44611
2023-09-11,Electrodomesticos,Sur,214422,43044
2022-10-15,Electrodomesticos,Centro,206253,44080
2022-11-21,Electrodomesticos,Norte,91848,21001
2023-06-29,Hogar,Norte,66174,24614
2024-12-11,Vestuario,Centro,75281,27948
2023-09-04,Vestuario,Norte,29510,10464
2023-11-24,Hogar,Norte,72794,22341
2023-08-14,Tecnologia,Centro,174662,47998
2023-09-11,Vestuario,Centro,40422,12978
2024-10-27,Electrodomesticos,Sur,200323,32420
2024-07-29,Electrodomesticos,Centro,161483,28891
2022-02-06,Vestuario,Sur,39412,17685
2023-06-03,Electrodomesticos,Norte,316678,63687
2024-07-26,Deportes,Centro,69387,20710
2022-06-21,Deportes,Centro,77641,25203
2022-09-02,Electrodomesticos,Norte,228179,44418
2023-10-14,Deportes,Sur,107685,32991
2024-05-02,Hogar,Centro,108370,31624
2024-02-09,Tecnologia,Centro,168317,30497
2022-02-24,Hogar,Norte,130692,46955
2024-07-13,Electrodomesticos,Sur,167904,32521
2022-04-21,Deportes,Sur,56853,18515
2022-08-19,Deportes,Centro,65954,21210
2024-10-21,Tecnologia,Norte,217022,55727
2024-12-07,Vestuario,Sur,51643,21572
2024-10-25,Hogar,Sur,85047,22701
2023-10-01,Electrodomesticos,Norte,176046,38610
2022-07-10,Deportes,Centro,41137,14464
2024-08-13,Hogar,Sur,41824,13607
2023-12-24,Tecnologia,Centro,180497,43042
2022-01-29,Electrodomesticos,Norte,222935,42067
2023-06-24,Vestuario,Centro,36597,14686
2024-12-23,Deportes,Norte,60830,17845
2022-11-23,Vestuario,Centro,34149,14067
2024-04-05,Vestuario,Sur,51975,18359
2023-11-28,Hogar,Centro,103679,30123
2022-09-22,Tecnologia,Sur,219243,61385
2022-11-16,Tecnologia,Norte,187870,43869
2024-04-29,Tecnologia,Norte,171030,46538
2022-11-22,Tecnologia,Sur,257916,69588
2024-03-10,Deportes,Centro,104063,30406
2022-03-12,Hogar,Norte,66232,15707
2022-06-02,Deportes,Centro,62602,19203
2023-04-24,Vestuario,Centro,52242,16652
2022-03-03,Tecnologia,Norte,176132,48570
2022-02-15,Deportes,Norte,103900,27741
2024-11-17,Hogar,Sur,132765,36391
2023-03-23,Electrodomesticos,Centro,119280,22854
2022-01-26,Electrodomesticos,Centro,208137,29781
2022-04-26,Vestuario,Sur,76488,31039
2022-03-30,Deportes,Centro,92576,26832
2023-12-24,Tecnologia,Sur,221840,60129
2024-01-07,Vestuario,Norte,45777,19243
2024-12-01,Hogar,Centro,116223,37389
2022-09-14,Electrodomesticos,Norte,123736,24641
2024-07-01,Deportes,Norte,67229,23840
2024-12-17,Tecnologia,Norte,96800,20788
2022-06-03,Hogar,Norte,132904,47366
2022-05-20,Deportes,Norte,70632,25148
2024-09-13,Electrodomesticos,Sur,184684,37908
2022-02-23,Hogar,Centro,131355,32966
2024-06-23,Tecnologia,Centro,197657,49899
2022-05-23,Deportes,Norte,85089,22349
2024-09-18,Deportes,Sur,56032,19208
2024-10-07,Electrodomesticos,Centro,267665,39538
2022-08-08,Tecnologia,Centro,148369,34259
2022-01-05,Tecnologia,Norte,345618,101013
2023-03-27,Hogar,Centro,96661,26487
2022-02-25,Electrodomesticos,Sur,180630,33506
2023-05-07,Deportes,Centro,88267,32113
2022-01-07,Vestuario,Norte,45772,17533
2024-02-07,Vestuario,Centro,27915,12183
2022-05-22,Hogar,Centro,109588,25692
2023-07-03,Vestuario,Centro,31973,11650
2024-06-22,Electrodomesticos,Centro,89577,13939
2024-12-13,Deportes,Sur,70532,25944
2022-02-12,Electrodomesticos,Sur,158898,29334
2022-03-28,Hogar,Sur,163689,49182
2023-11-13,Electrodomesticos,Sur,151387,24172
2023-04-10,Hogar,Centro,142539,39532
2023-06-13,Tecnologia,Norte,174476,31170
2024-07-22,Vestuario,Norte,50398,20485
2023-01-25,Hogar,Centro,57092,13249
2023-11-17,Electrodomesticos,Norte,122991,27158
2024-09-13,Tecnologia,Centro,287784,64316
2024-08-21,Tecnologia,Sur,246334,62182
2022-03-28,Vestuario,Norte,67613,22265
2022-07-01,Vestuario,Norte,45049,17052
2023-12-09,Hogar,Sur,91674,24354
2023-05-10,Hogar,Centro,97209,30536
2022-01-07,Electrodomesticos,Centro,212175,38778
2024-05-28,Vestuario,Centro,37926,13701
2022-11-27,Tecnologia,Centro,260440,68901
2023-02-22,Deportes,Sur,74656,21203
2022-12-02,Electrodomesticos,Centro,148458,32167
2024-05-03,Hogar,Centro,118208,31065
2024-09-28,Electrodomesticos,Centro,122779,23562
2022-08-28,Electrodomesticos,Centro,196078,33973
2022-08-30,Hogar,Norte,132732,41229
2024-02-17,Deportes,Sur,88427,22446
2023-03-06,Vestuario,Centro,52271,22627
2022-06-14,Hogar,Sur,121831,36079
2023-12-04,Electrodomesticos,Centro,121846,24362
2023-07-08,Hogar,Norte,123615,35991
2023-04-10,Vestuario,Sur,53728,20504
2022-11-12,Vestuario,Norte,40036,15813
2023-01-14,Tecnologia,Centro,165890,41792
2023-10-16,Deportes,Centro,85173,29649
2022-10-10,Hogar,Centro,132445,47575
2023-06-04,Vestuario,Sur,82115,30603
2023-12-10,Vestuario,Centro,69780,26983
2023-10-06,Hogar,Centro,148687,47596
2022-06-25,Vestuario,Norte,80260,30940
2024-07-02,Electrodomesticos,Norte,252097,37932
2022-01-12,Vestuario,Sur,57867,22361
2024-10-02,Electrodomesticos,Centro,156104,27388
2023-01-29,Hogar,Norte,96619,26072
2023-11-18,Electrodomesticos,Sur,163893,36228
2023-03-08,Tecnologia,Norte,145297,39991
2023-06-23,Electrodomesticos,Centro,134575,26743
2024-02-12,Hogar,Sur,101140,33068
2024-04-15,Electrodomesticos,Norte,222053,43066
2022-08-18,Vestuario,Norte,82269,28851
2022-11-26,Tecnologia,Sur,303764,77622
2022-03-19,Deportes,Centro,68843,20776
2023-09-06,Hogar,Centro,88606,21643
2023-12-10,Vestuario,Centro,44847,19944
2024-02-02,Electrodomesticos,Norte,164060,31627
2023-12-14,Hogar,Norte,95754,36753
2023-11-05,Vestuario,Norte,49557,21756
2023-04-28,Vestuario,Sur,54934,21886
2023-07-01,Vestuario,Norte,48408,18370
2023-05-16,Hogar,Norte,51796,15937
2023-11-21,Vestuario,Centro,64715,21645
2022-05-04,Vestuario,Norte,44531,15166
2022-02-11,Hogar,Norte,165028,52482
2023-08-29,Deportes,Sur,76983,20678
2022-09-27,Tecnologia,Sur,286986,84645
2022-01-14,Hogar,Centro,176232,53781
2022-01-15,Hogar,Centro,107390,32859
2024-12-31,Tecnologia,Sur,157865,40966
2022-10-20,Deportes,Sur,54819,17094
2024-11-10,Tecnologia,Centro,204949,58146
2024-11-22,Deportes,Norte,55289,14429
2024-07-11,Hogar,Centro,59309,14866
2023-04-14,Vestuario,Centro,72633,27442
2023-07-13,Vestuario,Sur,68648,27008
2024-05-01,Vestuario,Centro,97891,37779
2023-05-24,Deportes,Centro,95876,30467
2024-12-13,Deportes,Centro,78345,25121
2024-06-04,Deportes,Centro,35638,12720
2023-02-01,Vestuario,Norte,48385,20650
2023-06-17,Hogar,Sur,55069,16699
2022-09-25,Tecnologia,Norte,256082,63818
2022-11-30,Electrodomesticos,Centro,238467,45091
2022-01-21,Vestuario,Sur,70953,26080
2024-04-01,Electrodomesticos,Norte,75904,13383
2024-03-24,Tecnologia,Norte,190446,41580
2024-08-25,Electrodomesticos,Sur,119887,20706
2023-06-02,Electrodomesticos,Sur,245638,49873
2022-01-24,Hogar,Centro,152363,30355
2023-10-15,Electrodomesticos,Sur,260519,53534
2023-10-10,Deportes,Norte,75632,21528
2024-06-25,Hogar,Centro,120831,36175
2023-04-17,Vestuario,Norte,77720,29898
2023-05-17,Vestuario,Centro,94676,35219
2024-01-25,Vestuario,Norte,50988,21145
2024-08-27,Deportes,Norte,79254,22335
2022-07-05,Hogar,Sur,98962,24517
2022-12-27,Hogar,Sur,136717,49444
2024-08-25,Hogar,Centro,75980,17953
2023-02-02,Deportes,Centro,93970,33237
2024-07-04,Hogar,Centro,42336,14263
2022-01-12,Deportes,Sur,74235,25217
2023-03-17,Electrodomesticos,Norte,156117,34958
2024-04-12,Tecnologia,Centro,194014,50051
2024-06-21,Vestuario,Norte,46928,19371
2024-04-01,Vestuario,Sur,36159,14535
2023-12-28,Vestuario,Norte,57309,27215
2022-11-25,Tecnologia,Norte,108389,21886
2023-07-15,Hogar,Sur,98976,26747
2022-06-30,Hogar,Centro,136259,35173
2024-06-14,Deportes,Sur,59609,19501
2022-12-31,Tecnologia,Sur,117660,33540
2022-05-03,Deportes,Centro,71523,19824
2023-10-18,Tecnologia,Sur,145077,34932
2024-02-05,Deportes,Norte,45058,12503
2023-10-01,Hogar,Norte,177287,43367
2023-04-06,Vestuario,Norte,44294,16071
2023-02-03,Electrodomesticos,Norte,356642,74699
2024-03-19,Vestuario,Norte,77363,22093
2023-04-22,Deportes,Norte,118180,31736
2022-06-06,Tecnologia,Sur,151344,40104
2022-05-07,Electrodomesticos,Sur,156661,28201
2022-08-27,Deportes,Centro,33960,10726
2024-06-06,Vestuario,Norte,59252,21052
2022-07-18,Tecnologia,Sur,103342,23092
2023-07-23,Vestuario,Norte,68109,26739
2024-02-04,Hogar,Norte,115131,42667
2024-01-18,Hogar,Norte,122241,42701
2022-12-07,Hogar,Centro,83360,23387
2023-10-16,Hogar,Centro,119922,38698
2023-07-13,Deportes,Norte,77181,24432
2022-09-05,Electrodomesticos,Norte,96349,18098
2023-10-20,Tecnologia,Norte,253936,57523
2024-05-05,Hogar,Norte,84081,24151
2023-09-20,Vestuario,Centro,34441,12847
2023-10-06,Hogar,Sur,98710,29117
2024-02-22,Deportes,Norte,76639,24368
2024-08-09,Vestuario,Centro,39998,15247
2023-02-02,Electrodomesticos,Sur,132317,25425
2024-03-01,Electrodomesticos,Sur,163462,37451
2024-07-03,Tecnologia,Sur,150134,35055
2023-10-31,Deportes,Centro,71364,22577
2023-12-15,Electrodomesticos,Norte,110935,20683
2022-08-07,Vestuario,Centro,46958,16291
2024-03-25,Hogar,Norte,104404,29930
2023-10-16,Vestuario,Sur,32841,11002
2024-05-24,Vestuario,Norte,57693,21442
2023-09-12,Hogar,Norte,116727,37101
2023-06-27,Vestuario,Centro,71022,24160
2023-12-28,Vestuario,Sur,52689,25329
2023-12-02,Electrodomesticos,Sur,223541,40530
2024-05-31,Electrodomesticos,Norte,153464,30117
2024-06-28,Deportes,Centro,56563,13744
2023-10-21,Electrodomesticos,Centro,179004,32841
2023-04-20,Hogar,Centro,112599,33964
2022-10-04,Deportes,Norte,121512,40330
2023-04-08,Vestuario,Centro,25988,10526
2022-09-23,Electrodomesticos,Centro,248304,56353
2023-07-31,Tecnologia,Norte,25786,6045
2024-09-17,Hogar,Centro,91741,25101
2023-11-07,Tecnologia,Sur,315216,77397
2022-11-10,Hogar,Norte,146904,42177
2024-10-18,Deportes,Norte,94596,38369
2024-09-29,Deportes,Norte,70793,24333
2023-11-04,Electrodomesticos,Sur,144850,31396
2022-08-07,Electrodomesticos,Sur,200634,45335
2023-09-21,Vestuario,Centro,69811,25483
2024-09-11,Hogar,Centro,162388,47901
2023-07-01,Deportes,Norte,84667,26687
2022-10-07,Deportes,Centro,50684,15110
2024-02-27,Hogar,Sur,196703,58385
2023-08-17,Tecnologia,Sur,192845,53890
2023-04-29,Hogar,Norte,125224,40098
2024-08-11,Hogar,Centro,128209,48983
2022-07-31,Tecnologia,Norte,205863,55143
2024-11-29,Vestuario,Norte,29907,8723
2023-04-13,Electrodomesticos,Norte,188595,29410
2024-05-07,Electrodomesticos,Norte,157753,33539
2023-02-16,Electrodomesticos,Centro,159608,31506
2024-05-18,Hogar,Norte,137474,48654
2024-07-21,Hogar,Sur,146531,41253
2024-02-18,Hogar,Centro,128284,43286
2023-10-30,Tecnologia,Centro,180476,48630
2024-06-28,Hogar,Sur,147676,42839
2022-12-09,Deportes,Sur,38364,9538
2024-08-29,Electrodomesticos,Norte,165846,31049
2022-06-06,Hogar,Sur,125239,39064
2022-02-16,Vestuario,Norte,77970,30105
2024-01-13,Tecnologia,Centro,163180,42018
2024-06-02,Vestuario,Centro,90074,37626
2023-12-01,Hogar,Norte,36501,11358
2023-01-10,Vestuario,Norte,59209,23164
2022-09-04,Deportes,Norte,101187,28318
2024-12-24,Tecnologia,Norte,113791,30153
2024-12-31,Deportes,Sur,82804,25977
2023-07-02,Hogar,Norte,87911,25546
2023-06-26,Vestuario,Centro,53933,16240
2024-08-24,Hogar,Sur,102684,29802
2024-10-03,Electrodomesticos,Sur,134973,30353
