id,categoria,ventas,margen,frecuencia
73,Tecnologia,529410,80030,9
74,Deportes,408884,149049,12
75,Vestuario,902179,340953,6
76,Tecnologia,360727,129642,11
77,Electrodomesticos,763439,254153,11
78,Hogar,554039,113779,16
79,Tecnologia,296668,61993,8
80,Vestuario,206345,47799,7
81,Electrodomesticos,232600,56353,10
82,Tecnologia,177143,63748,4
83,Vestuario,623256,237773,8
84,Vestuario,210201,60016,13
85,Hogar,332193,79075,9
86,Hogar,898031,403928,7
87,Vestuario,352692,88463,5
88,Hogar,353836,76622,7
89,Electrodomesticos,882897,177081,7
90,Vestuario,326684,87816,5
91,Vestuario,632562,228737,5
92,Vestuario,931818,208022,8
93,Electrodomesticos,717569,232959,6
94,Electrodomesticos,595916,96962,11
95,Deportes,374523,109989,10
96,Hogar,419408,171143,7
97,Hogar,577684,101240,8
98,Tecnologia,367114,136919,5
99,Vestuario,582695,238584,4
100,Vestuario,1534808,551117,3
101,Electrodomesticos,448655,198689,6
102,Vestuario,157993,48166,5
103,Electrodomesticos,425454,90791,13
104,Tecnologia,327991,99364,6
105,Vestuario,580843,261003,5
106,Tecnologia,659714,178923,8
107,Tecnologia,239447,101564,9
108,Tecnologia,421952,91372,7
109,Electrodomesticos,148921,53711,7
110,Tecnologia,189466,64491,7
111,Tecnologia,450515,122205,4
112,Tecnologia,451114,187779,7
113,Deportes,255160,42548,6
114,Tecnologia,1482274,597827,10
115,Hogar,656844,139631,5
116,Hogar,249603,40961,9
117,Deportes,341923,95296,6
118,Tecnologia,627198,183628,11
119,Electrodomesticos,466677,209960,3
120,Vestuario,862635,294085,6
121,Vestuario,443982,188024,6
122,Tecnologia,323463,64217,4
123,Vestuario,838798,372955,10
124,Tecnologia,281382,122670,5
125,Electrodomesticos,714158,241387,10
126,Tecnologia,420126,143390,9
127,Electrodomesticos,521269,101197,7
128,Vestuario,475130,193476,5
129,Vestuario,556005,94404,5
130,Hogar,1039266,463018,7
131,Tecnologia,395610,146800,4
132,Vestuario,335256,77535,9
133,Deportes,478551,203731,6
134,Electrodomesticos,369161,153839,4
135,Vestuario,523982,102694,9
136,Electrodomesticos,371541,136355,7
137,Vestuario,271213,112408,7
138,Vestuario,532746,212278,6
139,Tecnologia,289964,74992,7
140,Deportes,950106,374354,5
141,Hogar,531862,153939,2
142,Vestuario,688564,223760,4
143,Electrodomesticos,160566,26891,9
144,Hogar,478295,161303,7
145,Vestuario,699042,167371,7
146,Vestuario,498558,221184,7
147,Deportes,211560,79361,4
148,Deportes,204262,74777,6
149,Hogar,124437,54598,7
150,Tecnologia,250358,42233,11
151,Tecnologia,336350,83651,3
152,Hogar,651793,144738,2
153,Vestuario,290805,128201,10
154,Deportes,322599,111188,7
155,Tecnologia,554422,161809,5
156,Hogar,776451,347288,5
157,Electrodomesticos,362210,142508,9
158,Tecnologia,290402,118492,9
159,Vestuario,601029,144154,9
160,Electrodomesticos,195365,83784,6
161,Electrodomesticos,324685,75474,9
162,Tecnologia,486883,153048,10
163,Deportes,207957,63353,10
164,Deportes,464248,173559,7
165,Vestuario,780354,164421,7
166,Hogar,451722,151935,13
167,Deportes,347490,64215,5
168,Vestuario,301154,94593,6
169,Electrodomesticos,232269,91721,4
170,Deportes,616755,262847,4
171,Electrodomesticos,373222,156298,8
172,Vestuario,594134,186986,11
173,Hogar,185120,61633,5
174,Tecnologia,341776,80860,10
175,Hogar,366127,107571,5
176,Electrodomesticos,235565,79012,10
177,Electrodomesticos,445434,155015,3
178,Vestuario,805988,142430,8
179,Deportes,444535,181488,4
180,Electrodomesticos,690377,176022,4
181,Tecnologia,732271,211043,10
182,Vestuario,577284,219239,5
183,Tecnologia,189109,53394,7
184,Electrodomesticos,299599,101305,10
185,Vestuario,341722,94342,7
186,Tecnologia,771543,149747,5
187,Tecnologia,272452,50608,7
188,Deportes,359744,79977,7
189,Vestuario,567935,249116,8
190,Hogar,227659,64333,6
191,Hogar,576306,94740,2
192,Tecnologia,576067,224995,3
193,Deportes,254708,103381,6
194,Electrodomesticos,351634,119044,6
195,Deportes,238061,73999,4
196,Electrodomesticos,646064,262228,9
197,Tecnologia,462951,85528,7
198,Electrodomesticos,235641,102267,3
199,Deportes,489730,211471,7
200,Deportes,474260,130886,7
201,Hogar,828119,187233,4
202,Deportes,572708,113971,6
203,Deportes,815443,310249,8
204,Tecnologia,378494,131259,7
205,Tecnologia,424728,182066,9
206,Deportes,961088,159794,4
207,Tecnologia,909661,234389,5
208,Hogar,390786,73773,7
209,Hogar,660082,292028,3
210,Tecnologia,722433,251002,8
211,Deportes,1196764,294362,8
212,Deportes,237609,48045,6
213,Electrodomesticos,276627,120153,5
214,Electrodomesticos,263843,79752,6
215,Vestuario,771075,215205,4
216,Vestuario,977721,165104,4
217,Tecnologia,328616,126339,6
218,Hogar,411247,120377,10
219,Deportes,311863,76777,5
220,Deportes,526781,202144,13
221,Electrodomesticos,140906,60692,8
222,Deportes,268871,115657,8
223,Electrodomesticos,204743,45545,9
224,Tecnologia,208534,77686,5
225,Deportes,297373,45864,11
226,Tecnologia,349753,154739,7
227,Electrodomesticos,747930,233863,4
228,Vestuario,139942,54141,9
229,Electrodomesticos,232595,99621,5
230,Electrodomesticos,291723,125134,5
231,Vestuario,411305,113604,7
232,Deportes,643989,205347,7
233,Hogar,438623,76623,5
234,Tecnologia,234086,64353,7
235,Deportes,509325,199883,7
236,Electrodomesticos,615146,229905,9
237,Vestuario,1071069,384116,9
238,Hogar,785582,207935,8
239,Vestuario,421558,132992,6
240,Deportes,546368,94201,12
241,Tecnologia,478636,215341,9
242,Electrodomesticos,707384,267943,4
243,Deportes,435177,119414,3
244,Tecnologia,2222903,638861,7
245,Tecnologia,329373,132321,7
246,Deportes,391023,60474,5
247,Electrodomesticos,222988,96468,15
248,Deportes,147667,54215,5
249,Hogar,352154,77336,7
250,Electrodomesticos,253300,75182,5
251,Vestuario,790898,197821,8
252,Tecnologia,250206,69943,6
253,Tecnologia,678112,266622,3
254,Vestuario,417890,152776,9
255,Electrodomesticos,427535,87344,7
256,Electrodomesticos,286469,117989,8
257,Hogar,1187135,355013,10
258,Deportes,945085,308581,9
259,Electrodomesticos,197188,78498,8
260,Tecnologia,1086799,177143,2
261,Vestuario,867365,273119,13
262,Deportes,248540,91421,5
263,Deportes,256336,79673,7
264,Electrodomesticos,337315,86419,4
265,Hogar,575448,238353,7
266,Tecnologia,733108,237185,10
267,Deportes,186370,45967,8
268,Electrodomesticos,355874,103554,8
269,Electrodomesticos,1224495,514067,10
270,Electrodomesticos,295271,83985,6
271,Deportes,403914,176838,5
272,Deportes,344383,83451,6
273,Deportes,416639,125681,7
274,Electrodomesticos,823000,225015,6
275,Vestuario,506888,180717,3
276,Electrodomesticos,437278,76106,4
277,Vestuario,212498,72648,5
278,Electrodomesticos,660389,261960,5
279,Deportes,519013,137521,6
280,Tecnologia,248750,83603,5
281,Tecnologia,336938,78941,11
282,Hogar,553925,93426,4
283,Deportes,321906,144181,5
284,Vestuario,573425,117657,6
285,Vestuario,535578,230998,9
286,Vestuario,1140627,328811,6
287,Hogar,151864,36702,6
288,Tecnologia,600977,136664,5
289,Hogar,573585,232903,5
290,Vestuario,247539,78132,5
291,Tecnologia,530929,188706,12
292,Vestuario,575356,100532,10
293,Tecnologia,751068,143854,5
294,Deportes,579742,231462,11
295,Tecnologia,342138,143060,5
296,Vestuario,411259,74334,8
297,Electrodomesticos,1021872,417174,9
298,Deportes,171007,68693,10
299,Vestuario,565762,85329,9
300,Vestuario,416745,76484,8
301,Deportes,560284,249573,11
302,Electrodomesticos,245294,94323,7
303,Deportes,234660,84573,5
304,Electrodomesticos,557179,185836,7
305,Deportes,531713,152850,2
306,Deportes,529868,203795,4
307,Hogar,239482,78402,6
308,Electrodomesticos,180578,53353,4
309,Deportes,427328,78754,3
310,Vestuario,458091,101922,7
311,Electrodomesticos,431221,111205,6
312,Hogar,575274,150213,6
313,Electrodomesticos,1018696,317149,9
314,Deportes,319204,136062,5
315,Hogar,383288,169253,5
316,Hogar,242997,75136,7
317,Hogar,555484,227730,9
318,Electrodomesticos,506288,81313,7
319,Hogar,591493,245951,7
320,Electrodomesticos,522624,196326,6
321,Tecnologia,421028,84685,4
322,Deportes,497890,129424,8
323,Tecnologia,173767,50500,5
324,Electrodomesticos,310670,117834,4
325,Electrodomesticos,224973,43566,6
326,Hogar,517539,133056,5
327,Tecnologia,415321,74436,13
328,Hogar,478094,161288,9
329,Vestuario,356063,148723,4
330,Tecnologia,173092,72436,5
331,Electrodomesticos,183240,54783,7
332,Tecnologia,581325,136649,10
333,Electrodomesticos,363448,136024,7
334,Electrodomesticos,227036,87879,7
335,Vestuario,517990,208117,7
336,Electrodomesticos,223647,94324,8
337,Hogar,752430,238676,6
338,Deportes,668073,107733,7
339,Hogar,1118256,312006,9
340,Vestuario,828829,157855,6
341,Electrodomesticos,514282,112075,8
342,Deportes,392493,139604,7
343,Deportes,395932,93654,6
344,Tecnologia,620406,187096,5
345,Electrodomesticos,601323,138531,3
346,Vestuario,531932,106752,4
347,Hogar,359583,73785,4
348,Electrodomesticos,352844,67758,6
349,Vestuario,595158,124085,10
350,Tecnologia,236873,87962,6
351,Tecnologia,633316,164107,10
352,Vestuario,727700,300386,8
353,Hogar,1127446,421246,9
354,Vestuario,471224,109483,7
355,Electrodomesticos,568682,216406,11
356,Tecnologia,798157,226305,5
357,Deportes,437314,138872,4
358,Deportes,994404,393414,4
359,Tecnologia,330674,142582,6
360,Deportes,342106,62972,5
361,Deportes,335928,140363,5
362,Deportes,486119,173813,5
363,Deportes,163899,72003,11
364,Electrodomesticos,342604,116198,8
365,Electrodomesticos,393576,90202,8
366,Deportes,1300016,291351,9
367,Deportes,403396,100861,4
368,Vestuario,360276,96632,10
369,Hogar,680205,259441,5
370,Vestuario,635992,269116,8
371,Tecnologia,474559,106444,7
372,Hogar,478877,177230,7
373,Electrodomesticos,263955,102908,6
374,Vestuario,747505,291159,4
375,Hogar,514308,145314,8
376,Hogar,824101,252575,6
377,Deportes,754820,137816,10
378,Deportes,390181,89913,6
379,Hogar,466686,161214,9
380,Electrodomesticos,1341806,284402,5
381,Deportes,422765,65266,8
382,Vestuario,623026,213019,9
383,Hogar,384425,91943,11
384,Vestuario,1165618,311200,5
385,Electrodomesticos,285260,123430,10
386,Deportes,333115,142356,6
387,Electrodomesticos,248787,90463,5
388,Electrodomesticos,386173,114537,4
389,Electrodomesticos,287825,120730,9
390,Electrodomesticos,516999,187612,5
391,Vestuario,291316,44660,7
392,Tecnologia,1078751,462056,7
393,Deportes,736061,166363,7
394,Vestuario,346463,132048,4
395,Tecnologia,157454,46719,8
396,Deportes,406177,162862,10
397,Tecnologia,251730,45524,3
398,Electrodomesticos,411726,95839,5
399,Deportes,509699,135173,6
400,Vestuario,644589,185939,10
401,Vestuario,448680,108670,9
402,Tecnologia,532763,126482,6
403,Deportes,713376,165487,10
404,Tecnologia,521853,172621,9
405,Deportes,724478,278305,14
406,Vestuario,805202,290928,7
407,Deportes,667264,206693,5
408,Electrodomesticos,660574,109512,8
409,Hogar,511679,214557,9
410,Vestuario,630084,255602,6
411,Vestuario,934526,210889,5
412,Tecnologia,451592,177017,7
413,Tecnologia,506672,113012,8
414,Hogar,737942,280726,6
415,Electrodomesticos,582438,152241,11
416,Vestuario,352018,95056,5
417,Deportes,257203,56789,8
418,Hogar,262288,113621,6
419,Vestuario,534221,186522,5
420,Hogar,1098432,492677,9
421,Hogar,251813,75988,7
422,Electrodomesticos,280417,71618,6
423,Hogar,936304,322245,6
424,Electrodomesticos,337490,121579,9
425,Electrodomesticos,848829,287058,7
426,Tecnologia,486111,113310,7
427,Electrodomesticos,454055,100301,5
428,Vestuario,650996,210966,13
429,Deportes,928688,334755,7
430,Tecnologia,417990,127540,8
431,Electrodomesticos,467630,195052,6
432,Deportes,305450,131507,8
433,Deportes,158498,44854,8
434,Hogar,501360,123044,8
435,Deportes,1046568,435998,6
436,Electrodomesticos,167131,40653,8
437,Deportes,637358,185746,10
438,Electrodomesticos,373853,79371,7
439,Electrodomesticos,636989,226414,4
440,Deportes,760346,277429,5
441,Hogar,1045595,399301,5
442,Deportes,675697,301329,11
443,Vestuario,196391,71619,6
444,Electrodomesticos,608202,111909,7
445,Hogar,1029358,425500,8
446,Electrodomesticos,420551,144376,10
447,Electrodomesticos,465325,76304,6
448,Deportes,152919,47472,8
449,Tecnologia,197672,60755,8
450,Electrodomesticos,1114787,339806,4
451,Deportes,791476,277160,10
452,Vestuario,542783,138046,5
453,Tecnologia,478181,170743,7
454,Tecnologia,510800,204986,7
455,Tecnologia,242398,59445,6
456,Electrodomesticos,379093,89697,11
457,Electrodomesticos,409005,176438,7
458,Vestuario,373539,154689,4
459,Hogar,353654,54107,7
460,Tecnologia,831842,241075,7
461,Electrodomesticos,608243,230115,5
462,Vestuario,440819,79462,5
463,Vestuario,1014460,259786,2
464,Deportes,637103,194971,8
465,Deportes,158730,55184,6
466,Tecnologia,605726,239899,9
467,Deportes,146051,56801,6
468,Vestuario,144016,27750,5
469,Vestuario,232455,55364,6
470,Vestuario,813464,284173,4
471,Tecnologia,389616,90236,5
472,Hogar,552960,95081,10
473,Hogar,492171,182901,3
474,Hogar,245076,62025,8
475,Tecnologia,327263,135687,6
476,Vestuario,372462,79526,5
477,Electrodomesticos,292434,85563,9
478,Vestuario,1092754,314536,8
479,Tecnologia,757772,218639,6
480,Electrodomesticos,895252,191103,9
481,Electrodomesticos,422071,179577,11
482,Tecnologia,215060,72392,4
483,Electrodomesticos,317719,113336,5
484,Vestuario,484739,113501,6
485,Tecnologia,339263,86155,5
486,Deportes,345294,95809,8
487,Deportes,217659,77639,9
488,Deportes,513052,197681,7
489,Electrodomesticos,397827,121891,7
490,Deportes,463392,110089,9
491,Deportes,281381,84224,3
492,Deportes,260249,50191,8
493,Hogar,283688,93415,2
494,Hogar,590712,164080,8
495,Tecnologia,568569,117501,9
496,Electrodomesticos,654231,216395,15
497,Deportes,511502,184703,9
498,Deportes,292122,95034,7
499,Hogar,228800,93263,9
500,Tecnologia,265161,98161,10
501,Vestuario,278362,78098,4
502,Deportes,522073,132582,5
503,Electrodomesticos,224737,92377,9
504,Electrodomesticos,752446,213577,10
505,Vestuario,1233103,409186,7
506,Vestuario,554611,237144,9
507,Hogar,372449,124031,5
508,Hogar,261729,110240,8
509,Electrodomesticos,300668,129530,7
510,Tecnologia,620302,264438,4
511,Tecnologia,667955,260933,2
512,Electrodomesticos,395309,102477,5
513,Tecnologia,646362,107845,5
514,Vestuario,1130973,353438,5
515,Deportes,299070,74177,10
516,Tecnologia,383336,121050,10
517,Deportes,667950,128204,3
518,Tecnologia,410540,104541,7
519,Deportes,409473,130935,7
520,Hogar,656262,251391,9
521,Deportes,703527,158324,6
522,Hogar,507677,208917,6
523,Hogar,358042,148892,7
524,Vestuario,286918,55282,6
525,Deportes,330912,111606,9
526,Vestuario,968701,407566,4
527,Deportes,411782,122912,6
528,Electrodomesticos,905135,397977,14
529,Electrodomesticos,411611,99866,7
530,Deportes,437447,159623,6
531,Tecnologia,243650,69446,7
532,Tecnologia,294306,118255,7
533,Deportes,513951,193124,10
534,Deportes,275187,61273,13
535,Tecnologia,885540,337090,7
536,Deportes,322251,87191,5
537,Vestuario,132409,39868,7
538,Vestuario,981885,263774,10
539,Tecnologia,452147,107976,5
540,Hogar,496576,182659,8
541,Tecnologia,902537,327481,9
542,Tecnologia,182651,73227,7
543,Electrodomesticos,872109,298939,6
544,Deportes,506328,175010,12
545,Hogar,745267,247241,3
546,Tecnologia,401398,74466,10
547,Electrodomesticos,656149,183381,10
548,Vestuario,389121,163180,11
549,Hogar,837622,171307,7
550,Hogar,625134,198830,6
551,Vestuario,1219107,358890,3
552,Tecnologia,504141,170971,9
553,Hogar,733648,127678,15
554,Deportes,564512,135894,10
555,Deportes,445549,163167,7
556,Hogar,102317,17320,4
557,Tecnologia,148827,26541,10
558,Hogar,455919,94681,8
559,Electrodomesticos,589336,97348,7
560,Deportes,914745,284819,9
561,Electrodomesticos,408358,103858,4
562,Electrodomesticos,658251,263202,10
563,Vestuario,987455,307300,4
564,Electrodomesticos,551511,105937,11
565,Electrodomesticos,409027,143802,6
566,Deportes,397994,72697,6
567,Hogar,279987,71857,7
568,Tecnologia,946484,233760,4
569,Tecnologia,352158,129687,7
570,Hogar,1106164,399325,11
571,Deportes,219510,88309,7
572,Hogar,419923,152773,4
573,Deportes,382892,98469,5
574,Tecnologia,336501,120261,7
575,Electrodomesticos,328338,120235,9
576,Electrodomesticos,561750,168591,4
577,Hogar,370229,148399,6
578,Tecnologia,357851,121950,7
579,Hogar,384328,75996,6
580,Electrodomesticos,407670,107211,9
581,Electrodomesticos,257944,53460,4
582,Deportes,1429795,615452,6
583,Vestuario,247742,40086,4
584,Deportes,385265,121964,5
585,Hogar,452645,177551,5
586,Vestuario,262497,63717,11
587,Electrodomesticos,325392,137078,10
588,Vestuario,928411,300026,8
589,Electrodomesticos,429955,65529,9
590,Hogar,486835,112746,3
591,Electrodomesticos,386646,95633,8
592,Tecnologia,201038,37568,8
593,Hogar,569550,164296,7
594,Vestuario,768029,238901,7
595,Vestuario,676547,148323,7
596,Electrodomesticos,686550,240967,6
597,Electrodomesticos,308787,118385,10
598,Deportes,558995,158716,6
599,Deportes,313735,70812,10
600,Electrodomesticos,582537,209519,5
601,Electrodomesticos,860705,348382,6
602,Vestuario,617168,251811,11
603,Tecnologia,188585,32632,6
604,Deportes,938123,234580,4
605,Vestuario,541378,191624,13
606,Hogar,332428,129976,7
607,Tecnologia,830022,255693,7
608,Tecnologia,253935,97158,6
609,Vestuario,440379,139244,9
610,Deportes,348269,154485,9
611,Hogar,432265,105898,6
612,Hogar,368055,125297,8
613,Hogar,798700,277930,5
614,Vestuario,280445,42373,6
615,Deportes,383107,115916,6
616,Tecnologia,410829,84824,11
617,Hogar,621229,194312,8
618,Deportes,532859,230484,6
619,Tecnologia,428137,64467,7
620,Hogar,674679,190636,4
621,Deportes,368795,147356,8
622,Electrodomesticos,519388,213687,7
623,Deportes,235321,41937,3
624,Deportes,598895,261709,7
625,Vestuario,733795,318399,6
626,Electrodomesticos,277937,56528,5
627,Tecnologia,407232,93083,7
628,Tecnologia,749999,299187,7
629,Tecnologia,312634,53667,5
630,Deportes,376112,100053,8
631,Tecnologia,300169,62234,6
632,Hogar,232007,81980,6
633,Tecnologia,799590,280999,5
634,Tecnologia,453794,83970,8
635,Tecnologia,904574,200004,8
636,Vestuario,696045,193573,6
637,Deportes,141164,57974,5
638,Deportes,504350,106808,7
639,Hogar,487945,175376,1
640,Vestuario,524890,209349,7
641,Vestuario,501145,213808,4
642,Tecnologia,698128,281555,9
643,Hogar,368036,57829,10
644,Electrodomesticos,153587,38246,5
645,Hogar,476208,203937,5
646,Electrodomesticos,300682,103553,6
647,Tecnologia,476606,131595,14
648,Hogar,441469,183837,6
649,Vestuario,442888,125678,4
650,Vestuario,769067,335643,7
651,Tecnologia,394907,94037,4
652,Hogar,682430,194487,8
653,Electrodomesticos,606144,196082,5
654,Electrodomesticos,232944,38021,3
655,Tecnologia,253040,75539,5
656,Electrodomesticos,156059,39211,2
657,Electrodomesticos,598496,180929,3
658,Tecnologia,227071,85308,7
659,Electrodomesticos,547778,182599,5
660,Tecnologia,293405,49812,6
661,Tecnologia,378629,77234,9
662,Vestuario,274022,106908,6
663,Tecnologia,403735,75689,7
664,Vestuario,685528,151579,6
665,Electrodomesticos,581982,121387,9
666,Electrodomesticos,464666,147303,9
667,Vestuario,313205,95895,8
668,Hogar,366636,159545,12
669,Tecnologia,734821,222175,6
670,Deportes,243546,45943,6
671,Electrodomesticos,422478,74047,9
672,Electrodomesticos,677809,131535,6
673,Tecnologia,632691,266573,5
674,Deportes,268187,69898,4
675,Hogar,415996,105385,7
676,Deportes,588740,117454,5
677,Deportes,333609,92716,9
678,Deportes,733456,225575,12
679,Electrodomesticos,235968,83208,11
680,Deportes,157480,35243,5
681,Hogar,1044370,360134,6
682,Vestuario,372680,151112,7
683,Vestuario,377294,151921,7
684,Vestuario,1214653,396728,8
685,Tecnologia,1312915,301850,7
686,Electrodomesticos,299122,121729,11
687,Vestuario,721223,176716,4
688,Tecnologia,513891,174323,8
689,Hogar,307398,118198,9
690,Deportes,1260336,529856,8
691,Tecnologia,238348,81439,7
692,Electrodomesticos,669782,211620,4
693,Tecnologia,307406,81568,4
694,Hogar,481918,216849,10
695,Tecnologia,205389,40495,5
696,Vestuario,358786,90855,9
697,Vestuario,489798,162883,7
698,Electrodomesticos,324872,144568,7
699,Electrodomesticos,284062,43549,5
700,Electrodomesticos,171967,30195,7
701,Deportes,272889,94456,7
702,Deportes,792503,199785,6
703,Hogar,685575,110504,8
704,Tecnologia,554350,190888,9
705,Vestuario,660684,288858,5
706,Electrodomesticos,531327,87053,5
707,Electrodomesticos,567131,163314,5
708,Electrodomesticos,1048252,176551,7
709,Hogar,678119,180134,3
710,Electrodomesticos,538410,199260,4
711,Electrodomesticos,191511,51241,4
712,Vestuario,446660,99487,8
713,Deportes,848628,363059,5
714,Vestuario,762866,263056,11
715,Vestuario,893719,153590,10
716,Vestuario,638936,106593,11
717,Tecnologia,419545,185832,7
718,Deportes,681526,299935,5
719,Deportes,423839,172153,4
720,Electrodomesticos,291263,64325,8
721,Electrodomesticos,824539,124503,6
722,Tecnologia,710421,256342,7
723,Hogar,437494,112952,6
724,Hogar,620104,240184,7
725,Vestuario,532650,220528,12
726,Tecnologia,794610,315139,8
727,Electrodomesticos,512663,100756,6
728,Hogar,918273,169733,8
729,Tecnologia,542787,106012,9
730,Vestuario,324089,75816,5
731,Tecnologia,538916,169819,6
732,Hogar,556404,162026,7
733,Deportes,342672,129401,13
734,Vestuario,335125,143545,7
735,Hogar,727792,286175,4
736,Deportes,844663,144842,10
737,Vestuario,562248,151054,13
738,Vestuario,346305,55136,8
739,Vestuario,710379,190296,7
740,Tecnologia,753309,165474,6
741,Vestuario,394712,90701,8
742,Electrodomesticos,208095,35138,7
743,Deportes,144548,53463,8
744,Vestuario,918560,226339,6
745,Deportes,1195525,381746,4
746,Deportes,211721,36081,3
747,Deportes,445864,153590,5
748,Tecnologia,309804,123711,6
749,Hogar,540721,122213,7
750,Tecnologia,552218,120359,7
751,Vestuario,576172,209786,5
752,Deportes,92185,19536,4
753,Vestuario,1531330,651659,5
754,Electrodomesticos,1025166,411837,7
755,Tecnologia,361746,95128,5
756,Vestuario,383457,74016,9
757,Vestuario,267361,60896,7
758,Hogar,630324,108903,6
759,Hogar,468566,73635,2
760,Vestuario,385411,171608,7
761,Hogar,657236,205116,7
762,Vestuario,275789,57485,8
763,Vestuario,219622,70227,9
764,Deportes,772038,257850,4
765,Deportes,357263,143635,4
766,Electrodomesticos,271087,113960,7
767,Electrodomesticos,314383,95413,6
768,Hogar,266173,73737,5
769,Electrodomesticos,413049,132248,9
770,Deportes,352659,126502,6
771,Tecnologia,515654,205575,8
772,Deportes,559077,249837,5
773,Deportes,363421,148374,6
774,Tecnologia,684260,121400,8
775,Vestuario,452698,121703,8
776,Hogar,474666,122160,7
777,Vestuario,254642,68165,5
778,Vestuario,435559,80226,6
779,Electrodomesticos,635754,185488,9
780,Deportes,344147,146888,8
781,Electrodomesticos,1150251,447645,11
782,Vestuario,193986,49968,8
783,Hogar,869052,135863,4
784,Deportes,545210,206382,7
785,Electrodomesticos,415355,100636,4
786,Deportes,450473,175843,11
787,Hogar,411924,184652,10
788,Hogar,729027,310070,12
789,Hogar,452796,138303,10
790,Electrodomesticos,636037,118497,6
791,Deportes,579111,260082,10
792,Hogar,291550,61648,7
793,Electrodomesticos,283284,60891,5
794,Hogar,385003,149831,9
795,Electrodomesticos,595037,113531,5
796,Hogar,215404,61313,10
797,Deportes,769243,141736,6
798,Hogar,508191,79657,10
799,Hogar,706587,213980,9
800,Tecnologia,422559,102175,9
801,Hogar,515572,142480,5
802,Tecnologia,903880,209841,6
803,Tecnologia,955735,204402,8
804,Electrodomesticos,906842,402514,6
805,Deportes,328759,146770,5
806,Vestuario,389189,161545,3
807,Deportes,490973,185210,1
808,Electrodomesticos,729011,190803,4
809,Vestuario,87306,16252,5
810,Electrodomesticos,809516,241272,8
811,Vestuario,299965,87977,4
812,Electrodomesticos,470963,183769,8
813,Electrodomesticos,323495,98644,7
814,Electrodomesticos,344844,97676,7
815,Electrodomesticos,398581,72525,7
816,Vestuario,1001513,428522,5
817,Tecnologia,534315,211404,8
818,Electrodomesticos,615874,272138,5
819,Deportes,441346,86527,8
820,Hogar,284653,122679,8
821,Hogar,211998,41409,8
822,Tecnologia,252984,61015,9
823,Hogar,709201,162659,6
824,Tecnologia,604581,156481,5
825,Vestuario,167699,46358,4
826,Deportes,170954,37903,5
827,Vestuario,247200,60089,2
828,Electrodomesticos,337146,73132,6
829,Deportes,673920,152479,7
830,Tecnologia,571525,116486,4
831,Hogar,694993,212834,12
832,Hogar,435655,143712,8
833,Hogar,356401,70966,8
834,Hogar,252488,98616,9
835,Vestuario,412405,138605,7
836,Vestuario,305925,55300,6
837,Hogar,412123,163289,8
838,Hogar,446230,193790,6
839,Tecnologia,354549,78085,4
840,Electrodomesticos,521216,120940,5
841,Tecnologia,809728,153971,5
842,Vestuario,310823,78872,8
843,Hogar,412276,90712,11
844,Deportes,196567,58993,2
