id_compra,cliente,fecha_compra,categoria,producto,unidades,ventas,beneficio
227,24,2023-01-29,Hogar,Sofa,2,151036,42535
232,24,2023-02-07,Deportes,Colchoneta,1,83932,24740
229,24,2023-03-23,Vestuario,Gorro,3,83387,32734
230,24,2023-04-20,Vestuario,Calcetines,1,60600,21184
225,24,2023-05-09,Hogar,Lampara,1,110444,29437
236,25,2023-11-27,Hogar,Mesa,2,301927,80729
246,25,2023-12-20,Vestuario,Vestido,3,54673,14426
238,25,2024-01-13,Hogar,Silla,1,35694,11743
242,25,2024-01-22,Electrodomesticos,Lavadora,3,584775,105440
243,25,2024-01-28,Deportes,Casco,1,42609,11874
244,25,2024-01-30,Vestuario,Polera,4,330574,104814
247,25,2024-02-01,Vestuario,Polera,1,14295,5558
239,25,2024-02-14,Deportes,Raqueta,1,31428,9630
241,25,2024-04-18,Hogar,Cafetera,5,685769,176272
237,25,2024-08-18,Deportes,Botella,2,203087,61920
245,25,2024-09-16,Deportes,Short,3,218808,52860
240,25,2024-09-29,Hogar,Alfombra,1,96516,26774
248,26,2022-11-16,Electrodomesticos,Microondas,1,219271,36022
252,26,2022-12-18,Hogar,Termo,3,389340,96018
250,26,2023-02-17,Deportes,Casco,4,298994,94252
251,26,2023-04-23,Vestuario,Jeans,1,59671,21088
249,26,2023-06-28,Vestuario,Chaqueta,2,28680,9925
253,27,2023-05-25,Electrodomesticos,Purificador,1,212438,33502
254,27,2023-06-20,Vestuario,Camisa,2,99691,38211
257,27,2023-07-01,Tecnologia,Smartphone,1,229318,48656
258,27,2023-09-21,Tecnologia,Router,1,176671,39869
256,27,2023-10-21,Deportes,Colchoneta,1,55583,15900
262,27,2023-11-14,Vestuario,Jeans,1,30660,9734
260,27,2023-12-20,Deportes,Balon,1,39700,8980
261,27,2024-01-01,Tecnologia,Smartphone,3,794781,174557
259,27,2024-01-15,Deportes,Casco,2,204051,44187
255,27,2024-02-04,Electrodomesticos,Licuadora,1,156740,27435
263,28,2023-02-05,Vestuario,Calcetines,1,71074,22902
272,28,2023-02-09,Electrodomesticos,Horno,1,116883,25842
270,28,2023-02-18,Electrodomesticos,Cocina,2,393937,73891
265,28,2023-02-19,Hogar,Cafetera,1,31500,8939
271,28,2023-03-09,Electrodomesticos,Licuadora,1,119445,19423
266,28,2023-03-14,Deportes,Poleron,2,71189,24156
269,28,2023-03-20,Hogar,Silla,1,83835,26698
273,28,2023-03-26,Hogar,Termo,1,69035,22363
264,28,2023-06-16,Vestuario,Pantalon,2,110085,39258
268,28,2023-06-16,Hogar,Cortinas,1,150424,41643
267,28,2023-08-07,Deportes,Casco,1,53714,15809
274,29,2023-10-09,Tecnologia,Notebook,2,704390,144734
276,29,2023-11-27,Deportes,Casco,3,189591,50710
281,29,2023-12-05,Tecnologia,Impresora,2,327474,53794
280,29,2023-12-15,Deportes,Bicicleta,2,112282,27280
277,29,2024-01-20,Electrodomesticos,Plancha,3,349696,73325
279,29,2024-03-10,Vestuario,Polera,2,95941,38118
283,29,2024-04-01,Hogar,Alfombra,1,94249,25831
284,29,2024-04-03,Electrodomesticos,Cocina,3,454300,77104
278,29,2024-04-07,Tecnologia,Impresora,1,207829,46038
275,29,2024-07-12,Electrodomesticos,Microondas,1,191373,27683
282,29,2024-07-22,Electrodomesticos,Cocina,4,681547,120484
285,30,2023-02-27,Electrodomesticos,Secadora,3,633639,100901
288,30,2023-03-09,Tecnologia,Smartphone,3,705005,129844
295,30,2023-03-15,Tecnologia,Tablet,1,228466,41471
291,30,2023-03-21,Tecnologia,Notebook,2,514508,97903
287,30,2023-04-09,Tecnologia,Router,2,382189,60583
292,30,2023-05-03,Vestuario,Pantalon,1,34247,14582
290,30,2023-06-09,Vestuario,Vestido,1,41680,14810
293,30,2023-06-23,Hogar,Cafetera,1,74079,21975
294,30,2023-09-04,Vestuario,Gorro,2,49601,14903
289,30,2023-09-14,Vestuario,Jeans,1,34911,14183
286,30,2024-12-27,Vestuario,Calcetines,1,46006,13281
296,31,2023-02-12,Hogar,Alfombra,3,162071,49713
299,31,2023-02-27,Vestuario,Vestido,2,33484,12993
300,31,2023-03-02,Tecnologia,Impresora,2,456454,94450
297,31,2023-05-29,Hogar,Silla,3,248697,61386
302,31,2023-06-12,Tecnologia,Router,1,205387,37237
298,31,2023-07-01,Tecnologia,Audifonos,1,233125,42717
301,31,2024-01-17,Tecnologia,Audifonos,2,154000,27061
303,32,2023-07-19,Electrodomesticos,Lavadora,1,172309,37824
306,32,2023-07-19,Tecnologia,Monitor,1,201555,34538
308,32,2023-08-06,Tecnologia,Smartphone,3,699673,172328
309,32,2023-09-02,Deportes,Botella,4,370501,106052
304,32,2023-09-27,Electrodomesticos,Microondas,3,575735,97111
305,32,2023-11-14,Hogar,Organizador,1,135871,39111
307,32,2024-06-17,Hogar,Silla,2,178375,51974
310,33,2023-09-05,Vestuario,Jeans,1,70667,23417
316,33,2023-09-19,Vestuario,Pantalon,1,55678,18652
314,33,2023-09-22,Vestuario,Zapatillas,3,63754,20555
312,33,2023-10-06,Tecnologia,Smartwatch,4,1222901,270269
311,33,2023-10-07,Deportes,Short,4,337083,123872
315,33,2023-10-21,Vestuario,Jeans,4,145977,48118
320,33,2023-11-04,Deportes,Poleron,4,411895,122807
318,33,2023-11-10,Hogar,Hervidor,1,112887,33975
313,33,2023-11-18,Tecnologia,Impresora,2,447652,87296
321,33,2023-12-10,Tecnologia,Audifonos,1,227996,49725
319,33,2023-12-31,Deportes,Balon,1,105865,30236
317,33,2024-10-28,Tecnologia,Router,1,255737,56858
322,34,2024-10-11,Deportes,Poleron,3,306153,100935
323,34,2024-10-14,Vestuario,Calcetines,6,122469,42640
328,34,2024-12-04,Deportes,Poleron,1,80648,21294
325,34,2024-12-17,Tecnologia,Teclado,2,154000,28277
329,34,2024-12-22,Vestuario,Polera,2,113480,38112
324,34,2024-12-25,Vestuario,Chaqueta,1,13306,4000
326,34,2024-12-25,Vestuario,Gorro,3,104223,33199
327,34,2024-12-27,Tecnologia,Impresora,1,198497,32585
330,35,2023-11-29,Tecnologia,Audifonos,1,145526,24162
334,35,2023-11-30,Deportes,Casco,1,53808,18967
336,35,2023-12-26,Vestuario,Polera,2,139228,51118
338,35,2023-12-28,Hogar,Alfombra,4,470867,112358
337,35,2024-01-30,Tecnologia,Impresora,1,246026,54166
333,35,2024-02-16,Tecnologia,Mouse,3,724181,115169
335,35,2024-03-04,Electrodomesticos,Secadora,1,203299,44952
339,35,2024-03-19,Deportes,Pesas,1,94870,27681
331,35,2024-03-23,Vestuario,Polera,1,39001,11783
332,35,2024-05-15,Electrodomesticos,Plancha,1,165655,28252
340,36,2023-11-23,Hogar,Silla,1,133216,27984
346,36,2023-11-29,Tecnologia,Mouse,1,324647,67741
343,36,2023-12-05,Tecnologia,Tablet,2,750282,152990
344,36,2023-12-07,Vestuario,Jeans,2,85771,25103
345,36,2023-12-30,Electrodomesticos,Secadora,2,445337,62081
348,36,2024-02-13,Tecnologia,Audifonos,1,347396,78059
341,36,2024-02-17,Hogar,Termo,3,94891,31066
342,36,2024-03-04,Tecnologia,Monitor,3,809093,176621
347,36,2024-04-01,Vestuario,Chaqueta,1,26498,10588
349,36,2024-05-31,Deportes,Bicicleta,3,236209,79985
350,37,2022-05-14,Tecnologia,Notebook,1,150032,28836
353,37,2022-05-18,Electrodomesticos,Refrigerador,4,497216,105245
360,37,2022-06-10,Tecnologia,Monitor,2,371337,77372
356,37,2022-07-11,Electrodomesticos,Aspiradora,2,201420,41218
355,37,2022-07-18,Vestuario,Zapatillas,2,49436,14761
357,37,2022-07-19,Hogar,Alfombra,1,52221,17372
362,37,2022-08-26,Electrodomesticos,Horno,1,263930,52475
358,37,2022-09-09,Electrodomesticos,Microondas,3,477156,88352
361,37,2022-09-15,Hogar,Termo,1,53532,13847
359,37,2022-09-20,Tecnologia,Mouse,2,571554,107889
352,37,2023-02-18,Electrodomesticos,Refrigerador,1,146312,25019
351,37,2023-05-29,Deportes,Botella,2,95559,29277
354,37,2023-12-27,Tecnologia,Router,1,123984,27192
363,38,2023-01-03,Deportes,Balon,3,73500,20649
367,38,2023-02-26,Vestuario,Jeans,2,81629,30448
366,38,2023-03-19,Tecnologia,Smartwatch,3,859170,139074
364,38,2023-05-11,Tecnologia,Mouse,1,259466,61789
368,38,2023-05-19,Vestuario,Gorro,1,86636,38427
365,38,2023-09-27,Electrodomesticos,Lavadora,1,178335,29218
369,39,2024-04-02,Tecnologia,Impresora,1,179322,41459
374,39,2024-04-03,Electrodomesticos,Secadora,4,769629,110295
382,39,2024-04-06,Vestuario,Pantalon,1,59853,20313
371,39,2024-04-15,Deportes,Casco,1,56370,17752
381,39,2024-04-20,Deportes,Colchoneta,1,67285,20622
378,39,2024-04-30,Deportes,Raqueta,2,180861,58215
373,39,2024-05-07,Tecnologia,Teclado,1,225237,38813
372,39,2024-06-11,Hogar,Cafetera,1,83544,24031
379,39,2024-07-15,Electrodomesticos,Licuadora,1,243342,38954
375,39,2024-07-24,Deportes,Bicicleta,2,125926,35006
380,39,2024-12-22,Vestuario,Polera,1,65163,17940
370,39,2024-12-24,Vestuario,Polera,1,39854,14207
376,39,2024-12-29,Tecnologia,Tablet,6,1695836,340164
377,39,2024-12-29,Electrodomesticos,Aspiradora,3,605668,113557
383,40,2023-01-11,Deportes,Pesas,1,38892,12595
387,40,2023-01-27,Hogar,Mesa,2,63000,16955
388,40,2023-02-16,Hogar,Hervidor,3,241686,51630
390,40,2023-03-06,Tecnologia,Smartphone,1,214263,41438
391,40,2023-05-18,Hogar,Lampara,1,104573,28717
384,40,2023-06-19,Deportes,Bicicleta,4,203568,60804
386,40,2023-06-27,Deportes,Botella,2,143095,46353
389,40,2023-07-01,Tecnologia,Audifonos,1,130772,30056
385,40,2023-12-16,Vestuario,Polera,1,72557,24571
392,41,2023-09-12,Electrodomesticos,Secadora,2,210035,42879
395,41,2023-10-11,Hogar,Silla,3,291531,77345
398,41,2023-10-16,Tecnologia,Router,1,302498,66104
393,41,2023-10-23,Deportes,Poleron,5,579284,201800
401,41,2023-12-02,Vestuario,Gorro,1,27017,7798
394,41,2024-02-16,Hogar,Mesa,2,146755,40828
397,41,2024-02-21,Deportes,Poleron,1,115481,44992
399,41,2024-03-26,Tecnologia,Smartphone,2,486439,101837
396,41,2024-04-06,Hogar,Cortinas,2,207724,59787
400,41,2024-10-09,Electrodomesticos,Microondas,1,207947,36871
402,42,2022-09-06,Deportes,Casco,1,67163,18710
406,42,2022-10-21,Tecnologia,Mouse,1,223490,37523
405,42,2022-10-24,Electrodomesticos,Refrigerador,3,1003442,188579
410,42,2022-11-21,Electrodomesticos,Licuadora,2,333565,60197
403,42,2022-12-07,Deportes,Short,1,67893,20128
409,42,2023-04-12,Hogar,Hervidor,1,51943,15029
407,42,2023-04-14,Electrodomesticos,Horno,1,205065,37519
404,42,2023-05-10,Electrodomesticos,Microondas,3,781167,125734
408,42,2023-07-08,Deportes,Guantes,1,68087,19909
411,42,2023-07-14,Tecnologia,Smartphone,1,314892,60422
412,43,2023-10-07,Deportes,Bicicleta,1,38389,14768
414,43,2023-10-24,Vestuario,Camisa,2,104376,33444
416,43,2023-11-18,Hogar,Organizador,1,124247,28781
417,43,2024-02-17,Vestuario,Camisa,1,53297,15602
419,43,2024-03-12,Hogar,Alfombra,2,193445,62434
418,43,2024-03-23,Electrodomesticos,Plancha,4,1026576,167976
413,43,2024-04-19,Tecnologia,Monitor,2,716975,142483
415,43,2024-05-28,Electrodomesticos,Microondas,4,504240,91441
420,43,2024-08-28,Electrodomesticos,Purificador,2,379181,82432
421,44,2023-12-22,Electrodomesticos,Purificador,1,188241,30448
425,44,2023-12-28,Electrodomesticos,Microondas,1,93553,13678
424,44,2023-12-29,Vestuario,Gorro,1,39463,13634
423,44,2024-03-06,Electrodomesticos,Aspiradora,2,265132,52373
422,44,2024-03-19,Deportes,Balon,2,135975,43322
426,45,2022-12-10,Hogar,Lampara,3,285028,68942
431,45,2022-12-18,Hogar,Organizador,2,214397,55202
427,45,2023-01-28,Electrodomesticos,Refrigerador,1,102272,20738
429,45,2023-03-09,Vestuario,Zapatillas,1,32575,10213
430,45,2023-07-07,Electrodomesticos,Aspiradora,1,197039,41312
428,45,2023-07-09,Electrodomesticos,Licuadora,1,170533,23725
432,46,2023-01-29,Hogar,Silla,3,469356,137661
444,46,2023-01-30,Deportes,Short,1,89922,18884
441,46,2023-02-07,Electrodomesticos,Horno,1,210434,45101
436,46,2023-03-02,Hogar,Silla,1,81125,20563
434,46,2023-03-09,Deportes,Colchoneta,1,56308,18688
440,46,2023-03-20,Electrodomesticos,Plancha,5,713050,111155
433,46,2023-04-18,Vestuario,Jeans,2,126298,36854
442,46,2023-05-03,Electrodomesticos,Refrigerador,1,237788,43944
437,46,2023-05-23,Vestuario,Vestido,1,23572,8870
435,46,2023-07-05,Tecnologia,Monitor,3,825982,219032
438,46,2023-07-30,Electrodomesticos,Horno,2,223547,35036
439,46,2023-10-23,Vestuario,Calcetines,1,27363,10134
443,46,2024-01-14,Vestuario,Chaqueta,1,72260,24739
445,47,2024-06-18,Tecnologia,Router,1,77000,13930
451,47,2024-06-19,Tecnologia,Tablet,2,637983,123080
453,47,2024-07-07,Hogar,Hervidor,1,94761,30232
454,47,2024-07-13,Deportes,Guantes,2,60452,20247
450,47,2024-07-17,Vestuario,Pantalon,1,36986,10732
446,47,2024-07-31,Hogar,Hervidor,1,65537,20952
447,47,2024-08-07,Tecnologia,Notebook,1,276864,48529
449,47,2024-08-09,Tecnologia,Audifonos,2,581290,144503
448,47,2024-09-10,Hogar,Lampara,5,281631,84200
