id_venta,id_cliente,fecha,categoria,producto,unidades,ventas,margen
72,683,2023-02-25,Deportes,Bicicleta,2,110280,30538
73,388,2024-05-31,Vestuario,Chaqueta,1,53045,13092
74,1109,2024-01-04,Tecnologia,Smartphone,1,128603,28768
75,696,2023-03-29,Hogar,Silla,3,310482,76740
76,1248,2023-02-28,Hogar,Sofa,4,495804,147816
77,759,2023-03-01,Deportes,Pesas,3,181887,44881
78,655,2023-07-11,Hogar,Sofa,6,479832,174290
79,1062,2024-05-20,Deportes,Bicicleta,2,148372,49536
80,1397,2024-10-12,Tecnologia,Monitor,3,290976,60406
81,1094,2024-02-25,Electrodomesticos,Microondas,1,104799,19736
82,1218,2024-08-26,Tecnologia,Tablet,2,281610,88559
83,1347,2023-02-20,Hogar,Lampara,1,90123,22497
84,1454,2023-11-14,Deportes,Raqueta,1,50411,17127
85,153,2024-07-29,Tecnologia,Smartphone,1,102926,26492
86,546,2024-05-04,Electrodomesticos,Microondas,6,385026,107300
87,1146,2024-08-26,Vestuario,Polera,3,293265,91562
88,169,2023-08-15,Deportes,Raqueta,2,119228,37082
89,171,2023-11-22,Hogar,Mesa,2,113274,27821
90,1315,2023-03-10,Electrodomesticos,Microondas,2,182314,60051
91,1490,2023-11-10,Vestuario,Zapatillas,1,50656,9615
92,641,2023-07-15,Hogar,Sofa,1,141609,32041
93,857,2024-02-24,Electrodomesticos,Refrigerador,1,81718,16667
94,129,2024-10-17,Vestuario,Polera,3,268158,74280
95,94,2023-05-04,Electrodomesticos,Aspiradora,5,810345,147564
96,36,2023-03-14,Hogar,Mesa,2,127064,27986
97,1480,2024-05-26,Deportes,Bicicleta,1,81644,15143
98,655,2023-05-16,Hogar,Mesa,1,47914,11462
99,1206,2023-10-23,Vestuario,Polera,1,20108,6395
100,1023,2023-08-25,Hogar,Mesa,1,138702,34292
101,648,2023-10-21,Vestuario,Pantalon,4,383572,87617
102,1131,2023-11-02,Tecnologia,Smartphone,1,110708,30617
103,21,2024-03-24,Tecnologia,Smartphone,1,91314,17089
104,1313,2023-08-15,Tecnologia,Smartphone,1,94673,33210
105,807,2023-05-18,Hogar,Lampara,1,94484,33471
106,1119,2023-03-16,Tecnologia,Monitor,7,763091,206294
107,251,2024-10-19,Tecnologia,Monitor,1,98531,23154
108,574,2023-05-04,Electrodomesticos,Aspiradora,3,430680,118942
109,278,2023-09-18,Electrodomesticos,Aspiradora,1,128298,33775
110,1037,2023-11-27,Vestuario,Pantalon,1,56953,12171
111,512,2023-12-30,Hogar,Sofa,3,456549,122568
112,245,2024-01-10,Electrodomesticos,Refrigerador,2,264390,63265
113,341,2023-07-05,Electrodomesticos,Refrigerador,2,182592,43453
114,1406,2023-08-30,Tecnologia,Monitor,1,109079,21342
115,1128,2024-04-24,Electrodomesticos,Microondas,1,156567,55629
116,445,2023-11-28,Deportes,Raqueta,2,244740,59870
117,419,2023-07-21,Electrodomesticos,Microondas,1,111324,38140
118,1356,2023-01-01,Electrodomesticos,Aspiradora,1,13319,3607
119,912,2023-04-21,Tecnologia,Smartphone,1,102742,28282
120,323,2024-09-24,Vestuario,Zapatillas,2,117102,35221
121,381,2023-11-17,Deportes,Balon,2,148804,32530
122,372,2024-01-28,Deportes,Raqueta,1,115570,42288
123,61,2023-02-07,Tecnologia,Smartphone,1,58456,12844
124,1401,2024-10-24,Tecnologia,Notebook,2,182774,53660
125,54,2024-09-02,Hogar,Mesa,1,72654,21056
126,538,2024-08-07,Vestuario,Zapatillas,3,383820,126584
127,997,2023-01-05,Tecnologia,Smartphone,4,479820,96709
128,997,2023-10-12,Hogar,Lampara,1,57651,17234
129,342,2023-10-05,Electrodomesticos,Microondas,1,97651,18507
130,1014,2024-04-30,Tecnologia,Smartphone,3,392412,85926
131,662,2024-07-31,Deportes,Balon,1,17269,6026
132,438,2024-08-12,Deportes,Pesas,1,111754,35478
133,1136,2024-04-20,Hogar,Silla,3,207084,48602
134,119,2024-04-09,Tecnologia,Monitor,3,198438,70669
135,1015,2023-08-29,Tecnologia,Notebook,1,66618,12267
136,254,2024-04-19,Hogar,Mesa,1,104329,35670
137,1171,2024-01-24,Hogar,Lampara,2,52868,12667
138,519,2024-11-25,Hogar,Silla,2,138356,24933
139,269,2024-08-13,Tecnologia,Tablet,2,204014,58103
140,219,2024-05-03,Hogar,Sofa,1,92053,34914
141,1041,2023-04-03,Electrodomesticos,Lavadora,1,114501,21853
142,478,2023-06-06,Electrodomesticos,Aspiradora,1,77120,22310
143,45,2023-07-24,Tecnologia,Monitor,2,289504,107343
144,61,2024-04-18,Electrodomesticos,Lavadora,2,86554,28063
145,308,2024-08-24,Deportes,Balon,2,230130,62837
146,662,2024-08-10,Deportes,Raqueta,2,96590,35193
147,1095,2024-10-02,Vestuario,Chaqueta,1,158858,40351
148,1181,2023-02-18,Hogar,Mesa,1,67792,24000
149,1440,2023-12-06,Deportes,Bicicleta,2,55074,17743
150,1094,2024-09-18,Hogar,Sofa,1,69814,20247
151,1292,2024-01-15,Deportes,Pesas,1,68833,25730
152,1060,2023-05-03,Tecnologia,Notebook,2,111960,24564
153,832,2023-12-02,Deportes,Balon,2,206264,38212
154,900,2024-06-28,Electrodomesticos,Aspiradora,1,120806,22312
155,376,2023-01-01,Vestuario,Chaqueta,1,83823,27409
156,386,2024-08-28,Electrodomesticos,Refrigerador,3,223284,62512
157,448,2024-05-15,Deportes,Raqueta,4,274976,62830
158,670,2023-07-31,Tecnologia,Smartphone,3,186213,47519
159,386,2023-09-14,Deportes,Balon,1,108197,36229
160,1384,2024-07-14,Tecnologia,Tablet,2,86036,16382
161,1298,2023-01-27,Deportes,Pesas,1,54696,15417
162,823,2024-11-18,Electrodomesticos,Refrigerador,1,64469,16494
163,528,2024-05-25,Electrodomesticos,Microondas,3,336915,72701
164,182,2024-12-31,Vestuario,Pantalon,2,236130,43604
165,130,2023-06-28,Deportes,Pesas,3,120909,32633
166,775,2024-08-09,Vestuario,Pantalon,2,64902,14363
167,286,2024-10-04,Electrodomesticos,Refrigerador,2,103816,29191
168,1004,2024-12-08,Deportes,Pesas,1,65395,23786
169,870,2023-10-24,Electrodomesticos,Microondas,4,400596,84238
170,186,2024-09-20,Electrodomesticos,Refrigerador,2,64598,20960
171,487,2024-05-24,Tecnologia,Smartphone,3,249603,64340
172,1290,2024-10-08,Tecnologia,Smartphone,1,8359,2326
173,1212,2024-07-12,Deportes,Bicicleta,2,230266,83796
174,656,2023-01-12,Tecnologia,Tablet,1,85651,21106
175,220,2023-05-12,Electrodomesticos,Aspiradora,2,264620,67934
176,288,2024-07-29,Vestuario,Pantalon,1,108142,31161
177,982,2023-11-13,Deportes,Raqueta,4,534052,169894
178,428,2024-12-04,Vestuario,Polera,1,54788,14578
179,290,2024-10-21,Tecnologia,Tablet,3,188340,39213
180,1448,2024-11-30,Deportes,Pesas,1,96511,21602
181,1022,2024-10-25,Vestuario,Polera,4,422772,156204
182,292,2023-06-26,Tecnologia,Tablet,1,91433,25996
183,363,2024-09-20,Hogar,Silla,4,95464,36112
184,1103,2024-01-04,Electrodomesticos,Lavadora,3,446679,129010
185,519,2024-04-16,Electrodomesticos,Refrigerador,6,162132,57898
186,1207,2024-03-30,Tecnologia,Notebook,6,670032,120906
187,1019,2024-10-21,Vestuario,Zapatillas,1,111630,26361
188,700,2024-07-25,Vestuario,Pantalon,4,433072,79439
189,576,2023-09-23,Tecnologia,Tablet,1,102830,34432
190,252,2023-10-23,Tecnologia,Notebook,3,201681,43956
191,7,2024-06-28,Hogar,Lampara,3,423687,105730
192,655,2024-05-24,Electrodomesticos,Aspiradora,4,20000,6364
193,956,2023-04-26,Hogar,Mesa,3,231858,77627
194,1168,2023-11-05,Tecnologia,Monitor,2,159286,46020
195,845,2023-11-04,Tecnologia,Tablet,2,287950,65257
196,91,2023-12-14,Hogar,Sofa,1,134437,46650
197,62,2023-08-03,Vestuario,Polera,3,85332,22749
198,713,2023-01-17,Electrodomesticos,Refrigerador,1,98804,31858
199,93,2024-04-13,Deportes,Balon,3,111804,32850
200,887,2024-12-11,Hogar,Mesa,1,105549,20150
201,397,2024-05-18,Hogar,Mesa,1,120419,40077
202,955,2023-01-02,Deportes,Balon,3,325236,83989
203,830,2024-02-09,Tecnologia,Smartphone,1,185987,37637
204,59,2024-02-09,Electrodomesticos,Microondas,1,62848,23602
205,436,2023-01-21,Tecnologia,Tablet,4,224488,48958
206,837,2023-06-28,Deportes,Raqueta,5,328980,64462
207,830,2024-12-01,Vestuario,Chaqueta,2,164554,48188
208,1408,2023-07-15,Electrodomesticos,Lavadora,2,177704,39744
209,240,2024-01-25,Deportes,Raqueta,2,223324,49572
210,918,2023-04-07,Tecnologia,Smartphone,1,112478,37417
211,308,2023-12-01,Deportes,Balon,4,239556,60134
212,964,2023-07-12,Vestuario,Pantalon,2,136872,45301
213,399,2023-03-29,Tecnologia,Tablet,3,250107,67822
214,681,2024-03-24,Hogar,Silla,1,75331,20750
215,275,2024-01-26,Deportes,Balon,1,5000,1583
216,661,2023-07-14,Deportes,Balon,3,363843,101263
217,607,2023-02-12,Electrodomesticos,Lavadora,5,716300,209220
218,355,2023-12-20,Hogar,Silla,3,279189,103330
219,1457,2024-12-07,Tecnologia,Tablet,4,412920,91134
220,34,2024-12-15,Electrodomesticos,Microondas,2,158450,36452
221,1306,2023-12-03,Electrodomesticos,Microondas,3,237399,89550
222,355,2024-08-03,Electrodomesticos,Aspiradora,2,227400,55134
223,1264,2024-11-20,Tecnologia,Notebook,6,631134,125457
224,426,2023-12-24,Tecnologia,Smartphone,1,116878,42152
225,216,2023-10-27,Electrodomesticos,Aspiradora,3,291558,88903
226,604,2024-07-30,Deportes,Raqueta,5,422250,134374
227,1159,2024-02-23,Tecnologia,Smartphone,4,399800,122653
228,1423,2023-01-12,Tecnologia,Tablet,4,439036,164353
229,435,2023-06-17,Electrodomesticos,Refrigerador,2,126806,47476
230,618,2024-12-17,Deportes,Bicicleta,2,144972,30764
231,168,2023-10-01,Tecnologia,Tablet,1,94735,27653
232,695,2024-11-14,Electrodomesticos,Refrigerador,4,267192,51965
233,65,2023-04-13,Tecnologia,Monitor,4,446812,81202
234,59,2023-09-15,Deportes,Pesas,1,85294,16391
235,142,2024-08-31,Tecnologia,Notebook,1,64864,18466
236,1360,2023-04-23,Deportes,Pesas,1,125442,38093
237,418,2023-10-12,Tecnologia,Monitor,2,219776,47355
238,797,2024-11-24,Deportes,Pesas,4,108528,33206
239,455,2024-01-21,Deportes,Bicicleta,4,422432,126139
240,823,2023-05-10,Vestuario,Chaqueta,3,114990,21100
241,565,2024-12-14,Deportes,Bicicleta,3,196734,60986
242,1462,2023-10-03,Tecnologia,Smartphone,3,441594,131790
243,1288,2023-02-07,Deportes,Balon,1,141604,49028
244,1415,2023-01-24,Electrodomesticos,Aspiradora,2,305630,87970
245,315,2023-06-28,Vestuario,Chaqueta,2,271808,54092
246,367,2023-07-24,Deportes,Balon,1,111639,23657
247,1133,2023-01-18,Hogar,Mesa,2,174338,48575
248,1106,2024-06-28,Hogar,Lampara,5,596005,139661
249,1219,2024-02-24,Deportes,Raqueta,1,35656,7335
250,1295,2023-04-14,Vestuario,Zapatillas,2,129808,24809
251,333,2024-10-01,Hogar,Lampara,3,185121,58664
252,1038,2024-02-17,Hogar,Silla,1,99794,24094
253,748,2023-01-06,Deportes,Raqueta,1,209847,49746
254,973,2023-04-07,Vestuario,Polera,3,356133,72178
255,55,2024-10-17,Tecnologia,Smartphone,3,347013,102666
256,1093,2024-12-27,Deportes,Balon,1,70223,18949
257,1167,2023-08-14,Hogar,Sofa,1,59495,20374
258,239,2024-12-27,Electrodomesticos,Microondas,1,113602,28183
259,666,2024-04-28,Tecnologia,Notebook,1,76495,14997
260,830,2023-04-05,Electrodomesticos,Aspiradora,4,141944,48925
261,1134,2024-03-03,Hogar,Lampara,4,459580,108279
262,1345,2024-01-24,Tecnologia,Monitor,5,548910,134641
263,753,2023-04-28,Tecnologia,Monitor,4,573748,216420
264,880,2023-07-01,Hogar,Sofa,3,304983,115846
265,1214,2023-03-13,Tecnologia,Tablet,4,181648,62326
266,796,2024-09-20,Vestuario,Chaqueta,1,131874,48663
267,734,2024-08-14,Hogar,Sofa,1,107201,37221
268,649,2023-12-09,Hogar,Sofa,2,324616,106525
269,1266,2024-10-08,Hogar,Mesa,3,84102,20552
270,540,2023-02-08,Electrodomesticos,Microondas,1,105850,39561
271,729,2024-12-24,Electrodomesticos,Microondas,1,88685,20626
272,1460,2024-10-29,Electrodomesticos,Lavadora,3,164307,35955
273,1096,2023-12-15,Electrodomesticos,Lavadora,1,78355,14458
274,1251,2023-06-09,Tecnologia,Smartphone,2,228552,75099
275,55,2023-01-09,Electrodomesticos,Aspiradora,2,225996,83510
276,268,2023-08-14,Deportes,Bicicleta,1,112903,41314
277,223,2023-06-24,Electrodomesticos,Lavadora,3,110448,30312
278,1141,2023-03-25,Hogar,Sofa,1,79002,22808
279,1395,2024-01-07,Electrodomesticos,Refrigerador,3,408795,119125
280,286,2024-04-22,Tecnologia,Notebook,2,142346,41992
281,101,2023-06-24,Hogar,Silla,1,107400,37180
282,1034,2024-03-12,Hogar,Lampara,3,352527,68687
283,1368,2023-05-30,Tecnologia,Smartphone,2,123800,40161
284,587,2024-07-18,Vestuario,Polera,4,250192,48631
285,477,2024-05-22,Tecnologia,Tablet,5,241320,69176
286,486,2024-09-01,Vestuario,Pantalon,1,152065,49030
287,1043,2024-11-17,Vestuario,Pantalon,3,345405,79810
288,1434,2024-09-27,Electrodomesticos,Refrigerador,2,129476,24318
289,619,2023-07-24,Vestuario,Pantalon,2,193340,69691
290,45,2023-03-16,Deportes,Pesas,1,115903,23989
291,285,2023-01-31,Electrodomesticos,Refrigerador,2,265738,72992
292,703,2023-07-14,Electrodomesticos,Aspiradora,1,161515,35062
293,992,2023-11-03,Hogar,Lampara,2,207978,58774
294,1497,2023-07-10,Hogar,Sofa,6,609192,166866
295,1030,2023-01-13,Deportes,Balon,2,72102,17318
296,484,2023-01-17,Deportes,Raqueta,3,382695,105304
297,874,2024-09-14,Hogar,Silla,1,85267,21397
298,1461,2024-09-23,Vestuario,Chaqueta,3,298065,77406
299,838,2024-01-31,Vestuario,Polera,3,401469,130092
300,47,2023-02-04,Deportes,Balon,1,56102,13621
301,272,2024-02-11,Electrodomesticos,Microondas,1,25161,9458
302,554,2024-05-11,Hogar,Silla,3,262725,62526
303,1373,2023-03-11,Tecnologia,Monitor,1,106412,19693
304,1231,2023-09-23,Tecnologia,Tablet,1,112477,28188
305,362,2023-03-27,Hogar,Sofa,1,22219,7130
306,1332,2024-07-20,Electrodomesticos,Lavadora,1,173385,65673
307,1425,2023-01-27,Electrodomesticos,Aspiradora,1,5000,1637
308,878,2023-05-18,Vestuario,Pantalon,2,232552,60106
309,1119,2024-02-06,Hogar,Sofa,2,131212,34888
310,763,2023-04-10,Deportes,Raqueta,3,329232,70692
311,1451,2023-09-20,Deportes,Pesas,4,370884,97521
312,529,2024-11-28,Electrodomesticos,Aspiradora,4,440576,136669
313,546,2023-02-14,Deportes,Bicicleta,3,329094,102309
314,762,2023-12-20,Electrodomesticos,Microondas,3,420528,84814
315,1193,2024-09-27,Tecnologia,Smartphone,2,243718,48286
316,405,2024-10-16,Electrodomesticos,Lavadora,2,140254,37819
317,1043,2024-08-27,Electrodomesticos,Lavadora,1,25417,5847
318,1070,2024-04-05,Tecnologia,Tablet,1,178398,41940
319,767,2023-02-19,Deportes,Balon,1,71381,24807
320,817,2024-09-11,Deportes,Bicicleta,1,81981,29672
321,83,2024-05-16,Tecnologia,Monitor,1,85395,26190
322,1173,2023-05-30,Electrodomesticos,Microondas,2,10000,2514
323,116,2023-10-21,Electrodomesticos,Lavadora,6,865494,190877
324,754,2024-01-06,Hogar,Silla,1,93392,19305
325,654,2024-03-06,Electrodomesticos,Microondas,3,276369,102464
326,838,2023-12-21,Tecnologia,Tablet,2,337910,61620
327,796,2024-06-29,Tecnologia,Smartphone,5,529430,136046
328,930,2024-07-27,Tecnologia,Smartphone,1,43823,9792
329,1424,2023-02-09,Tecnologia,Notebook,3,78402,27279
330,809,2023-01-20,Vestuario,Zapatillas,1,89482,26588
331,1240,2024-12-27,Tecnologia,Smartphone,1,134775,48371
332,871,2023-05-30,Vestuario,Polera,2,94950,17842
333,861,2024-03-17,Deportes,Pesas,2,230928,68557
334,940,2023-11-05,Vestuario,Pantalon,3,103818,36271
335,947,2023-07-25,Tecnologia,Notebook,1,77267,24149
336,407,2023-10-09,Deportes,Balon,3,148701,47302
337,1147,2023-05-20,Deportes,Raqueta,1,57974,21489
338,789,2024-08-30,Vestuario,Zapatillas,2,85378,28465
339,1166,2024-10-16,Hogar,Lampara,1,124710,22765
340,274,2023-06-03,Hogar,Silla,2,344110,74474
341,394,2023-03-24,Electrodomesticos,Lavadora,1,111114,27939
342,725,2024-12-24,Hogar,Silla,1,133831,39763
343,1035,2024-07-19,Tecnologia,Tablet,1,138033,41580
344,755,2024-12-10,Deportes,Pesas,2,204552,36877
345,460,2023-03-19,Tecnologia,Smartphone,2,314544,68670
346,1267,2024-06-02,Vestuario,Pantalon,1,138556,33590
347,1495,2024-10-20,Vestuario,Zapatillas,4,329180,80111
348,1433,2023-04-03,Vestuario,Polera,1,96015,23595
349,508,2023-10-12,Tecnologia,Monitor,2,136912,37303
350,1445,2023-02-28,Tecnologia,Smartphone,4,20000,6565
351,1156,2024-02-01,Tecnologia,Smartphone,1,74345,14758
352,436,2024-01-27,Electrodomesticos,Lavadora,5,625700,162347
353,998,2024-09-03,Deportes,Pesas,3,387978,87417
354,625,2024-12-08,Electrodomesticos,Refrigerador,3,288804,65375
355,489,2023-02-21,Deportes,Raqueta,6,618042,115844
356,26,2023-12-15,Electrodomesticos,Lavadora,4,392432,142083
357,1020,2024-05-21,Deportes,Pesas,3,348213,75784
358,1192,2023-03-01,Hogar,Mesa,1,92864,32986
359,324,2023-06-14,Tecnologia,Smartphone,1,73860,23904
360,544,2024-06-09,Tecnologia,Smartphone,1,28534,8434
361,1105,2023-08-04,Electrodomesticos,Lavadora,1,167552,35563
362,1248,2024-04-09,Tecnologia,Monitor,3,265275,84931
363,771,2023-01-29,Hogar,Silla,1,101315,24196
364,673,2023-05-08,Tecnologia,Tablet,2,198248,51291
365,948,2024-01-02,Tecnologia,Notebook,2,411290,100259
366,630,2023-09-15,Electrodomesticos,Refrigerador,2,241560,66179
367,1239,2023-10-25,Tecnologia,Monitor,1,106601,30026
368,399,2024-10-07,Hogar,Silla,4,315764,110290
369,677,2023-08-13,Vestuario,Polera,4,524184,179995
370,1343,2023-10-20,Vestuario,Zapatillas,1,116923,25266
371,577,2023-08-08,Deportes,Bicicleta,3,343296,78493
372,159,2023-12-08,Tecnologia,Smartphone,4,338504,77117
373,565,2024-03-12,Vestuario,Zapatillas,3,165897,39307
374,811,2024-12-05,Deportes,Raqueta,1,47493,15745
375,6,2024-05-05,Deportes,Balon,2,250442,53116
376,235,2024-10-31,Vestuario,Pantalon,1,84137,27625
377,206,2024-12-21,Vestuario,Zapatillas,1,113679,42042
378,661,2024-06-02,Hogar,Lampara,1,67135,22673
379,30,2023-08-29,Electrodomesticos,Lavadora,1,5000,1168
380,1017,2024-02-15,Vestuario,Pantalon,5,284845,72674
381,1412,2024-12-21,Hogar,Sofa,1,159071,50050
382,404,2024-10-17,Hogar,Mesa,1,107706,32813
383,808,2024-02-22,Hogar,Lampara,2,195592,44170
384,745,2024-09-20,Vestuario,Zapatillas,2,40302,12805
385,640,2023-07-06,Hogar,Lampara,2,105588,21452
386,352,2024-05-11,Vestuario,Chaqueta,5,345145,104786
387,1311,2023-12-14,Electrodomesticos,Refrigerador,2,250798,50917
388,1488,2024-11-19,Electrodomesticos,Aspiradora,1,61090,18041
389,1267,2023-01-30,Deportes,Bicicleta,3,561459,152602
390,701,2023-07-02,Vestuario,Pantalon,1,109884,19976
391,1209,2024-10-20,Deportes,Pesas,1,176704,34732
392,183,2024-10-24,Vestuario,Chaqueta,1,17328,3188
393,871,2023-10-18,Hogar,Lampara,1,44798,10228
394,1267,2023-07-11,Tecnologia,Monitor,1,127502,40447
395,243,2024-06-05,Hogar,Mesa,1,77211,15910
396,1020,2023-11-29,Hogar,Mesa,3,267582,86366
397,231,2023-05-18,Deportes,Bicicleta,3,275007,52551
398,1409,2024-04-22,Vestuario,Chaqueta,4,545720,123622
399,1011,2024-04-29,Electrodomesticos,Microondas,2,239328,60640
400,1376,2024-04-21,Tecnologia,Smartphone,1,36457,11630
401,720,2023-11-11,Tecnologia,Monitor,2,307568,95313
402,992,2024-01-22,Tecnologia,Notebook,1,72583,19284
403,1063,2023-02-18,Hogar,Sofa,2,89382,20737
404,1063,2023-06-06,Tecnologia,Tablet,1,137581,45994
405,1407,2023-10-28,Deportes,Pesas,3,201951,42557
406,789,2024-09-12,Vestuario,Pantalon,4,63000,13494
407,539,2024-03-23,Vestuario,Zapatillas,1,32240,8803
408,1486,2024-07-08,Deportes,Balon,1,99749,27683
409,857,2023-04-20,Tecnologia,Monitor,1,89414,28602
410,1276,2024-08-09,Electrodomesticos,Aspiradora,4,398576,146977
411,567,2024-09-14,Deportes,Bicicleta,3,269565,102128
412,1440,2023-09-03,Electrodomesticos,Refrigerador,1,132509,49849
413,582,2023-08-04,Tecnologia,Tablet,1,123616,35788
414,351,2023-10-28,Hogar,Mesa,2,327808,94529
415,690,2023-09-01,Tecnologia,Notebook,1,125713,40450
416,1029,2024-02-13,Deportes,Pesas,3,340554,81143
417,288,2024-04-22,Deportes,Raqueta,3,221031,63544
418,1379,2023-08-12,Electrodomesticos,Refrigerador,1,28993,7017
419,970,2024-01-30,Hogar,Mesa,1,123791,38399
420,692,2023-02-23,Deportes,Balon,4,553568,151812
421,1426,2023-05-29,Electrodomesticos,Refrigerador,3,62856,13163
422,1340,2024-06-09,Vestuario,Zapatillas,1,189483,39363
423,251,2024-03-05,Hogar,Mesa,1,61205,13845
424,178,2023-06-04,Tecnologia,Smartphone,6,785850,196241
425,22,2024-04-09,Hogar,Mesa,1,61655,13429
426,28,2024-12-14,Tecnologia,Smartphone,2,158378,38322
427,221,2023-02-27,Hogar,Silla,4,312992,93775
428,518,2024-12-02,Electrodomesticos,Lavadora,2,102962,22141
429,1377,2023-05-26,Vestuario,Chaqueta,1,65394,22416
430,1299,2023-02-22,Deportes,Raqueta,1,22954,6698
431,392,2023-09-17,Hogar,Silla,6,279354,95460
432,663,2023-08-18,Vestuario,Polera,2,236966,45753
433,1242,2024-12-21,Tecnologia,Smartphone,1,112455,38669
434,114,2023-03-12,Deportes,Bicicleta,1,60666,11319
435,848,2024-09-01,Tecnologia,Tablet,3,440580,133198
436,734,2024-03-24,Tecnologia,Tablet,2,259080,49442
437,1383,2023-09-13,Vestuario,Zapatillas,3,323040,107906
438,781,2024-05-08,Electrodomesticos,Microondas,1,140518,46138
439,1454,2023-06-15,Vestuario,Pantalon,2,161326,60964
440,1012,2024-01-14,Electrodomesticos,Microondas,1,119317,38621
441,1223,2024-06-27,Hogar,Mesa,1,51992,19409
442,762,2024-03-22,Vestuario,Pantalon,2,72880,18284
443,1087,2024-12-22,Tecnologia,Monitor,2,355362,81853
444,1280,2024-03-06,Deportes,Pesas,2,143762,40500
