fecha,categoria,region,segmento,ventas,beneficio
2024-02-28,Vestuario,Norte,Empresa,77840,26448
2023-01-19,Electrodomesticos,Norte,Empresa,226713,42198
2023-08-26,Tecnologia,Centro,Empresa,102254,20368
2023-07-02,Vestuario,Centro,Retail,38683,11129
2024-06-21,Tecnologia,Norte,Empresa,178570,39409
2023-08-12,Deportes,Sur,Retail,130707,40407
2023-09-14,Hogar,Centro,Retail,141104,41717
2023-10-14,Hogar,Sur,Empresa,72174,18249
2024-07-31,Vestuario,Sur,Retail,35973,12168
2024-07-16,Tecnologia,Centro,Retail,253477,62740
2024-08-09,Electrodomesticos,Sur,Retail,138041,24232
2023-07-05,Deportes,Norte,Retail,46830,13783
2023-01-18,Vestuario,Centro,Empresa,49360,16319
2024-12-05,Deportes,Norte,Retail,68231,19161
2024-05-17,Deportes,Sur,Empresa,95743,29382
2023-06-02,Hogar,Centro,Empresa,75990,24305
2024-10-16,Electrodomesticos,Sur,Empresa,61841,10985
2024-12-05,Hogar,Centro,Empresa,146574,46140
2024-11-20,Tecnologia,Norte,Empresa,230767,50582
2024-01-22,Electrodomesticos,Centro,Retail,218083,42167
2023-01-27,Vestuario,Centro,Empresa,62317,19574
2023-11-22,Vestuario,Sur,Empresa,62831,19971
2023-07-03,Vestuario,Norte,Retail,24666,8625
2023-11-11,Hogar,Sur,Empresa,92602,29279
2024-05-01,Vestuario,Centro,Retail,41625,15042
2024-07-10,Tecnologia,Centro,Retail,115779,22304
2023-08-27,Vestuario,Centro,Retail,39224,14537
2024-04-11,Vestuario,Centro,Empresa,86259,26976
2024-04-08,Vestuario,Sur,Empresa,73766,25076
2023-03-01,Electrodomesticos,Centro,Empresa,240151,36799
2024-11-30,Hogar,Centro,Empresa,103799,29530
2024-01-11,Hogar,Sur,Empresa,79954,21768
2024-05-22,Vestuario,Centro,Empresa,44984,15949
2023-03-22,Tecnologia,Norte,Retail,59748,11479
2023-04-09,Hogar,Centro,Retail,65384,13210
2023-11-29,Hogar,Norte,Retail,48916,14718
2023-08-16,Tecnologia,Norte,Empresa,199445,39772
2024-05-22,Vestuario,Sur,Empresa,59824,20920
2024-03-24,Tecnologia,Centro,Retail,120450,28158
2023-05-20,Electrodomesticos,Sur,Retail,235006,40791
2024-05-20,Hogar,Sur,Retail,119554,34455
2024-02-28,Deportes,Centro,Retail,72411,18984
2024-09-30,Electrodomesticos,Norte,Retail,83002,13261
2024-09-17,Hogar,Norte,Retail,105416,29314
2024-07-06,Vestuario,Sur,Retail,42028,16614
2023-10-31,Deportes,Sur,Retail,99959,24306
2023-06-29,Tecnologia,Centro,Retail,44555,9344
2024-09-20,Deportes,Sur,Retail,75016,23812
2024-05-05,Deportes,Centro,Empresa,58841,13881
2023-11-02,Electrodomesticos,Norte,Empresa,265959,44531
2023-12-20,Vestuario,Sur,Empresa,50640,17761
2024-06-12,Vestuario,Sur,Retail,39768,15477
2024-06-28,Deportes,Norte,Empresa,93893,24298
2023-02-24,Deportes,Sur,Retail,10000,2801
2024-04-02,Tecnologia,Norte,Empresa,201678,45605
2024-10-03,Deportes,Centro,Empresa,73162,24438
2023-08-17,Vestuario,Norte,Empresa,61153,20456
2023-08-21,Tecnologia,Sur,Empresa,92230,18732
2023-07-26,Hogar,Centro,Retail,134734,35028
2024-06-11,Electrodomesticos,Norte,Empresa,223995,43056
2024-05-28,Vestuario,Centro,Retail,79274,27715
2024-11-04,Electrodomesticos,Norte,Retail,29115,6299
2023-05-13,Tecnologia,Centro,Retail,182121,39566
2024-05-28,Vestuario,Centro,Empresa,67667,22856
2023-05-08,Tecnologia,Norte,Empresa,112404,23855
2024-10-15,Electrodomesticos,Norte,Retail,192539,33294
2024-06-08,Hogar,Centro,Empresa,155722,39355
2023-01-11,Tecnologia,Centro,Retail,130633,24765
2023-10-18,Vestuario,Sur,Empresa,75243,30909
2024-06-17,Electrodomesticos,Sur,Empresa,143029,23451
2024-04-06,Hogar,Centro,Empresa,35391,11350
2023-04-11,Tecnologia,Sur,Retail,219565,51426
2024-04-02,Vestuario,Norte,Retail,39021,15316
2024-09-19,Vestuario,Norte,Empresa,45387,13974
2024-02-01,Vestuario,Sur,Retail,30547,10973
2024-12-09,Tecnologia,Norte,Retail,92943,21528
2023-05-19,Deportes,Sur,Empresa,43189,12329
2023-03-08,Hogar,Norte,Retail,76909,20812
2023-12-24,Hogar,Centro,Retail,112344,27234
2023-04-19,Vestuario,Sur,Empresa,34259,10306
2024-03-01,Hogar,Norte,Retail,77384,19447
2023-02-07,Electrodomesticos,Sur,Retail,167278,31444
2024-06-08,Hogar,Centro,Retail,159366,42425
2024-07-07,Hogar,Centro,Empresa,139489,36865
2023-12-29,Tecnologia,Sur,Retail,136403,31879
2024-12-03,Tecnologia,Sur,Empresa,243954,59529
2024-02-02,Tecnologia,Centro,Empresa,212214,47362
2023-09-10,Hogar,Norte,Retail,153856,40955
2024-07-14,Deportes,Norte,Empresa,45281,12703
2024-11-06,Electrodomesticos,Norte,Empresa,86734,14536
2023-08-18,Deportes,Sur,Retail,101204,25388
2024-04-27,Vestuario,Centro,Empresa,72621,21436
2023-09-29,Electrodomesticos,Centro,Empresa,219837,28660
2023-12-19,Electrodomesticos,Centro,Retail,257917,43165
2024-03-24,Tecnologia,Centro,Retail,192028,41879
2023-09-03,Tecnologia,Centro,Empresa,157908,40116
2023-09-27,Electrodomesticos,Sur,Retail,219971,39353
2023-12-24,Hogar,Centro,Retail,110679,33935
2023-11-20,Vestuario,Sur,Retail,40173,15272
2023-12-26,Electrodomesticos,Centro,Retail,219551,37147
2023-12-02,Vestuario,Norte,Empresa,26713,9666
2024-12-10,Vestuario,Centro,Retail,30871,11272
2023-05-04,Vestuario,Centro,Empresa,40583,15645
2023-10-30,Electrodomesticos,Sur,Empresa,211347,46102
2023-06-02,Deportes,Norte,Empresa,93739,29631
2023-04-24,Tecnologia,Sur,Retail,141410,27937
2023-01-17,Tecnologia,Centro,Empresa,213664,53254
2023-09-12,Vestuario,Norte,Retail,59113,20420
2023-06-08,Electrodomesticos,Sur,Retail,128766,25883
2024-11-22,Deportes,Sur,Retail,70931,17473
2024-03-29,Hogar,Norte,Retail,146619,31913
2023-09-20,Vestuario,Norte,Retail,32718,10985
2023-09-02,Hogar,Sur,Empresa,115275,30530
2024-09-25,Vestuario,Centro,Retail,34087,11893
2023-02-24,Hogar,Centro,Empresa,133280,36073
2024-02-20,Tecnologia,Centro,Retail,313646,70881
2024-02-27,Vestuario,Sur,Empresa,37156,12448
2024-06-08,Electrodomesticos,Sur,Empresa,122651,23552
2024-06-07,Electrodomesticos,Norte,Empresa,143798,25462
2023-05-29,Tecnologia,Norte,Retail,140026,36423
2024-03-26,Vestuario,Centro,Empresa,14893,5036
2024-06-15,Vestuario,Sur,Empresa,51138,18474
2023-10-03,Deportes,Sur,Retail,65942,21282
2024-08-11,Vestuario,Sur,Retail,48999,16806
2024-12-09,Deportes,Centro,Retail,41344,12823
2024-05-18,Hogar,Norte,Empresa,58591,13077
2024-06-26,Deportes,Norte,Empresa,87012,25410
2023-03-16,Tecnologia,Centro,Retail,149158,32168
2023-01-27,Electrodomesticos,Centro,Empresa,152235,26521
2024-12-04,Tecnologia,Norte,Empresa,168325,37931
2023-06-06,Tecnologia,Norte,Empresa,171720,39795
2023-08-30,Tecnologia,Norte,Empresa,337713,81719
2024-07-24,Tecnologia,Centro,Retail,210516,46829
2024-01-05,Deportes,Sur,Empresa,73797,23931
2024-12-29,Vestuario,Norte,Empresa,52268,20479
2024-06-30,Tecnologia,Centro,Empresa,249164,53779
2024-11-24,Vestuario,Sur,Retail,37680,13852
2023-07-07,Tecnologia,Centro,Retail,286379,56224
2023-02-21,Electrodomesticos,Centro,Retail,185694,33262
2023-07-19,Electrodomesticos,Sur,Retail,151869,26740
2023-08-02,Deportes,Sur,Empresa,100770,33508
2023-10-11,Tecnologia,Norte,Empresa,190211,39728
2023-12-15,Tecnologia,Centro,Retail,238793,54452
2023-12-29,Tecnologia,Centro,Empresa,153225,32340
2023-11-26,Electrodomesticos,Norte,Retail,175113,26302
2024-06-11,Electrodomesticos,Sur,Empresa,151872,26580
2024-07-16,Electrodomesticos,Centro,Empresa,128501,24757
2024-05-02,Vestuario,Sur,Retail,33066,11850
2023-05-01,Vestuario,Norte,Empresa,38911,13086
2024-09-25,Vestuario,Norte,Retail,37296,16792
2023-09-26,Deportes,Sur,Retail,67340,18523
2023-12-06,Tecnologia,Sur,Empresa,78747,14761
2024-01-20,Deportes,Norte,Empresa,42525,12141
2023-04-28,Tecnologia,Centro,Retail,167377,40699
2024-01-15,Tecnologia,Norte,Retail,149691,34172
2024-10-15,Electrodomesticos,Sur,Empresa,158292,30222
2023-04-21,Deportes,Norte,Empresa,76523,23028
2024-04-26,Hogar,Norte,Empresa,91612,30699
2024-05-10,Hogar,Centro,Empresa,98598,24449
2024-08-18,Tecnologia,Sur,Empresa,143273,26241
2023-07-14,Hogar,Sur,Empresa,73423,17536
2023-04-06,Electrodomesticos,Sur,Retail,217480,47926
2024-06-14,Vestuario,Norte,Empresa,49361,15954
2023-04-07,Electrodomesticos,Norte,Empresa,118187,18548
2023-10-24,Electrodomesticos,Sur,Retail,81863,14362
2023-06-27,Tecnologia,Centro,Empresa,244169,51566
2024-12-15,Deportes,Centro,Retail,24579,8934
2024-01-21,Hogar,Norte,Retail,31798,9446
2023-11-08,Deportes,Centro,Retail,108602,36496
2023-10-16,Hogar,Centro,Empresa,121324,27252
2024-03-16,Deportes,Centro,Empresa,83628,23295
2023-02-14,Deportes,Sur,Retail,64545,16560
2024-02-20,Tecnologia,Centro,Empresa,101188,19996
2023-04-08,Deportes,Sur,Empresa,108640,29639
2023-08-28,Vestuario,Centro,Empresa,23207,6163
2023-07-30,Hogar,Norte,Retail,155564,46508
2024-01-26,Vestuario,Centro,Retail,36465,9635
2024-02-11,Vestuario,Centro,Retail,27990,9018
2024-12-01,Tecnologia,Norte,Empresa,308903,61914
2024-12-06,Hogar,Sur,Retail,116928,27092
2024-12-12,Deportes,Centro,Empresa,56927,18826
2023-06-30,Deportes,Sur,Empresa,50804,13067
2023-10-29,Hogar,Centro,Retail,120208,35648
2023-11-06,Hogar,Sur,Empresa,104955,32701
2023-04-16,Electrodomesticos,Norte,Empresa,133560,24950
2024-08-13,Vestuario,Centro,Empresa,27276,9294
2024-11-10,Tecnologia,Centro,Retail,184283,31722
2023-03-17,Hogar,Sur,Retail,74955,22470
2024-10-01,Tecnologia,Centro,Empresa,79365,16213
2023-09-01,Tecnologia,Norte,Empresa,186868,53598
2023-07-05,Deportes,Sur,Retail,87323,24765
2023-09-01,Electrodomesticos,Centro,Retail,71965,12486
2023-01-13,Vestuario,Centro,Retail,45508,17676
2024-06-01,Electrodomesticos,Sur,Empresa,130217,25412
2023-02-18,Vestuario,Sur,Empresa,62465,21340
2023-02-28,Deportes,Norte,Empresa,82807,23929
2024-04-26,Hogar,Sur,Empresa,95920,22774
2024-03-21,Vestuario,Centro,Retail,45727,17381
2024-01-23,Vestuario,Norte,Empresa,54173,18502
2024-05-14,Hogar,Sur,Retail,128611,33883
2024-04-03,Hogar,Centro,Empresa,87326,21112
2024-08-26,Tecnologia,Centro,Retail,222950,46932
2024-02-06,Electrodomesticos,Sur,Retail,173141,31768
2023-04-11,Hogar,Sur,Retail,94844,27376
2023-11-09,Deportes,Sur,Retail,82065,24405
2023-06-05,Deportes,Norte,Empresa,77627,23694
2024-05-17,Hogar,Centro,Retail,114409,31251
2023-10-05,Deportes,Centro,Empresa,88684,28279
2023-04-15,Deportes,Sur,Empresa,45809,13519
2024-08-25,Electrodomesticos,Centro,Empresa,118112,17452
2023-01-24,Vestuario,Sur,Empresa,41657,16519
2024-04-03,Electrodomesticos,Norte,Retail,198259,35654
2023-07-01,Electrodomesticos,Norte,Retail,184062,35325
2023-03-09,Electrodomesticos,Sur,Retail,228513,44596
2023-04-25,Vestuario,Centro,Empresa,78596,30697
2023-05-18,Electrodomesticos,Sur,Retail,62621,11422
2023-09-27,Hogar,Centro,Empresa,129581,35555
2024-08-28,Hogar,Centro,Retail,43122,12134
2024-02-19,Vestuario,Norte,Empresa,35372,9618
2023-10-31,Hogar,Centro,Retail,90828,28186
2024-03-11,Deportes,Centro,Retail,81276,26107
2023-02-25,Hogar,Sur,Empresa,100734,25209
2024-10-21,Electrodomesticos,Norte,Empresa,229222,40337
2024-07-07,Tecnologia,Sur,Empresa,141885,31796
2024-10-21,Hogar,Sur,Empresa,152790,44976
2023-10-18,Tecnologia,Norte,Empresa,202493,40511
2023-03-24,Deportes,Norte,Retail,109597,35865
2024-10-02,Tecnologia,Sur,Empresa,283661,73961
2023-12-31,Deportes,Norte,Empresa,38044,12438
2024-03-18,Vestuario,Sur,Retail,57599,16513
2023-08-25,Deportes,Norte,Empresa,73299,20993
2023-01-17,Hogar,Sur,Empresa,28825,8716
2023-04-15,Vestuario,Centro,Retail,41902,14581
2024-02-07,Deportes,Norte,Retail,82290,24890
2024-01-23,Tecnologia,Centro,Empresa,208457,40131
2023-08-18,Hogar,Centro,Retail,121367,32757
2023-02-04,Hogar,Norte,Empresa,60929,16442
2023-05-15,Hogar,Centro,Empresa,120095,28711
2023-10-14,Tecnologia,Centro,Retail,223138,47221
2024-02-15,Vestuario,Norte,Empresa,74528,27986
2024-05-09,Vestuario,Centro,Retail,50181,19003
2024-03-16,Electrodomesticos,Sur,Retail,130807,24671
2023-03-13,Hogar,Norte,Retail,88562,23421
2023-06-11,Electrodomesticos,Norte,Empresa,174469,31014
2024-03-27,Tecnologia,Norte,Empresa,265273,60192
2024-04-17,Hogar,Norte,Retail,106478,29310
2024-11-02,Hogar,Centro,Empresa,137989,31422
2024-03-26,Vestuario,Norte,Empresa,15740,4856
2023-11-28,Electrodomesticos,Norte,Empresa,161075,23238
2024-07-12,Deportes,Centro,Empresa,40808,13081
2024-12-25,Deportes,Sur,Retail,77215,19759
2023-01-12,Hogar,Norte,Retail,118338,38271
2024-05-31,Deportes,Norte,Empresa,114047,34821
2024-01-01,Tecnologia,Norte,Retail,198685,43272
2023-03-05,Deportes,Sur,Empresa,103752,32775
2023-12-29,Electrodomesticos,Norte,Retail,107340,20957
2023-05-17,Tecnologia,Centro,Empresa,141339,32952
2024-10-13,Deportes,Sur,Retail,35958,10664
2024-07-11,Deportes,Centro,Retail,120653,31863
2023-05-17,Hogar,Centro,Empresa,102916,32188
2024-08-11,Deportes,Sur,Empresa,59697,19848
2023-11-02,Deportes,Norte,Retail,75803,21347
2024-03-24,Deportes,Centro,Empresa,47031,14397
2024-10-10,Electrodomesticos,Sur,Empresa,59612,9354
2024-03-12,Deportes,Sur,Retail,69502,18304
2024-01-06,Electrodomesticos,Norte,Retail,145924,23067
2023-10-05,Electrodomesticos,Norte,Empresa,230163,45168
2024-08-10,Hogar,Norte,Retail,110031,31396
2023-12-21,Vestuario,Centro,Retail,36573,11314
2024-12-27,Vestuario,Norte,Retail,78532,29187
2024-11-13,Electrodomesticos,Centro,Retail,150908,28377
2024-01-27,Electrodomesticos,Centro,Retail,213834,43548
2023-04-03,Vestuario,Norte,Retail,71627,26934
2024-12-11,Vestuario,Norte,Retail,32025,11300
2024-07-07,Electrodomesticos,Sur,Retail,188544,33663
2023-08-21,Vestuario,Sur,Retail,46348,11197
2023-01-26,Hogar,Norte,Retail,151001,41604
2024-11-13,Tecnologia,Sur,Empresa,288855,69588
2023-05-04,Hogar,Norte,Empresa,108756,36688
2024-03-14,Electrodomesticos,Norte,Empresa,121136,27861
2023-08-03,Tecnologia,Centro,Empresa,186092,33312
2023-05-13,Tecnologia,Sur,Empresa,135264,30122
2023-02-03,Deportes,Norte,Empresa,23328,6900
2024-01-08,Electrodomesticos,Sur,Retail,133992,22384
2023-05-08,Tecnologia,Centro,Empresa,144677,29294
2023-06-06,Vestuario,Norte,Empresa,48185,17342
2023-10-25,Tecnologia,Norte,Retail,171373,37946
2024-07-07,Hogar,Norte,Retail,105275,31156
2024-05-22,Tecnologia,Sur,Empresa,194359,50778
2024-01-31,Electrodomesticos,Sur,Retail,256354,41301
2023-05-15,Hogar,Norte,Empresa,59579,14955
2023-03-15,Hogar,Sur,Retail,120826,31799
2024-10-27,Vestuario,Sur,Empresa,63746,20240
2024-06-24,Vestuario,Centro,Retail,22311,6453
2024-01-06,Tecnologia,Centro,Empresa,74825,15773
2024-03-10,Hogar,Centro,Retail,163395,49056
2024-08-30,Tecnologia,Centro,Empresa,188048,38408
2023-12-06,Vestuario,Centro,Empresa,39682,12795
2023-02-23,Tecnologia,Centro,Empresa,154548,34675
