fecha,region,categoria,canal,dispositivo,segmento_cliente,sessions,conversions,conversion_rate,unidades_vendidas,precio_promedio,ventas_monto,nps
2025-12-13,Centro,Electrodomesticos,Email,Mobile,Recurrente,689,9,0.0131,9,161816,1456342,36
2024-08-16,Sur,Electrodomesticos,Referido,Desktop,Nuevo,653,9,0.0138,9,158859,1429727,33
2025-09-19,Norte,Hogar,Social,Tablet,Nuevo,376,14,0.0372,19,90199,1262779,61
2024-07-23,Sur,Deportes,Email,Tablet,Nuevo,300,11,0.0367,12,48565,534210,41
2024-01-29,Centro,Deportes,Email,Mobile,Recurrente,755,18,0.0238,26,65997,1187940,43
2025-04-02,Sur,Vestuario,Email,Mobile,Nuevo,901,20,0.0222,23,40334,806677,24
2024-04-14,Norte,Deportes,Pago,Desktop,Nuevo,568,12,0.0211,12,57253,687034,42
2025-05-09,Sur,Electrodomesticos,Organico,Desktop,Recurrente,827,16,0.0193,23,177072,2833158,36
2025-10-20,Norte,Tecnologia,Social,Tablet,Nuevo,340,4,0.0118,4,148291,593164,36
2025-05-04,Norte,Deportes,Email,Mobile,Recurrente,809,16,0.0198,21,58771,940332,31
2025-04-19,Centro,Tecnologia,Pago,Mobile,Nuevo,1282,27,0.0211,37,172092,4646477,12
2024-01-29,Norte,Electrodomesticos,Social,Tablet,Nuevo,122,0,0.0,0,137335,0,29
2025-09-18,Sur,Deportes,Email,Mobile,Nuevo,804,19,0.0236,23,58945,1119954,40
2024-01-22,Norte,Tecnologia,Referido,Tablet,Nuevo,139,3,0.0216,4,182635,547905,53
2025-03-20,Norte,Hogar,Organico,Desktop,Nuevo,1422,23,0.0162,26,89817,2065789,45
2024-10-26,Sur,Hogar,Referido,Desktop,Recurrente,391,8,0.0205,11,90577,724618,45
2025-07-11,Centro,Hogar,Organico,Tablet,Recurrente,1289,33,0.0256,43,79042,2608380,46
2025-04-14,Sur,Electrodomesticos,Referido,Desktop,Nuevo,541,10,0.0185,17,135059,1350591,18
2025-06-28,Norte,Electrodomesticos,Referido,Mobile,Recurrente,394,1,0.0025,1,160779,160779,34
2024-07-06,Sur,Tecnologia,Pago,Mobile,Nuevo,676,13,0.0192,15,152794,1986323,31
2025-04-29,Sur,Tecnologia,Referido,Mobile,Recurrente,476,13,0.0273,17,168343,2188464,37
2025-11-29,Sur,Electrodomesticos,Referido,Desktop,Nuevo,566,8,0.0141,11,189275,1514202,25
2025-07-27,Norte,Hogar,Pago,Desktop,Nuevo,686,14,0.0204,16,86849,1215881,25
2024-04-10,Sur,Deportes,Referido,Mobile,Nuevo,184,2,0.0109,2,65220,130439,49
2025-03-29,Centro,Electrodomesticos,Referido,Tablet,Nuevo,619,14,0.0226,18,151723,2124119,31
2025-12-10,Centro,Deportes,Referido,Tablet,Recurrente,345,12,0.0348,15,57792,693504,48
2025-06-03,Norte,Electrodomesticos,Email,Tablet,Nuevo,465,8,0.0172,8,142240,1137922,27
2025-04-03,Norte,Deportes,Organico,Desktop,Recurrente,620,17,0.0274,19,53702,912938,50
2024-11-19,Norte,Hogar,Social,Mobile,Nuevo,502,11,0.0219,13,88302,971317,31
2025-11-16,Centro,Tecnologia,Pago,Tablet,Recurrente,958,14,0.0146,17,160819,2251464,35
2024-05-26,Centro,Hogar,Social,Mobile,Nuevo,647,8,0.0124,10,77514,620112,15
2025-02-11,Centro,Hogar,Pago,Mobile,Recurrente,1464,28,0.0191,28,110390,3090919,40
2025-06-11,Centro,Vestuario,Social,Mobile,Recurrente,1088,25,0.023,25,46104,1152599,45
2024-11-22,Norte,Vestuario,Organico,Desktop,Recurrente,797,23,0.0289,32,37708,867290,38
2025-03-27,Sur,Tecnologia,Social,Desktop,Recurrente,849,18,0.0212,21,186042,3348761,40
2025-06-08,Norte,Tecnologia,Pago,Mobile,Nuevo,653,11,0.0168,11,152650,1679144,38
2024-09-28,Centro,Tecnologia,Pago,Desktop,Nuevo,945,17,0.018,24,209783,3566316,42
2025-03-08,Sur,Vestuario,Social,Mobile,Recurrente,783,18,0.023,18,49062,883107,46
2025-12-18,Centro,Tecnologia,Email,Mobile,Nuevo,1179,19,0.0161,20,168365,3198936,36
2025-03-11,Norte,Vestuario,Organico,Tablet,Nuevo,427,5,0.0117,8,51828,259139,33
2024-09-23,Norte,Electrodomesticos,Pago,Mobile,Recurrente,1138,25,0.022,25,195039,4875983,35
2024-05-04,Centro,Tecnologia,Email,Tablet,Recurrente,199,3,0.0151,7,229639,688917,51
2024-10-01,Sur,Hogar,Organico,Tablet,Nuevo,620,6,0.0097,7,96823,580935,42
2024-04-22,Norte,Vestuario,Organico,Mobile,Nuevo,1012,24,0.0237,25,49272,1182527,43
2024-11-15,Sur,Vestuario,Referido,Mobile,Recurrente,570,20,0.0351,20,52093,1041854,25
2025-04-01,Sur,Hogar,Email,Desktop,Nuevo,574,17,0.0296,17,72812,1237797,48
2024-09-13,Norte,Tecnologia,Organico,Tablet,Nuevo,733,12,0.0164,13,187699,2252386,35
2025-06-10,Centro,Hogar,Social,Mobile,Recurrente,1025,25,0.0244,33,97530,2438245,36
2025-11-03,Centro,Electrodomesticos,Social,Tablet,Recurrente,598,14,0.0234,14,200035,2800486,14
2025-12-05,Norte,Hogar,Email,Mobile,Nuevo,948,14,0.0148,26,111101,1555416,31
2025-02-18,Centro,Tecnologia,Pago,Mobile,Nuevo,1865,23,0.0123,23,182983,4208619,36
2025-10-02,Sur,Vestuario,Social,Mobile,Nuevo,829,23,0.0277,23,37105,853419,30
2024-03-27,Sur,Deportes,Referido,Tablet,Recurrente,376,10,0.0266,10,64418,644180,49
2025-09-05,Norte,Vestuario,Organico,Desktop,Nuevo,570,10,0.0175,11,41300,413004,33
2024-06-10,Centro,Deportes,Organico,Desktop,Recurrente,656,19,0.029,20,63058,1198099,48
2024-12-02,Sur,Vestuario,Pago,Mobile,Recurrente,1452,26,0.0179,26,48706,1266361,48
2024-08-11,Centro,Hogar,Organico,Desktop,Recurrente,1324,24,0.0181,32,91672,2200138,32
2024-03-26,Centro,Vestuario,Referido,Tablet,Nuevo,208,4,0.0192,5,39242,156968,21
2024-09-11,Sur,Tecnologia,Organico,Desktop,Nuevo,457,11,0.0241,11,202695,2229641,44
2024-05-27,Centro,Electrodomesticos,Organico,Desktop,Nuevo,1253,17,0.0136,23,119506,2031607,36
2024-11-02,Centro,Hogar,Organico,Tablet,Nuevo,1219,20,0.0164,34,85973,1719469,27
2025-11-04,Sur,Electrodomesticos,Social,Desktop,Recurrente,1359,22,0.0162,31,179508,3949178,34
2024-06-02,Centro,Electrodomesticos,Pago,Mobile,Recurrente,880,14,0.0159,20,149046,2086637,54
2025-12-18,Sur,Hogar,Referido,Tablet,Nuevo,468,10,0.0214,10,83242,832416,33
2025-12-03,Sur,Hogar,Organico,Mobile,Nuevo,1138,25,0.022,25,80067,2001668,27
2024-05-16,Sur,Vestuario,Organico,Desktop,Recurrente,849,25,0.0294,30,43395,1084869,22
2025-07-25,Norte,Tecnologia,Referido,Tablet,Nuevo,83,3,0.0361,3,164330,492989,19
2025-05-16,Centro,Tecnologia,Social,Mobile,Nuevo,786,20,0.0254,20,156779,3135572,33
2025-11-06,Sur,Tecnologia,Social,Desktop,Nuevo,842,21,0.0249,25,171124,3593606,41
2024-09-28,Norte,Hogar,Pago,Tablet,Recurrente,572,9,0.0157,9,105099,945886,40
2025-05-20,Centro,Tecnologia,Social,Tablet,Recurrente,781,14,0.0179,19,199850,2797900,30
2024-02-17,Sur,Hogar,Organico,Tablet,Nuevo,713,9,0.0126,11,67953,611573,31
2024-12-05,Centro,Vestuario,Referido,Tablet,Nuevo,545,15,0.0275,18,39792,596877,16
2024-01-13,Centro,Tecnologia,Social,Desktop,Nuevo,788,14,0.0178,18,175267,2453741,29
2025-12-09,Norte,Deportes,Email,Tablet,Recurrente,236,9,0.0381,13,69940,629457,35
2025-04-20,Centro,Deportes,Organico,Tablet,Nuevo,1200,21,0.0175,21,73068,1534432,43
2024-11-15,Norte,Deportes,Organico,Desktop,Recurrente,723,28,0.0387,40,49828,1395193,46
2024-03-19,Sur,Deportes,Email,Desktop,Nuevo,1016,27,0.0266,32,62656,1691706,35
2024-08-03,Norte,Electrodomesticos,Organico,Mobile,Recurrente,796,14,0.0176,17,161631,2262827,32
2025-01-03,Norte,Electrodomesticos,Referido,Desktop,Nuevo,315,2,0.0063,2,144184,288367,24
2025-12-21,Centro,Hogar,Social,Desktop,Recurrente,629,15,0.0238,20,90390,1355843,55
2024-01-26,Norte,Tecnologia,Social,Tablet,Recurrente,268,3,0.0112,3,200084,600251,51
2025-02-19,Centro,Hogar,Social,Desktop,Recurrente,683,10,0.0146,14,79333,793326,32
2024-11-19,Norte,Vestuario,Organico,Desktop,Recurrente,1025,33,0.0322,36,46455,1533027,30
2025-02-11,Norte,Hogar,Organico,Tablet,Recurrente,733,15,0.0205,15,98545,1478170,54
2024-09-16,Centro,Tecnologia,Social,Desktop,Nuevo,1122,34,0.0303,38,176366,5996431,41
2025-01-04,Centro,Vestuario,Organico,Desktop,Nuevo,588,9,0.0153,11,47000,422998,22
2024-02-22,Sur,Vestuario,Pago,Mobile,Recurrente,859,19,0.0221,19,42040,798751,35
2025-03-22,Sur,Vestuario,Pago,Desktop,Recurrente,1283,42,0.0327,52,44277,1859644,35
2024-01-30,Sur,Deportes,Referido,Tablet,Nuevo,501,12,0.024,23,55698,668380,51
2024-03-23,Norte,Deportes,Social,Tablet,Nuevo,370,7,0.0189,11,55495,388465,46
2025-10-21,Centro,Deportes,Organico,Tablet,Nuevo,1010,21,0.0208,28,56711,1190928,41
2024-06-23,Centro,Deportes,Email,Desktop,Recurrente,912,29,0.0318,29,57424,1665294,43
2024-09-18,Sur,Vestuario,Social,Tablet,Nuevo,710,16,0.0225,19,47419,758711,16
2024-11-04,Centro,Electrodomesticos,Social,Mobile,Nuevo,1157,19,0.0164,19,174298,3311667,15
2025-10-20,Norte,Tecnologia,Pago,Tablet,Recurrente,780,22,0.0282,31,187193,4118238,36
2025-07-17,Norte,Deportes,Email,Desktop,Recurrente,446,9,0.0202,11,71681,645127,34
2024-05-22,Sur,Hogar,Pago,Mobile,Nuevo,1305,20,0.0153,20,97527,1950543,31
2024-12-16,Sur,Tecnologia,Email,Mobile,Recurrente,519,25,0.0482,25,177370,4434248,39
2024-09-21,Sur,Hogar,Organico,Tablet,Recurrente,500,11,0.022,15,119491,1314396,54
2025-01-27,Centro,Electrodomesticos,Pago,Desktop,Recurrente,1358,33,0.0243,48,166693,5500871,34
2024-12-12,Norte,Deportes,Email,Tablet,Recurrente,399,14,0.0351,17,70671,989400,61
2024-05-08,Sur,Electrodomesticos,Referido,Tablet,Nuevo,388,7,0.018,7,157661,1103625,22
2024-04-04,Centro,Hogar,Social,Desktop,Recurrente,1235,15,0.0121,16,91182,1367727,44
2025-03-18,Centro,Tecnologia,Pago,Mobile,Recurrente,1368,26,0.019,26,206073,5357885,25
2025-12-27,Centro,Electrodomesticos,Social,Mobile,Nuevo,1117,13,0.0116,14,166576,2165493,19
2025-02-04,Sur,Deportes,Social,Mobile,Nuevo,755,12,0.0159,12,65792,789501,40
2024-08-17,Norte,Hogar,Referido,Tablet,Nuevo,283,5,0.0177,6,103766,518831,38
2025-12-18,Sur,Deportes,Organico,Tablet,Nuevo,680,15,0.0221,16,48437,726552,28
2024-01-02,Norte,Hogar,Referido,Mobile,Recurrente,314,6,0.0191,9,108697,652184,43
2024-05-11,Sur,Vestuario,Referido,Tablet,Recurrente,347,10,0.0288,10,57585,575851,12
2025-12-16,Norte,Tecnologia,Organico,Desktop,Nuevo,841,13,0.0155,19,164258,2135348,53
2025-02-01,Centro,Hogar,Referido,Mobile,Nuevo,690,14,0.0203,23,91196,1276738,29
2025-07-04,Centro,Deportes,Email,Desktop,Nuevo,860,10,0.0116,10,69424,694236,24
2025-05-01,Sur,Hogar,Referido,Mobile,Nuevo,690,13,0.0188,16,84560,1099282,43
2025-02-25,Sur,Vestuario,Organico,Mobile,Nuevo,1373,27,0.0197,41,41567,1122298,27
2025-05-25,Sur,Deportes,Organico,Desktop,Nuevo,1057,17,0.0161,22,66270,1126592,52
2025-11-14,Centro,Vestuario,Pago,Desktop,Nuevo,1529,20,0.0131,32,45494,909879,21
2025-12-13,Centro,Deportes,Email,Tablet,Recurrente,513,13,0.0253,14,49251,640262,53
2024-07-21,Norte,Vestuario,Referido,Mobile,Nuevo,691,18,0.026,18,43630,785332,23
2025-05-22,Norte,Vestuario,Pago,Mobile,Recurrente,1138,25,0.022,26,39099,977476,36
2024-08-14,Centro,Vestuario,Organico,Tablet,Recurrente,504,17,0.0337,20,60430,1027309,39
2025-09-16,Norte,Hogar,Social,Desktop,Nuevo,192,2,0.0104,4,72534,145067,40
2025-09-01,Norte,Deportes,Organico,Mobile,Nuevo,558,6,0.0108,7,60140,360838,31
2025-09-02,Norte,Deportes,Organico,Tablet,Nuevo,814,17,0.0209,25,55533,944056,37
2024-07-07,Centro,Deportes,Email,Tablet,Nuevo,640,10,0.0156,14,70963,709628,72
2024-03-22,Norte,Vestuario,Pago,Mobile,Recurrente,399,14,0.0351,19,50051,700715,37
2024-02-02,Centro,Deportes,Email,Desktop,Recurrente,849,19,0.0224,22,69019,1311356,51
2024-06-22,Norte,Tecnologia,Organico,Desktop,Nuevo,1029,25,0.0243,47,204634,5115855,37
2024-12-25,Centro,Tecnologia,Referido,Mobile,Recurrente,654,13,0.0199,14,179992,2339901,28
2024-12-31,Centro,Deportes,Organico,Mobile,Recurrente,594,13,0.0219,13,71828,933761,41
2024-07-19,Centro,Electrodomesticos,Social,Mobile,Recurrente,1170,33,0.0282,33,191099,6306277,45
2025-01-07,Sur,Deportes,Organico,Tablet,Recurrente,884,19,0.0215,19,51123,971333,39
2024-09-10,Sur,Deportes,Organico,Desktop,Nuevo,768,12,0.0156,19,64274,771289,40
2025-04-20,Norte,Tecnologia,Email,Mobile,Nuevo,579,16,0.0276,24,205852,3293629,47
2025-09-12,Centro,Vestuario,Email,Desktop,Nuevo,306,12,0.0392,12,41032,492386,16
2024-09-25,Sur,Vestuario,Email,Desktop,Nuevo,347,8,0.0231,12,36588,292707,45
2025-09-01,Sur,Tecnologia,Organico,Mobile,Nuevo,1016,25,0.0246,36,196319,4907976,31
2025-05-01,Sur,Deportes,Social,Desktop,Recurrente,780,18,0.0231,19,65714,1182853,38
2025-05-20,Norte,Deportes,Pago,Mobile,Recurrente,1023,16,0.0156,16,69176,1106822,27
2025-12-09,Norte,Electrodomesticos,Pago,Desktop,Recurrente,1361,25,0.0184,31,167513,4187820,27
2025-04-16,Centro,Electrodomesticos,Organico,Tablet,Nuevo,1106,18,0.0163,18,136831,2462966,30
2025-02-05,Norte,Hogar,Social,Mobile,Nuevo,1006,22,0.0219,27,97977,2155494,49
2025-05-08,Sur,Electrodomesticos,Email,Mobile,Recurrente,1065,19,0.0178,22,151989,2887793,23
2024-04-17,Norte,Vestuario,Referido,Mobile,Nuevo,682,12,0.0176,12,41223,494672,25
2024-04-08,Centro,Deportes,Social,Mobile,Nuevo,616,7,0.0114,7,51417,359919,49
2024-05-16,Centro,Deportes,Referido,Tablet,Nuevo,490,5,0.0102,5,59066,295331,28
2025-07-05,Sur,Tecnologia,Email,Desktop,Recurrente,409,11,0.0269,18,210248,2312724,50
2025-08-03,Centro,Vestuario,Email,Tablet,Recurrente,535,14,0.0262,18,45564,637892,42
2024-07-22,Centro,Hogar,Pago,Mobile,Nuevo,625,6,0.0096,10,92672,556033,44
2024-06-06,Centro,Electrodomesticos,Pago,Desktop,Nuevo,2098,34,0.0162,40,145853,4959013,21
2025-02-09,Centro,Hogar,Referido,Tablet,Nuevo,443,5,0.0113,9,95048,475239,48
2025-10-27,Norte,Deportes,Organico,Mobile,Nuevo,212,3,0.0142,4,58977,176931,55
2025-05-01,Norte,Deportes,Email,Mobile,Recurrente,840,26,0.031,30,68134,1771477,51
2024-08-26,Norte,Tecnologia,Pago,Tablet,Nuevo,846,22,0.026,38,190364,4188008,18
2024-03-17,Centro,Electrodomesticos,Pago,Desktop,Recurrente,1658,40,0.0241,48,197616,7904636,50
2025-11-11,Norte,Tecnologia,Referido,Tablet,Recurrente,320,12,0.0375,24,248188,2978250,33
2024-08-10,Norte,Vestuario,Email,Mobile,Nuevo,420,13,0.031,13,41359,537672,34
2024-07-27,Centro,Tecnologia,Referido,Tablet,Nuevo,390,12,0.0308,14,142632,1711587,38
2024-01-12,Centro,Deportes,Email,Mobile,Recurrente,741,18,0.0243,18,61347,1104240,56
2024-03-20,Norte,Tecnologia,Social,Tablet,Recurrente,250,8,0.032,12,206322,1650575,40
2024-03-05,Centro,Tecnologia,Social,Tablet,Nuevo,585,13,0.0222,13,147879,1922425,34
2025-10-16,Sur,Tecnologia,Pago,Desktop,Recurrente,725,15,0.0207,15,174342,2615128,46
2025-02-23,Centro,Vestuario,Social,Mobile,Recurrente,853,22,0.0258,23,34910,768009,34
2025-08-03,Centro,Deportes,Social,Mobile,Recurrente,842,17,0.0202,17,65413,1112017,30
2025-10-21,Norte,Deportes,Social,Mobile,Nuevo,645,12,0.0186,20,59529,714347,50
2025-03-20,Norte,Deportes,Organico,Mobile,Recurrente,678,21,0.031,22,78266,1643587,30
2025-08-14,Centro,Deportes,Pago,Mobile,Nuevo,954,10,0.0105,16,54799,547991,20
2024-02-22,Sur,Hogar,Social,Mobile,Recurrente,1092,19,0.0174,19,102222,1942216,38
2025-05-31,Norte,Hogar,Email,Desktop,Nuevo,430,4,0.0093,5,81883,327530,42
2025-06-17,Norte,Tecnologia,Organico,Desktop,Recurrente,214,11,0.0514,21,158042,1738462,30
2024-07-21,Centro,Hogar,Organico,Desktop,Recurrente,599,19,0.0317,23,98491,1871324,42
2024-02-24,Sur,Deportes,Organico,Tablet,Nuevo,716,15,0.0209,15,69755,1046323,35
2025-10-17,Norte,Electrodomesticos,Social,Tablet,Nuevo,477,9,0.0189,9,149247,1343221,36
2025-04-29,Norte,Electrodomesticos,Pago,Mobile,Recurrente,636,8,0.0126,8,158771,1270167,41
2025-06-14,Norte,Deportes,Email,Mobile,Nuevo,679,20,0.0295,23,63161,1263229,36
2024-09-09,Sur,Hogar,Organico,Tablet,Nuevo,275,5,0.0182,6,94209,471047,43
2025-11-14,Centro,Tecnologia,Social,Tablet,Recurrente,1075,33,0.0307,46,177427,5855095,40
2025-07-17,Sur,Vestuario,Social,Desktop,Nuevo,507,12,0.0237,15,46106,553276,12
2025-03-11,Centro,Vestuario,Social,Tablet,Recurrente,662,12,0.0181,21,43367,520403,17
2024-07-02,Norte,Tecnologia,Referido,Desktop,Recurrente,733,23,0.0314,23,217639,5005696,23
2024-08-28,Centro,Electrodomesticos,Social,Mobile,Recurrente,1300,22,0.0169,22,147508,3245181,46
2025-02-13,Norte,Tecnologia,Pago,Desktop,Recurrente,1058,23,0.0217,23,212382,4884784,32
2025-01-09,Norte,Deportes,Referido,Tablet,Nuevo,257,5,0.0195,6,53992,269959,40
2024-02-11,Sur,Hogar,Organico,Tablet,Recurrente,406,10,0.0246,11,93407,934069,27
2025-06-07,Norte,Tecnologia,Referido,Desktop,Nuevo,376,10,0.0266,10,191966,1919663,51
2024-01-27,Norte,Electrodomesticos,Organico,Mobile,Nuevo,1042,8,0.0077,9,146144,1169154,39
2025-05-18,Centro,Hogar,Pago,Mobile,Recurrente,1354,18,0.0133,23,101023,1818416,56
2025-09-17,Centro,Hogar,Email,Tablet,Recurrente,613,14,0.0228,15,90930,1273017,48
2025-04-12,Norte,Vestuario,Referido,Desktop,Nuevo,167,6,0.0359,6,38062,228372,28
2025-08-29,Centro,Electrodomesticos,Referido,Mobile,Recurrente,450,8,0.0178,10,140222,1121776,16
2025-01-16,Norte,Hogar,Pago,Desktop,Nuevo,724,16,0.0221,19,87424,1398788,52
2025-10-13,Centro,Vestuario,Social,Mobile,Recurrente,1013,28,0.0276,28,57530,1610826,28
2024-04-27,Sur,Tecnologia,Email,Desktop,Nuevo,534,17,0.0318,20,173330,2946614,33
2024-09-15,Sur,Deportes,Email,Desktop,Recurrente,389,5,0.0129,5,62737,313685,52
2025-01-12,Sur,Hogar,Email,Desktop,Nuevo,385,7,0.0182,7,75685,529796,43
2025-03-28,Norte,Hogar,Referido,Tablet,Nuevo,329,10,0.0304,10,103274,1032743,34
2024-10-30,Sur,Vestuario,Email,Tablet,Recurrente,415,8,0.0193,8,49650,397196,38
2024-01-02,Sur,Tecnologia,Pago,Mobile,Recurrente,1317,27,0.0205,27,198364,5355831,25
2025-09-22,Sur,Deportes,Social,Tablet,Recurrente,397,13,0.0327,20,68915,895893,33
2024-02-18,Norte,Deportes,Pago,Tablet,Nuevo,774,9,0.0116,10,64530,580771,55
2024-01-23,Norte,Tecnologia,Referido,Desktop,Recurrente,408,4,0.0098,5,167622,670488,44
2024-04-18,Sur,Vestuario,Referido,Mobile,Recurrente,482,10,0.0207,12,43385,433851,45
2025-08-20,Centro,Electrodomesticos,Pago,Mobile,Recurrente,750,12,0.016,12,198521,2382248,33
2025-09-30,Centro,Hogar,Pago,Mobile,Nuevo,655,5,0.0076,5,92119,460594,38
2025-12-25,Norte,Deportes,Organico,Mobile,Nuevo,1530,39,0.0255,39,58272,2272620,37
2025-11-12,Centro,Deportes,Email,Mobile,Nuevo,1186,28,0.0236,43,59162,1656529,35
2025-10-22,Sur,Vestuario,Referido,Tablet,Recurrente,372,12,0.0323,12,45628,547533,44
2025-09-08,Sur,Deportes,Pago,Mobile,Nuevo,442,5,0.0113,7,62517,312587,35
2024-02-15,Norte,Electrodomesticos,Organico,Desktop,Nuevo,940,11,0.0117,16,176076,1936839,27
2024-08-31,Norte,Tecnologia,Organico,Mobile,Nuevo,1238,22,0.0178,22,143207,3150555,31
2024-05-25,Centro,Hogar,Referido,Tablet,Recurrente,550,15,0.0273,23,87974,1319611,26
2025-09-19,Norte,Electrodomesticos,Email,Mobile,Recurrente,766,14,0.0183,19,184519,2583272,37
2025-10-02,Norte,Deportes,Referido,Mobile,Recurrente,625,12,0.0192,15,53219,638628,56
2025-03-23,Sur,Deportes,Organico,Tablet,Recurrente,447,15,0.0336,16,60054,900812,53
2024-06-28,Norte,Tecnologia,Email,Mobile,Nuevo,472,7,0.0148,7,142252,995762,35
2024-05-06,Centro,Vestuario,Organico,Desktop,Recurrente,1417,41,0.0289,46,48575,1991583,30
2025-12-03,Sur,Vestuario,Email,Tablet,Nuevo,374,10,0.0267,15,49251,492508,24
2024-03-28,Sur,Tecnologia,Pago,Desktop,Nuevo,719,12,0.0167,18,196667,2360002,27
2024-07-26,Norte,Vestuario,Pago,Desktop,Recurrente,805,17,0.0211,22,61732,1049442,28
2025-09-07,Norte,Deportes,Referido,Desktop,Recurrente,284,8,0.0282,8,70993,567943,49
2025-06-27,Sur,Tecnologia,Organico,Desktop,Nuevo,1195,29,0.0243,41,161534,4684481,36
2025-08-07,Centro,Hogar,Social,Tablet,Nuevo,542,13,0.024,16,102219,1328849,35
2025-08-01,Norte,Hogar,Organico,Mobile,Nuevo,656,9,0.0137,9,92141,829272,48
2024-04-19,Sur,Hogar,Email,Mobile,Nuevo,811,16,0.0197,18,75625,1209992,46
2024-02-01,Norte,Hogar,Organico,Tablet,Nuevo,431,6,0.0139,6,78285,469707,30
2024-02-17,Norte,Electrodomesticos,Email,Mobile,Nuevo,570,13,0.0228,16,116580,1515542,26
2025-12-29,Centro,Tecnologia,Pago,Mobile,Nuevo,1931,16,0.0083,19,172316,2757063,41
2024-04-24,Norte,Tecnologia,Organico,Tablet,Recurrente,568,21,0.037,21,233754,4908841,35
